ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
37;1dcd9;200;0;5;            224ms 102μs 292ns;inf;              4ms 523μs 561ns;                  159μs 814ns;56.000000;0.000000
10;5b66;200;7;5;            155ms 503μs 728ns;inf;              2ms 570μs  80ns;              4ms 723μs 946ns;25.000000;0.000000
20;b7c9;200;4;5;            184ms 363μs 617ns;inf;              3ms 234μs  45ns;              2ms 714μs 790ns;34.000000;0.000000
28;176a0;200;5;5;            181ms 161μs 117ns;inf;              2ms 919μs 230ns;              4ms  94μs 565ns;34.000000;0.000000
36;1d4e5;200;1;5;            221ms 525μs 770ns;inf;              4ms 388μs 909ns;                  932μs 177ns;54.000000;0.000000
9;5346;200;14;5;            150ms 790μs 617ns;inf;              2ms 267μs 903ns;              5ms 799μs 329ns;22.000000;0.000000
35;1cf31;200;0;5;            209ms 438μs 111ns;inf;              4ms 185μs 818ns;                  123μs 593ns;53.000000;0.000000
8;4e97;200;1;5;            146ms 950μs 361ns;inf;              2ms 340μs 107ns;                  515μs 898ns;21.000000;0.000000
24;10dcf;200;1;5;            191ms 294μs 205ns;inf;              2ms 898μs 287ns;                  605μs 383ns;34.000000;0.000000
19;abbf;200;3;5;            178ms 244μs 424ns;inf;              3ms  41μs 521ns;              2ms 552μs 373ns;34.000000;0.000000
34;1cac9;200;6;5;            208ms 698μs 290ns;inf;              4ms 154μs 334ns;              4ms 247μs 295ns;50.000000;0.000000
7;46c2;200;23;5;            155ms 672μs 298ns;inf;              2ms 298μs 169ns;              6ms  83μs 669ns;19.000000;0.000000
33;1c5a9;200;5;5;            201ms 362μs 441ns;inf;              3ms 811μs 353ns;              6ms 303μs 396ns;46.000000;0.000000
27;16230;200;5;5;            181ms 666μs 793ns;inf;              2ms 938μs 997ns;              5ms 245μs 359ns;34.000000;0.000000
32;1c13c;200;10;5;            198ms 908μs 968ns;inf;              3ms 617μs 301ns;              6ms 758μs 694ns;43.000000;0.000000
6;40a8;200;0;5;            142ms 924μs 220ns;inf;              2ms 144μs 625ns;                   20μs 852ns;19.000000;0.000000
18;a021;200;2;5;            180ms 870μs 411ns;inf;              3ms 110μs 204ns;              1ms 486μs 207ns;34.000000;0.000000
31;1bd4d;200;12;5;            195ms 772μs  52ns;inf;              3ms 534μs  61ns;              9ms 455μs 138ns;42.000000;0.000000
43;218cf;200;2442;21;         2s 527ms 435μs 695ns;79260.000000;              4ms 162μs 537ns;            379ms 439μs 192ns;72.000000;0.000000
5;37c8;200;6;5;            137ms 822μs 748ns;inf;              2ms  69μs 357ns;              2ms 450μs 872ns;15.000000;0.000000
30;1b7b9;200;17;5;            195ms 906μs 346ns;inf;              3ms 613μs 987ns;             11ms 116μs 348ns;39.000000;0.000000
17;96a6;200;3;5;            172ms 648μs 348ns;inf;              3ms 167μs 812ns;              1ms 774μs  19ns;34.000000;0.000000
23;f507;200;4;5;            179ms 284μs 454ns;inf;              3ms  16μs 746ns;              2ms 841μs 861ns;34.000000;0.000000
42;20eb1;200;3;5;            287ms 962μs 995ns;inf;              5ms 770μs 558ns;              2ms 767μs 739ns;70.000000;0.000000
4;2e3c;200;3;5;            131ms 579μs 118ns;inf;              1ms 793μs 321ns;              1ms 291μs 584ns;12.000000;0.000000
41;202c7;200;0;5;            252ms 982μs 470ns;inf;              5ms 275μs 325ns;                  151μs 118ns;66.000000;0.000000
16;8238;200;5;5;            180ms 994μs  41ns;inf;              3ms 187μs 719ns;              3ms 901μs 785ns;34.000000;0.000000
3;223a;200;0;5;            128ms 118μs 309ns;inf;              1ms 690μs 638ns;                   18μs 549ns;9.000000;0.000000
26;14158;200;5;5;            194ms 685μs 650ns;inf;              2ms 815μs 286ns;              4ms 973μs 317ns;34.000000;0.000000
22;e04f;200;2;5;            174ms 373μs 695ns;inf;              3ms   9μs 909ns;              1ms 534μs 163ns;34.000000;0.000000
40;1f9cf;200;0;5;            251ms 628μs 386ns;inf;              5ms 175μs  30ns;                  166μs 359ns;65.000000;0.000000
15;775c;200;0;5;            182ms 765μs 456ns;inf;              3ms 203μs 408ns;                   95μs 822ns;34.000000;0.000000
29;195c4;200;17;5;            202ms 109μs 149ns;inf;              2ms 898μs 753ns;              6ms 128μs 801ns;34.000000;0.000000
2;134b;200;4;5;            121ms 111μs 911ns;inf;              1ms 640μs 456ns;                  741μs 211ns;6.000000;0.000000
39;1f0d7;200;0;5;            238ms 191μs 755ns;inf;              4ms 884μs 509ns;                  289μs 265ns;62.000000;0.000000
14;6fc0;200;2;5;            174ms 527μs 322ns;inf;              3ms 112μs 843ns;              1ms 423μs 240ns;34.000000;0.000000
25;12d7d;200;8;5;            188ms 298μs 666ns;inf;              3ms  23μs 854ns;              4ms 171μs 930ns;34.000000;0.000000
13;69d0;200;7;5;            165ms 136μs 247ns;inf;              2ms 902μs 330ns;              3ms 805μs 398ns;32.000000;0.000000
21;c9bb;200;3;5;            179ms 942μs 940ns;inf;              3ms  66μs 757ns;              2ms 352μs 123ns;34.000000;0.000000
38;1e669;200;4;5;            242ms 673μs 718ns;inf;              4ms 748μs 905ns;              2ms 594μs 514ns;59.000000;0.000000
12;6593;200;1;5;            156ms 920μs 310ns;inf;              2ms 775μs 811ns;                  572μs  24ns;29.000000;0.000000
11;6120;200;10;5;            154ms 796μs 497ns;inf;              2ms 755μs 556ns;              4ms 573μs 193ns;27.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;199;1;5;            164ms 705μs 983ns;inf;              1ms 720μs 896ns;                  525μs 324ns;0.000000;0.000000
