ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
400;5977e;200;8025;1;     1m 40s 293ms 403μs 549ns;4935.000000;             59ms 568μs 780ns;     1m 24s 331ms 182μs 722ns;0.000000;0.000000
399;592cd;200;0;0;         4s 151ms 405μs 321ns;3000.000000;            102ms 120μs  87ns;                          0ns;0.000000;0.000000
398;58eb4;200;0;0;         4s  79ms 844μs 329ns;3000.000000;            100ms 337μs 272ns;                          0ns;0.000000;0.000000
397;58b39;200;0;0;         4s  86ms 560μs 862ns;3000.000000;            100ms 500μs 638ns;                          0ns;0.000000;0.000000
396;58726;200;0;0;         4s  92ms 873μs 537ns;3000.000000;            100ms 928μs 677ns;                          0ns;0.000000;0.000000
395;583bd;200;0;0;         4s  85ms 512μs 752ns;3000.000000;            100ms 579μs  97ns;                          0ns;0.000000;0.000000
394;58070;200;0;0;         4s 145ms  77μs 308ns;3000.000000;            102ms 282μs 604ns;                          0ns;0.000000;0.000000
393;57d33;200;0;0;         4s 114ms 890μs 239ns;3000.000000;            101ms 580μs 432ns;                          0ns;0.000000;0.000000
392;579e8;200;0;0;         4s 137ms 672μs  83ns;3000.000000;            101ms 868μs 478ns;                          0ns;0.000000;0.000000
391;57653;200;0;0;         4s 150ms 623μs 520ns;3000.000000;            101ms 458μs 654ns;                          0ns;0.000000;0.000000
390;572ae;200;0;0;         4s 136ms 952μs 815ns;3000.000000;            101ms 764μs 264ns;                          0ns;0.000000;0.000000
389;56eab;200;0;0;         4s  80ms 211μs 496ns;3000.000000;            100ms 267μs 530ns;                          0ns;0.000000;0.000000
388;56a6a;200;0;0;         4s 148ms 719μs 227ns;3000.000000;            102ms 286μs 386ns;                          0ns;0.000000;0.000000
387;565ff;200;0;0;         4s  99ms 981μs 708ns;3000.000000;            100ms 773μs 118ns;                          0ns;0.000000;0.000000
386;5625a;200;0;0;         4s  69ms 550μs 433ns;3000.000000;            100ms 529μs 586ns;                          0ns;0.000000;0.000000
385;55ed9;200;0;0;         4s 132ms 235μs 295ns;3000.000000;            101ms 877μs 144ns;                          0ns;0.000000;0.000000
384;55b10;200;0;0;         4s  42ms 200μs 417ns;3000.000000;             99ms 713μs 458ns;                          0ns;0.000000;0.000000
383;555fd;200;0;0;         4s  41ms 262μs 972ns;3000.000000;             99ms 740μs 351ns;                          0ns;0.000000;0.000000
382;55214;200;0;0;         4s  15ms   5μs 608ns;3000.000000;             99ms 140μs   0ns;                          0ns;0.000000;0.000000
381;54eb1;200;0;0;         3s 979ms 732μs 461ns;4000.000000;             98ms 177μs 667ns;                          0ns;0.000000;0.000000
380;54ad0;200;0;0;         4s  58ms 533μs 839ns;3000.000000;             99ms 941μs 736ns;                          0ns;0.000000;0.000000
