ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
5999c;59583;5977e;0;6743;0000000000000078;    13m 48s 155ms 211μs 261ns;1617;1533;            103ms  14μs 980ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;79900
5b222;5999c;5977e;0;0;0000000000000080;    13m 57s 146ms 345μs  18ns;1531;-1;             95ms   2μs 817ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80628
5b227;5999c;5977e;0;0;0000000000000080;    13m 57s 148ms 901μs 881ns;1531;-1;             98ms 683μs 519ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80629
5b225;5999c;5977e;0;0;0000000000000080;    13m 57s 149ms 137μs  94ns;1531;-1;             98ms 663μs 307ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80630
5b23a;5999c;5977e;0;0;0000000000000080;    13m 57s 159ms 568μs 379ns;1531;-1;            103ms 267μs 785ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80633
5b248;5999c;5977e;0;0;0000000000000080;    13m 57s 165ms 491μs 195ns;1531;-1;            104ms 567μs  56ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80634
5b247;5999c;5977e;0;0;0000000000000080;    13m 57s 165ms 123μs 802ns;1531;-1;            103ms 397μs 166ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80636
5b255;5999c;5977e;0;0;0000000000000080;    13m 57s 169ms 596μs   0ns;1531;-1;            104ms  15μs 639ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80638
5b24c;5999c;5977e;0;0;0000000000000080;    13m 57s 167ms 267μs 930ns;1531;-1;            103ms 319μs  44ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80639
5b25b;5999c;5977e;0;0;0000000000000080;    13m 57s 172ms 335μs 594ns;1531;-1;            103ms 878μs 310ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80640
5b269;5999c;5977e;0;0;0000000000000080;    13m 57s 177ms 119μs 546ns;1531;-1;            106ms  85μs 892ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80641
5b263;5999c;5977e;0;0;0000000000000080;    13m 57s 175ms  94μs 233ns;1531;-1;            106ms 709μs 950ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80642
5b354;5999c;5977e;0;0;0000000000000080;    13m 57s 242ms 852μs 338ns;1531;-1;            108ms  39μs 144ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;80643
