ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
59805;594a6;5977e;0;0;0000000000000070;    13m 46s 990ms 497μs 887ns;1610;1536;            101ms 224μs 850ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79817
59870;5953b;5977e;0;0;0000000000000070;    13m 47s  43ms 367μs 365ns;1626;1536;            101ms 728μs 799ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79839
59996;5953b;5977e;0;0;0000000000000070;    13m 48s 148ms  79μs 973ns;1630;1536;            103ms 831μs 260ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79898
59b4b;5953b;5977e;0;0;0000000000000070;    13m 49s 614ms 782μs 121ns;1610;1536;            107ms 676μs 361ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;80030
5953b;592ac;592cd;13;13;4000000000000070;    13m 44s 113ms 933μs 187ns;1619;1535;            104ms 525μs 178ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79705
597a6;594a6;5977e;0;0;0000000000000070;    13m 46s 948ms 116μs  35ns;1584;1535;            104ms 739μs 950ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79803
594a6;592ac;592cd;14;14;4000000000000070;    13m 43s 602ms 498μs 443ns;1586;1534;            101ms 357μs 480ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79679
598a5;594a6;5977e;0;0;0000000000000070;    13m 47s 131ms 357μs 857ns;1624;1534;             99ms 131μs 393ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79850
5990f;5968b;5977e;0;0;0000000000000070;    13m 47s 537ms 598μs   8ns;1622;1534;            101ms 289μs 727ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79870
599d7;594a6;5977e;0;0;0000000000000070;    13m 48s 355ms 882μs 309ns;1602;1534;            103ms 991μs 202ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79908
59a90;59653;5977e;0;0;0000000000000070;    13m 49s  90ms 873μs 755ns;1582;1534;            102ms 118μs 997ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79972
59b2a;592ce;5977e;0;0;0000000000000070;    13m 49s 507ms  64μs 274ns;1613;1534;            101ms 829μs 720ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;80024
59b3a;594a6;5977e;0;0;0000000000000070;    13m 49s 576ms 763μs 150ns;1612;1534;            101ms 656μs 998ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;80026
597c4;5953b;5977e;0;0;0000000000000070;    13m 46s 960ms 298μs 502ns;1593;1533;            102ms 693μs 970ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79808
598b6;5953b;5977e;0;0;0000000000000070;    13m 47s 231ms 244μs 250ns;1622;1533;            102ms  94μs 885ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79854
598ee;594a6;5977e;0;0;0000000000000070;    13m 47s 432ms 776μs 658ns;1619;1533;            104ms 268μs 378ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79864
5993e;594a6;5977e;0;0;0000000000000070;    13m 47s 748ms  74μs 348ns;1599;1533;            106ms 538μs 486ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79880
599f4;59653;5977e;0;0;0000000000000070;    13m 48s 471ms 415μs 899ns;1582;1533;            102ms 566μs 344ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79920
59a83;5953b;5977e;0;0;0000000000000070;    13m 48s 993ms 426μs 569ns;1584;1533;            103ms 868μs 678ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79953
597dc;5969f;5977e;0;0;0000000000000070;    13m 46s 971ms 373μs 654ns;1590;1532;            103ms 912μs 686ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79812
5992d;592e1;5977e;0;0;0000000000000070;    13m 47s 644ms 720μs 428ns;1618;1532;            103ms 552μs 644ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79876
5993a;59410;5977e;0;0;0000000000000070;    13m 47s 747ms 662μs 953ns;1596;1532;            103ms 940μs 399ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79878
59951;5953b;5977e;0;0;0000000000000070;    13m 47s 845ms 859μs 665ns;1615;1532;            103ms 172μs 835ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79885
59a1c;594a6;5977e;0;0;0000000000000070;    13m 48s 590ms 131μs 158ns;1617;1532;            102ms 850μs 499ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79925
59a31;5953b;5977e;0;0;0000000000000070;    13m 48s 675ms 805μs 659ns;1598;1532;            103ms 625μs 869ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79928
59c02;594c9;5977e;0;0;0000000000000070;    13m 50s 103ms 345μs 868ns;1616;1532;             93ms 737μs 768ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;80167
592ac;58d96;58eb4;29;29;4000000000000070;    13m 41s 613ms  55μs 193ns;1582;1531;            101ms 176μs 588ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79586
592e1;58fd5;592cd;14;14;4000000000000070;    13m 42s 772ms 294μs 643ns;1598;1531;            105ms 692μs 253ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79597
59583;592ac;592cd;13;12;4000000000000070;    13m 44s 330ms 506μs  61ns;1622;1531;            105ms 941μs 110ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79716
59653;592ac;592cd;13;13;4000000000000070;    13m 44s 940ms 189μs 654ns;1592;1531;            104ms 130μs 120ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79746
59787;592ac;5977e;0;0;0000000000000070;    13m 46s 921ms 319μs 829ns;1610;1531;             98ms 151μs 671ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79795
59791;592e1;5977e;0;0;0000000000000070;    13m 46s 931ms 402μs 347ns;1597;1531;             97ms 772μs 297ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79795
59780;591cf;5977e;0;0;0000000000000070;    13m 46s 938ms 560μs 862ns;1579;1531;            100ms 501μs 699ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;79799
