ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
5ead8;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms  57μs 944ns;1;-1;              1ms 735μs 401ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;83431
5ead9;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms  34μs  40ns;1;-1;              2ms 203μs 785ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;83432
5eae0;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 693μs 907ns;1;-1;                  360μs 296ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83433
5eada;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 188μs 233ns;1;-1;              3ms 783μs 795ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83434
5eae1;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 718μs 652ns;1;-1;              3ms 969μs 725ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83435
5eade;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 549μs 555ns;1;-1;              1ms 599μs 773ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83436
5eadf;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 564μs 862ns;1;-1;              2ms 408μs 642ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83437
5eadb;5d6ea;5977e;0;0;0000000000000080;    14m 39s 598ms 227μs 675ns;1;-1;              1ms 928μs 521ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83438
5eb11;5d6ea;5977e;0;0;0000000000000080;    14m 39s 602ms 101μs 991ns;1;-1;              3ms 422μs 892ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;83439
6a;0;66;0;0;0000000000000010;              4ms 608μs 752ns;90;2;              4ms 265μs  51ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;1
6d;0;66;0;0;0000000000000010;              4ms 714μs 602ns;52;2;              4ms 199μs 291ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
70;0;66;0;0;0000000000000010;              4ms 867μs  97ns;81;2;              4ms 107μs 393ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
73;0;66;0;0;0000000000000010;              5ms   6μs 655ns;71;2;              4ms 151μs 363ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
76;0;66;0;0;0000000000000010;              5ms 164μs 728ns;79;2;              3ms 485μs  99ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
79;0;66;0;0;0000000000000010;              5ms 500μs 197ns;99;2;              2ms 962μs 311ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
7f;0;66;0;0;0000000000000010;              5ms 901μs 547ns;84;2;              3ms 204μs 305ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
7c;0;66;0;0;0000000000000010;              5ms 649μs 900ns;75;2;              3ms 675μs 835ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
82;0;66;0;0;0000000000000010;              6ms  61μs 153ns;82;2;              4ms 287μs 568ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
88;0;66;0;0;0000000000000010;              6ms 483μs 929ns;83;2;              2ms 765μs 671ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
8b;0;66;0;0;0000000000000010;              6ms 609μs 161ns;77;2;              2ms 676μs 450ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
91;0;66;0;0;0000000000000010;              6ms 909μs   5ns;52;2;              2ms 203μs 123ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
9a;0;66;0;0;0000000000000010;              7ms 488μs 165ns;98;2;              2ms  13μs 942ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
a5;0;66;0;0;0000000000000010;              7ms 837μs  33ns;67;2;              1ms 950μs   3ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
a8;0;66;0;0;0000000000000010;              7ms 962μs 922ns;82;2;              1ms 693μs 502ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
ac;0;66;0;0;0000000000000010;              8ms 118μs 484ns;88;2;              2ms 201μs 101ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
af;0;66;0;0;0000000000000010;              8ms 217μs 536ns;50;2;              1ms 989μs 849ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
b5;0;66;0;0;0000000000000010;              8ms 597μs 411ns;84;2;              1ms 674μs 451ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
b8;0;66;0;0;0000000000000010;              8ms 759μs 212ns;85;2;              1ms 857μs 771ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
b2;0;66;0;0;0000000000000010;              8ms 387μs 987ns;77;2;              1ms 746μs 177ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
be;0;66;0;0;0000000000000010;              9ms 141μs 827ns;74;2;              1ms 786μs  24ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
bb;0;66;0;0;0000000000000010;              8ms 957μs 243ns;89;2;              2ms  80μs 760ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
c1;0;66;0;0;0000000000000010;              9ms 257μs 256ns;51;2;              1ms 915μs 124ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
c4;0;66;0;0;0000000000000010;              9ms 406μs  66ns;70;2;              1ms 631μs 151ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
