ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
a1ed58;5016;0;0;0;35;68;96.000000;68.000000;70.833333;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;         7s 168ms  65μs 904ns;         2s 367ms 695μs 877ns
a14a2e;5330;0;0;0;37;68;99.000000;68.000000;68.686869;68.000000;68.000000;98.550725;0.000000;0.000000;-nan;        10s 592ms 357μs 546ns;         2s 593ms 147μs 361ns
a12bd9;5946;0;0;0;40;68;101.000000;68.000000;67.326733;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;        14s 436ms 237μs 367ns;         3s 400ms 435μs 371ns
a127a0;5946;0;0;0;40;68;101.000000;68.000000;67.326733;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;        13s 332ms 477μs 798ns;         3s 429ms 125μs 441ns
a0c934;5742;0;0;0;39;68;100.000000;68.000000;68.000000;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;        42s 277ms 254μs 126ns;         3s 161ms 544μs 904ns
a0b1ea;5338;0;0;0;37;68;98.000000;68.000000;69.387755;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;        40s  45ms 178μs 980ns;         2s 724ms 498μs 724ns
a08222;5540;0;0;0;38;68;99.000000;68.000000;68.686869;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;        49s  46ms 371μs  47ns;         2s 912ms 430μs 158ns
9ff005;4860;0;0;0;34;68;95.000000;68.000000;71.578947;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;     1m 28s 635ms 150μs 600ns;         2s 134ms 184μs 881ns
9fd4d4;4860;0;0;0;34;68;95.000000;68.000000;71.578947;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;     1m 30s 377ms  93μs 798ns;         2s 174ms 590μs 529ns
9fc8dc;5742;0;0;0;39;68;100.000000;68.000000;68.000000;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;         8s 511ms 268μs 502ns;         3s 194ms 264μs 805ns
