ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
3455;3397;340c;0;0;0000000000000038;        52s 494ms 858μs 846ns;2223;2204;            144ms 908μs 124ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4427
353e;3455;340c;0;0;0000000000000080;        53s 591ms  61μs  40ns;1653;-1;             97ms 604μs 999ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4464
353b;3455;340c;0;0;4000000000000080;        53s 589ms 374μs 360ns;1653;-1;             98ms 855μs 114ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4471
35db;3455;340c;0;0;0000000000000080;        54s 494ms 438μs 429ns;1378;-1;             90ms 817μs 779ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4514
369b;3455;340c;0;0;0000000000000080;        55s 397ms 767μs 717ns;1241;-1;             82ms 978μs 578ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4565
3685;3455;340c;0;0;4000000000000080;        55s 392ms 609μs 587ns;1241;-1;             84ms 603μs 330ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4585
36ee;3455;340c;0;0;0000000000000080;        55s 939ms 770μs 261ns;1104;-1;             76ms 662μs 464ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4619
3756;3455;340c;0;0;0000000000000080;        56s 472ms 670μs  18ns;966;-1;             65ms 904μs 507ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4650
37d2;3455;340c;0;0;0000000000000080;        57s 447ms  48μs 821ns;897;-1;             58ms 558μs 741ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4716
37d8;3455;340c;0;0;0000000000000080;        57s 447ms 186μs  13ns;897;-1;             67ms  26μs 256ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4717
3823;3455;340c;0;0;0000000000000080;        57s 977ms 398μs 775ns;828;-1;             53ms 944μs  99ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4736
38eb;3455;340c;0;0;0000000000000080;        58s 520ms  35μs 376ns;794;-1;             54ms 449μs 305ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4794
3916;3455;340c;0;0;0000000000000080;        58s 529ms 821μs 570ns;794;-1;             54ms 264μs 332ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4810
3915;3455;340c;0;0;0000000000000080;        58s 529ms 528μs 290ns;794;-1;             53ms 101μs 704ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4811
3908;3455;340c;0;0;0000000000000080;        58s 525ms 787μs 310ns;794;-1;             54ms 609μs 787ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4814
3977;3455;340c;0;0;0000000000000080;        58s 805ms 358μs 811ns;760;-1;             52ms 638μs 115ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4838
39a2;3455;340c;0;0;0000000000000080;        58s 814ms 458μs 847ns;760;-1;             50ms 442μs 949ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4844
399f;3455;340c;0;0;0000000000000080;        58s 813ms 458μs 865ns;760;-1;             52ms 108μs 148ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4845
39ff;3455;340c;0;0;0000000000000080;        59s  51ms 667μs  16ns;726;-1;             50ms 798μs 564ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4863
3b4c;3455;340c;0;0;0000000000000080;        59s 485ms 610μs 956ns;709;-1;             48ms 886μs 552ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4911
3b8d;3455;340c;0;0;0000000000000080;        59s 497ms 247μs 988ns;709;-1;             47ms 891μs  88ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4923
3ba6;3455;340c;0;0;0000000000000080;        59s 503ms 456μs 351ns;709;-1;             46ms 501μs 810ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4925
3ba3;3455;340c;0;0;0000000000000080;        59s 502ms 498μs 973ns;709;-1;             47ms 227μs 674ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4926
3b9a;3455;340c;0;0;0000000000000080;        59s 500ms 991μs 789ns;709;-1;             46ms 523μs 893ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4927
3b97;3455;340c;0;0;0000000000000080;        59s 499ms 470μs 747ns;709;-1;             45ms 382μs 612ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4930
3b94;3455;340c;0;0;0000000000000080;        59s 499ms 161μs 916ns;709;-1;             49ms 456μs 248ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4932
3b79;3455;340c;0;0;0000000000000080;        59s 492ms 433μs 390ns;709;-1;             49ms  72μs  98ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4935
3c26;3455;340c;0;0;0000000000000080;        59s 931ms 593μs 913ns;692;-1;             45ms 617μs 541ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4984
3c29;3455;340c;0;0;0000000000000080;        59s 931ms 486μs 855ns;692;-1;             46ms 263μs 714ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4985
3c2f;3455;340c;0;0;0000000000000080;        59s 932ms  91μs 669ns;692;-1;             47ms 524μs 622ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4986
3c2c;3455;340c;0;0;0000000000000080;        59s 931ms 834μs  51ns;692;-1;             48ms  47μs 135ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4987
3c9a;3455;340c;0;0;0000000000000080;        59s 950ms 823μs 222ns;692;-1;             48ms 686μs 219ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4994
3c99;3455;340c;0;0;0000000000000080;        59s 950ms 813μs 637ns;692;-1;             47ms 623μs 974ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4995
3c90;3455;340c;0;0;0000000000000080;        59s 947ms 510μs   5ns;692;-1;             46ms 225μs 947ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;4997
