ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
51;75c8;200;7230;1;        28s 892ms 539μs 538ns;15921.428571;             18ms 398μs 480ns;        22s 266ms 206μs 986ns;0.000000;0.000000
50;736f;200;0;0;        11s 150ms 610μs  50ns;1090.909091;            275ms 992μs 211ns;                          0ns;0.000000;0.000000
49;7116;200;0;0;        10s 224ms 627μs 569ns;1200.000000;            254ms 479μs 361ns;                          0ns;0.000000;0.000000
48;6ebd;200;0;0;         9s 887ms 862μs 622ns;1333.333333;            245ms 957μs 983ns;                          0ns;0.000000;0.000000
47;6c64;200;0;0;        10s 316ms 232μs 990ns;1200.000000;            255ms 336μs  95ns;                          0ns;0.000000;0.000000
46;6a0b;200;0;0;         9s 939ms 856μs 344ns;1333.333333;            246ms 386μs 843ns;                          0ns;0.000000;0.000000
45;67b2;200;0;0;         9s 445ms 748μs 363ns;1333.333333;            233ms 616μs 118ns;                          0ns;0.000000;0.000000
44;6559;200;0;0;         9s 412ms 293μs 903ns;1333.333333;            232ms 842μs 244ns;                          0ns;0.000000;0.000000
43;6300;200;0;0;         9s 726ms 243μs 409ns;1333.333333;            240ms 683μs 929ns;                          0ns;0.000000;0.000000
42;60a7;200;0;0;         9s 216ms 241μs 901ns;1333.333333;            228ms 194μs 758ns;                          0ns;0.000000;0.000000
41;5e4e;200;0;0;         8s 925ms 395μs 132ns;1500.000000;            220ms 765μs  65ns;                          0ns;0.000000;0.000000
40;5bf5;200;0;0;         8s 683ms 172μs 549ns;1500.000000;            215ms 860μs 937ns;                          0ns;0.000000;0.000000
39;599c;200;0;0;         8s 175ms 630μs 927ns;1500.000000;            202ms  89μs 616ns;                          0ns;0.000000;0.000000
38;5743;200;0;0;         7s 976ms 579μs  51ns;1714.285714;            198ms 352μs 334ns;                          0ns;0.000000;0.000000
37;54ea;200;0;0;         7s 881ms 765μs 345ns;1714.285714;            194ms 784μs 572ns;                          0ns;0.000000;0.000000
36;5291;200;0;0;         7s 738ms 268μs 506ns;1714.285714;            191ms 219μs 784ns;                          0ns;0.000000;0.000000
35;5038;200;0;0;         7s  78ms 166μs 467ns;1714.285714;            174ms 915μs 884ns;                          0ns;0.000000;0.000000
34;4ddf;200;0;0;         7s 521ms 823μs 886ns;1714.285714;            185ms 859μs 348ns;                          0ns;0.000000;0.000000
33;4b86;200;0;0;         7s 526ms 743μs 182ns;1714.285714;            186ms  43μs 286ns;                          0ns;0.000000;0.000000
