ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
d3d2;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms  65μs 792ns;1;-1;              1ms 406μs 289ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14417
d3df;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 278μs 101ns;1;-1;              1ms 381μs 345ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14418
d3d4;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 119μs 705ns;1;-1;              1ms 786μs 573ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14419
d3de;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 261μs 432ns;1;-1;                  339μs 348ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14420
d3dd;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 258μs 951ns;1;-1;              1ms 866μs 187ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14421
d3dc;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 249μs   4ns;1;-1;              1ms 401μs 712ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14422
d3db;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 243μs 665ns;1;-1;              1ms 471μs 339ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14423
d3d8;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 211μs 510ns;1;-1;              1ms 386μs 892ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14423
d3d7;d25d;75c8;0;0;0000000000000080;     5m  4s  27ms 197μs 579ns;1;-1;              2ms 194μs 303ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;14425
9a67;9952;75c8;0;0;0000000000000080;     4m 58s 900ms 284μs  21ns;2;-1;              1ms 252μs 561ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;11944
9a72;9952;75c8;0;0;0000000000000080;     4m 58s 900ms 570μs 755ns;2;-1;              1ms 518μs 310ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;11945
