ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
8d4b;8b3a;8d42;0;0;0000000000000030;     6m 21s 704ms 900μs 215ns;5935;-1;            375ms 685μs 575ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12007
8d8c;8c61;8d42;0;0;0000000000000030;     6m 21s 720ms 712μs 344ns;5933;-1;            380ms 568μs 726ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12026
8df1;8c61;8d42;0;0;0000000000000030;     6m 22s  88ms 918μs 804ns;5930;-1;            398ms 910μs  86ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12057
8f6b;8cc3;8d42;0;0;0000000000000030;     6m 30s  85ms 818μs 510ns;5930;-1;            389ms 169μs 888ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12200
8d7a;8bb9;8d42;0;0;0000000000000030;     6m 21s 717ms 825μs 949ns;5929;-1;            384ms 104μs 504ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12023
8d89;8c1c;8d42;0;0;0000000000000030;     6m 21s 719ms 962μs 517ns;5929;-1;            380ms 174μs 385ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12025
8ddc;8bb0;8d42;0;0;0000000000000030;     6m 21s 742ms 869μs 680ns;5929;-1;            396ms  97μs 270ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12050
8e06;8d06;8d42;0;0;0000000000000030;     6m 22s 471ms 338μs 735ns;5929;-1;            396ms 578μs 252ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12064
8e51;8c61;8d42;0;0;0000000000000030;     6m 23s 992ms 741μs 434ns;5929;-1;            396ms 908μs 276ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12089
8e8c;8bb0;8d42;0;0;0000000000000030;     6m 25s 194ms 714μs  70ns;5929;-1;            396ms 529μs 682ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12110
8f1c;8d06;8d42;0;0;0000000000000030;     6m 28s 413ms 598μs 554ns;5928;-1;            387ms 616μs 399ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;12160
