ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
e70b;e580;8d42;0;0;0000000000000080;     6m 49s 273ms 106μs 603ns;1;-1;              1ms 436μs 595ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16447
e70a;e580;8d42;0;0;0000000000000080;     6m 49s 273ms 102μs 227ns;1;-1;              1ms 352μs 140ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16449
e708;e580;8d42;0;0;0000000000000080;     6m 49s 273ms  86μs 537ns;1;-1;              1ms 600μs 831ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16450
e709;e580;8d42;0;0;0000000000000080;     6m 49s 273ms  84μs 706ns;1;-1;              1ms 731μs 978ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16452
e707;e580;8d42;0;0;0000000000000080;     6m 49s 273ms  61μs 131ns;1;-1;              1ms 705μs 409ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16454
eae3;e487;8d42;0;0;0000000000000080;     6m 49s 424ms 332μs 522ns;1;-1;              1ms 809μs 421ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16675
eacc;e487;8d42;0;0;0000000000000080;     6m 49s 424ms 144μs 300ns;1;-1;              1ms 721μs 694ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;16678
1ac4a;1abd7;8d42;0;0;0000000000000080;     7m  2s 233ms 382μs 267ns;2;-1;                  337μs 204ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24844
1ac53;1abd7;8d42;0;0;0000000000000080;     7m  2s 234ms 320μs 645ns;2;-1;              1ms 520μs 861ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24888
1ac6d;1abd7;8d42;0;0;0000000000000080;     7m  2s 234ms 129μs 717ns;2;-1;              1ms 652μs 852ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24893
1ac6c;1abd7;8d42;0;0;0000000000000080;     7m  2s 234ms 122μs 179ns;2;-1;              1ms 365μs  66ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24894
1ac6a;1abd7;8d42;0;0;0000000000000080;     7m  2s 234ms 106μs 725ns;2;-1;              1ms 752μs 722ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24895
1ac69;1abd7;8d42;0;0;0000000000000080;     7m  2s 234ms  96μs 846ns;2;-1;              1ms 466μs 183ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24896
1ac66;1abd7;8d42;0;0;0000000000000080;     7m  2s 233ms 939μs 205ns;2;-1;              1ms 368μs 128ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24897
1ac68;1abd7;8d42;0;0;0000000000000080;     7m  2s 233ms 952μs 819ns;2;-1;              1ms 632μs 144ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;24898
