ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
bee2;0;0;0;0;1;2;29.000000;29.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;                   21μs 567ns;                          0ns
bee3;200;0;0;0;6;28;29.000000;28.000000;96.551724;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;             81ms 981μs  49ns;              8ms 346μs 959ns
a56d;0;0;2;0;1;2;21.000000;21.000000;100.000000;17.000000;17.000000;100.000000;0.000000;0.000000;-nan;                  161μs 933ns;                          0ns
a56e;0;0;0;0;1;2;20.000000;20.000000;100.000000;19.000000;19.000000;100.000000;0.000000;0.000000;-nan;                   46μs 261ns;                          0ns
a571;1;0;1;0;1;2;21.000000;21.000000;100.000000;18.000000;18.000000;100.000000;0.000000;0.000000;-nan;              8ms 964μs 787ns;                          0ns
a572;0;0;2;0;1;2;19.000000;19.000000;100.000000;16.000000;16.000000;100.000000;0.000000;0.000000;-nan;                   65μs 987ns;                          0ns
a577;7;0;6;0;3;6;26.000000;26.000000;100.000000;20.000000;20.000000;100.000000;0.000000;0.000000;-nan;             35ms 816μs  42ns;                          0ns
bc63;0;0;0;0;1;2;29.000000;29.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;                   86μs  19ns;                          0ns
bc64;200;0;0;0;6;28;29.000000;28.000000;96.551724;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            135ms 471μs 351ns;              8ms 316μs 259ns
bc2e;0;0;0;0;1;2;29.000000;29.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;                   93μs 186ns;                          0ns
bc2f;202;0;0;0;6;28;29.000000;28.000000;96.551724;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            130ms 458μs  44ns;              8ms 346μs 959ns
b958;0;0;0;0;1;2;29.000000;29.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;                   69μs 244ns;                          0ns
b959;0;0;0;0;1;2;26.000000;26.000000;100.000000;25.000000;25.000000;100.000000;0.000000;0.000000;-nan;                   56μs 182ns;                          0ns
b95a;0;0;0;0;1;2;29.000000;29.000000;100.000000;27.000000;27.000000;100.000000;0.000000;0.000000;-nan;                   46μs 601ns;                          0ns
b95b;0;0;0;0;1;2;27.000000;27.000000;100.000000;24.000000;24.000000;100.000000;0.000000;0.000000;-nan;                   44μs 680ns;                          0ns
b95c;0;0;0;0;1;2;27.000000;27.000000;100.000000;26.000000;26.000000;100.000000;0.000000;0.000000;-nan;                   33μs 284ns;                          0ns
889f;0;0;0;0;1;2;15.000000;15.000000;100.000000;14.000000;14.000000;100.000000;0.000000;0.000000;-nan;                   49μs  73ns;                          0ns
