ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
8d7c;8737;8541;0;0;0000000000000080;         1s 957ms 664μs 321ns;29;-1;              8ms 591μs 875ns;28.000000;1.035714;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1495
8d7b;8737;8541;0;0;0000000000000080;         1s 957ms 653μs 422ns;29;-1;              8ms 694μs  93ns;28.000000;1.035714;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1496
8d75;8737;8541;0;0;0000000000000080;         1s 957ms 625μs  22ns;29;-1;              8ms 714μs 713ns;28.000000;1.035714;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1497
8d73;8737;8541;0;0;0000000000000080;         1s 957ms 615μs 438ns;29;-1;              8ms 704μs 155ns;28.000000;1.035714;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1498
8b15;8560;8541;0;0;0000000000000080;         1s 930ms 884μs 842ns;30;-1;              8ms 654μs 841ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1479
8b10;8560;8541;0;0;0000000000000080;         1s 930ms 858μs 562ns;30;-1;              8ms 767μs 950ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1480
8b0f;8560;8541;0;0;0000000000000080;         1s 930ms 850μs 166ns;30;-1;              9ms 197μs 659ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1482
8b0b;8560;8541;0;0;4000000000000080;         1s 930ms 841μs 320ns;30;-1;             10ms 151μs 285ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1483
928d;87b0;8541;0;0;0000000000000080;         1s 998ms 257μs 453ns;30;-1;              8ms 603μs 538ns;28.000000;1.071429;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000;;0;1517
928e;87b0;8541;0;0;0000000000000080;         1s 998ms 245μs 231ns;30;-1;              8ms 665μs 859ns;28.000000;1.071429;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000;;0;1518
928b;87b0;8541;0;0;0000000000000080;         1s 998ms 241μs 367ns;30;-1;              8ms 780μs 777ns;28.000000;1.071429;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000;;0;1519
9285;87b0;8541;0;0;4000000000000080;         1s 998ms 211μs 462ns;30;-1;              9ms 217μs 986ns;28.000000;1.071429;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000;;0;1520
98e1;809e;8541;0;0;0000000000000070;         2s  96ms 413μs   2ns;102;30;              9ms 105μs 788ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,14.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1614
995d;82aa;8541;0;0;0000000000000070;         2s 105ms 620μs 276ns;113;30;              8ms 710μs 352ns;28.000000;1.071429;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1617
85a1;82aa;8541;0;0;0000000000000070;         1s 820ms 881μs 435ns;95;31;              8ms 733μs 768ns;28.000000;1.107143;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1418
85ad;82aa;8541;0;0;0000000000000070;         1s 821ms 532μs  40ns;82;31;              8ms 644μs 474ns;28.000000;1.107143;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1419
87c8;82aa;8541;0;0;0000000000000070;         1s 860ms 201μs 974ns;117;31;              8ms 943μs 390ns;28.000000;1.107143;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1491
8e3b;82aa;8541;0;0;0000000000000070;         1s 968ms 477μs 231ns;82;31;              9ms  86μs 259ns;28.000000;1.107143;0.000000;inf;3;1;Failing;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000;;0;1552
