ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
42;bff5;200;0;0;            396ms 304μs 299ns;inf;              9ms 230μs 894ns;                          0ns;0.000000;0.000000
17;5e4c;200;0;0;            231ms 589μs 596ns;inf;              4ms 946μs  47ns;                          0ns;0.000000;0.000000
41;bbae;200;0;0;            388ms 521μs   3ns;inf;              9ms  48μs 118ns;                          0ns;0.000000;0.000000
16;5ac5;200;0;0;            226ms 655μs 547ns;inf;              4ms 818μs 474ns;                          0ns;0.000000;0.000000
40;b761;200;0;0;            384ms 150μs   8ns;inf;              8ms 940μs 494ns;                          0ns;0.000000;0.000000
15;5730;200;0;0;            213ms 435μs 588ns;inf;              4ms 566μs  60ns;                          0ns;0.000000;0.000000
39;b3d2;200;0;0;            373ms 359μs 778ns;inf;              8ms 665μs 475ns;                          0ns;0.000000;0.000000
14;5345;200;0;0;            214ms 110μs 721ns;inf;              4ms 570μs 768ns;                          0ns;0.000000;0.000000
38;b00d;200;0;0;            361ms 823μs 337ns;inf;              8ms 376μs  62ns;                          0ns;0.000000;0.000000
13;4eb6;200;0;0;            204ms 459μs 493ns;inf;              4ms 316μs 921ns;                          0ns;0.000000;0.000000
37;ac78;200;0;0;            355ms 563μs 322ns;inf;              8ms 221μs 346ns;                          0ns;0.000000;0.000000
12;4b01;200;0;0;            200ms 385μs 251ns;inf;              4ms 188μs 951ns;                          0ns;0.000000;0.000000
36;a8d5;200;0;0;            350ms 123μs 765ns;inf;              8ms  78μs 765ns;                          0ns;0.000000;0.000000
11;46d6;200;0;0;            186ms 966μs 498ns;inf;              3ms 808μs 279ns;                          0ns;0.000000;0.000000
35;a4e6;200;0;0;            344ms 509μs 745ns;inf;              7ms 978μs 717ns;                          0ns;0.000000;0.000000
10;4273;200;0;0;            185ms 298μs 620ns;inf;              3ms 838μs 986ns;                          0ns;0.000000;0.000000
34;9fb5;200;0;0;            339ms 447μs 465ns;inf;              7ms 774μs 909ns;                          0ns;0.000000;0.000000
9;3e56;200;0;0;            176ms 541μs 727ns;inf;              3ms 490μs  90ns;                          0ns;0.000000;0.000000
33;9b16;200;0;0;            325ms 653μs 437ns;inf;              7ms 484μs  72ns;                          0ns;0.000000;0.000000
8;3ac9;200;0;0;            164ms  93μs 928ns;inf;              3ms 277μs 514ns;                          0ns;0.000000;0.000000
7;372e;200;0;0;            154ms 847μs 905ns;inf;              3ms  52μs 177ns;                          0ns;0.000000;0.000000
32;971f;200;0;0;            312ms 913μs 933ns;inf;              7ms 165μs 140ns;                          0ns;0.000000;0.000000
6;338d;200;0;0;            148ms 762μs 452ns;inf;              2ms 856μs 561ns;                          0ns;0.000000;0.000000
31;938e;200;0;0;            290ms 537μs 815ns;inf;              6ms 602μs 386ns;                          0ns;0.000000;0.000000
30;8fbb;200;0;0;            264ms 933μs 950ns;inf;              6ms  19μs 981ns;                          0ns;0.000000;0.000000
5;2f5a;200;0;0;            139ms 538μs 317ns;inf;              2ms 652μs 717ns;                          0ns;0.000000;0.000000
29;8b86;200;0;0;            261ms 162μs 746ns;inf;              5ms 884μs 957ns;                          0ns;0.000000;0.000000
4;29af;200;0;0;            136ms 324μs 479ns;inf;              2ms 563μs 418ns;                          0ns;0.000000;0.000000
28;8765;200;0;0;            255ms 551μs  73ns;inf;              5ms 735μs 389ns;                          0ns;0.000000;0.000000
3;253e;200;0;0;            127ms 328μs 179ns;inf;              2ms 284μs 297ns;                          0ns;0.000000;0.000000
27;8316;200;0;0;            298ms 760μs 932ns;inf;              6ms 845μs 747ns;                          0ns;0.000000;0.000000
26;7ebf;200;0;0;            272ms 705μs 414ns;inf;              6ms 180μs 626ns;                          0ns;0.000000;0.000000
2;1dcd;200;0;0;            124ms 962μs 629ns;inf;              2ms 105μs 503ns;                          0ns;0.000000;0.000000
25;7af6;200;0;0;            255ms 619μs 880ns;inf;              5ms 750μs 953ns;                          0ns;0.000000;0.000000
24;779f;200;0;0;            244ms 165μs 104ns;inf;              5ms 487μs 308ns;                          0ns;0.000000;0.000000
23;7410;200;0;0;            234ms 294μs 680ns;inf;              5ms 226μs 458ns;                          0ns;0.000000;0.000000
22;706d;200;0;0;            216ms 207μs 332ns;inf;              4ms 753μs 722ns;                          0ns;0.000000;0.000000
21;6d04;200;0;0;            203ms 750μs 394ns;inf;              4ms 489μs 659ns;                          0ns;0.000000;0.000000
20;6965;200;0;0;            199ms 327μs 567ns;inf;              4ms 363μs 859ns;                          0ns;0.000000;0.000000
19;65dc;200;0;0;            192ms 441μs 132ns;inf;              4ms 155μs 614ns;                          0ns;0.000000;0.000000
43;c3c4;200;1940;1;         2s 584ms 753μs 174ns;64200.000000;              5ms 399μs 626ns;         2s 464ms 688μs 571ns;0.000000;0.000000
18;6231;200;0;0;            211ms 726μs 506ns;inf;              4ms 575μs 991ns;                          0ns;0.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;200;0;0;            175ms 157μs 657ns;inf;              1ms 855μs 977ns;                          0ns;0.000000;0.000000
