ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
72d1;6ac0;7166;0;0;0000000000000070;         4s 424ms 295μs 500ns;185;95;              5ms 627μs 998ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4670
7419;6cc9;7166;0;0;0000000000000070;         4s 484ms 804μs 893ns;142;95;              5ms 433μs 404ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4726
7212;6cc9;7166;0;0;0000000000000070;         4s 403ms 792μs 417ns;173;93;              5ms 729μs 387ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4639
72a5;6cc9;7166;0;0;0000000000000070;         4s 416ms 737μs  33ns;170;93;              5ms 408μs 673ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4662
732c;6c22;7166;0;0;0000000000000070;         4s 439ms 100μs 723ns;159;92;              5ms 313μs 680ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4683
7340;6d2d;7166;0;0;0000000000000070;         4s 442ms 321μs 945ns;161;92;              5ms 634μs 163ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4687
758f;6c22;7166;0;0;0000000000000070;         4s 555ms 743μs 119ns;144;92;              5ms 622μs 170ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4793
6cc9;6aa2;6b63;15;15;4000000000000070;         4s 185ms 272μs 688ns;155;91;              4ms 708μs 217ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4463
6d2d;67b0;6b63;15;15;4000000000000070;         4s 198ms 993μs 371ns;169;91;              5ms 306μs  13ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4475
7368;6ac0;7166;0;0;0000000000000070;         4s 446ms 822μs 198ns;139;91;              5ms 139μs 586ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4691
73d3;6cc9;7166;0;0;0000000000000070;         4s 472ms 150μs  40ns;148;91;              5ms 304μs 109ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4714
73db;6d2d;7166;0;0;0000000000000070;         4s 473ms 636μs 391ns;154;91;              5ms 128μs 192ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4716
73f8;70bd;7166;0;0;0000000000000070;         4s 479ms  49μs 782ns;173;91;              5ms 229μs 331ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4721
745f;6cc9;7166;0;0;0000000000000070;         4s 496ms 676μs 774ns;155;91;              5ms 340μs 909ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4737
7463;6d0a;7166;0;0;0000000000000070;         4s 497ms 210μs 325ns;143;91;              5ms 349μs 113ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4738
748f;7125;7166;0;0;0000000000000070;         4s 508ms 633μs 295ns;161;91;              5ms 604μs 451ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4748
74e6;7125;7166;0;0;0000000000000070;         4s 526ms 243μs 518ns;171;91;              5ms 546μs 329ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4765
753d;6b9d;7166;0;0;0000000000000070;         4s 540ms 647μs   7ns;177;91;              5ms 101μs 741ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4778
754b;6c22;7166;0;0;0000000000000070;         4s 542ms 459μs 635ns;168;91;              5ms 574μs 505ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4780
75a4;6d2d;7166;0;0;0000000000000070;         4s 561ms 110μs 765ns;185;91;              5ms 108μs 453ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4797
7182;6cc9;7166;0;0;0000000000000070;         4s 397ms 948μs 773ns;165;90;              6ms 149μs 528ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4606
71a3;70bd;7166;0;0;0000000000000070;         4s 399ms 790μs 853ns;171;90;              5ms 258μs 282ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4612
722c;6fd6;7166;0;0;0000000000000070;         4s 404ms 875μs 898ns;169;90;              5ms 289μs 321ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4641
7312;7125;7166;0;0;0000000000000070;         4s 433ms 690μs  99ns;182;90;              4ms 869μs   1ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4679
7440;7125;7166;0;0;0000000000000070;         4s 491ms 631μs 915ns;155;90;              5ms 277μs 614ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4733
74bf;6d2d;7166;0;0;0000000000000070;         4s 519ms 305μs 199ns;153;90;              5ms  15μs 830ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4758
7512;6d2d;7166;0;0;0000000000000070;         4s 533ms 120μs 883ns;172;90;              5ms 345μs  99ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4771
75ab;6e7d;7166;0;0;0000000000000070;         4s 563ms  85μs 604ns;170;90;              5ms 154μs 223ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4798
6b9d;6aa2;6b63;15;15;4000000000000070;         4s 167ms 711μs 603ns;161;89;              5ms 807μs   7ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4407
6c22;69e2;6b63;15;15;4000000000000070;         4s 171ms 103μs 232ns;134;89;              5ms 143μs 680ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4433
6d0a;6aa2;6b63;15;15;4000000000000070;         4s 195ms 776μs 446ns;141;89;              4ms 354μs 945ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4472
6fd6;6a16;6b63;14;14;4000000000000070;         4s 278ms  64μs 459ns;148;89;              5ms 240μs 527ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4554
7125;698b;6b63;14;14;4000000000000070;         4s 317ms 283μs  25ns;162;89;              4ms 904μs 495ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4592
716f;6bcc;7166;0;0;0000000000000070;         4s 396ms 970μs 213ns;173;89;              6ms  71μs 485ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4601
7187;6d2d;7166;0;0;0000000000000070;         4s 398ms 240μs 787ns;145;89;              4ms 836μs 107ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4607
719d;7021;7166;0;0;0000000000000070;         4s 399ms 470μs 278ns;141;89;              5ms 664μs 934ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4611
71d0;6daf;7166;0;0;0000000000000070;         4s 401ms 345μs 923ns;146;89;              5ms 141μs 579ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4622
71dd;6f5b;7166;0;0;0000000000000070;         4s 401ms 808μs 345ns;177;89;              5ms  33μs 171ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4626
71e8;706d;7166;0;0;0000000000000070;         4s 402ms 144μs 823ns;141;89;              5ms 231μs 772ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4628
7214;6d0a;7166;0;0;0000000000000070;         4s 403ms 647μs 566ns;138;89;              5ms  29μs 113ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4635
72aa;6d0a;7166;0;0;0000000000000070;         4s 417ms  42μs 973ns;157;89;              5ms 209μs 354ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4663
72b0;6daf;7166;0;0;0000000000000070;         4s 418ms 885μs 736ns;144;89;              5ms 113μs 322ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4665
72de;6c22;7166;0;0;0000000000000070;         4s 428ms 208μs 688ns;157;89;              4ms 937μs 534ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4673
72ef;6d0a;7166;0;0;0000000000000070;         4s 428ms 939μs 109ns;187;89;              5ms  45μs 188ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4674
7305;6f5b;7166;0;0;0000000000000070;         4s 430ms 991μs   1ns;170;89;              5ms 604μs 604ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4677
7319;6b9d;7166;0;0;0000000000000070;         4s 434ms 856μs 406ns;165;89;              5ms 482μs 900ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4680
7325;6bcc;7166;0;0;0000000000000070;         4s 437ms  28μs 284ns;165;89;              5ms 608μs 920ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4682
733d;6d0a;7166;0;0;0000000000000070;         4s 441ms 188μs 853ns;157;89;              5ms 406μs 923ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4686
735a;6fd6;7166;0;0;0000000000000070;         4s 445ms 327μs  62ns;158;89;              5ms 190μs  78ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4689
736b;6b9d;7166;0;0;0000000000000070;         4s 447ms 536μs 269ns;162;89;              5ms 353μs 422ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4692
739b;6e99;7166;0;0;0000000000000070;         4s 456ms 603μs 439ns;162;89;              5ms 126μs 827ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4700
73a0;6fd6;7166;0;0;0000000000000070;         4s 457ms 710μs 714ns;158;89;              5ms   5μs  92ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4701
73b8;6bbf;7166;0;0;0000000000000070;         4s 466ms 798μs 637ns;168;89;              5ms 150μs 143ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4709
