ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
7dc0;7cca;7166;0;0;0000000000000080;         4s 921ms  90μs 837ns;1;-1;              1ms 210μs 395ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5162
7dbf;7cca;7166;0;0;0000000000000080;         4s 921ms  68μs 254ns;1;-1;              1ms 538μs 635ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;5163
7de9;7cca;7166;0;0;0000000000000080;         4s 921ms 375μs 922ns;1;-1;              1ms 224μs 642ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5164
7de7;7cca;7166;0;0;0000000000000080;         4s 921ms 367μs 296ns;1;-1;              1ms 240μs 118ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;5165
7de6;7cca;7166;0;0;0000000000000080;         4s 921ms 355μs 414ns;1;-1;                  290μs 956ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;5166
7de2;7cca;7166;0;0;0000000000000080;         4s 921ms 322μs 505ns;1;-1;              1ms 135μs 235ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5167
67;0;66;0;0;0000000000000010;              4ms 381μs 716ns;81;2;              3ms 897μs 792ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;0
73;0;66;0;0;0000000000000010;              5ms  97μs 783ns;75;2;              1ms 975μs 214ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;1
6a;0;66;0;0;0000000000000010;              4ms 617μs 440ns;82;2;              4ms 652μs 695ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
6d;0;66;0;0;0000000000000010;              4ms 756μs 487ns;80;2;              4ms 498μs 519ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
79;0;66;0;0;0000000000000010;              5ms 683μs 482ns;91;2;              3ms  76μs 416ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
70;0;66;0;0;0000000000000010;              4ms 913μs 779ns;83;2;              4ms 314μs 136ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
76;0;66;0;0;0000000000000010;              5ms 383μs 571ns;98;2;              3ms 822μs 687ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
7c;0;66;0;0;0000000000000010;              5ms 849μs 232ns;90;2;              2ms 797μs 501ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
82;0;66;0;0;0000000000000010;              6ms 263μs 207ns;87;2;              2ms 837μs 975ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
85;0;66;0;0;0000000000000010;              6ms 467μs 339ns;99;2;              2ms 762μs 959ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
8b;0;66;0;0;0000000000000010;              6ms 912μs 186ns;70;2;              2ms 471μs 636ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
88;0;66;0;0;0000000000000010;              6ms 762μs 143ns;100;2;              2ms 864μs 967ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
8e;0;66;0;0;0000000000000010;              7ms  91μs 608ns;95;2;              2ms 506μs 122ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
91;0;66;0;0;0000000000000010;              7ms 300μs 660ns;74;2;              2ms 739μs 913ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
97;0;66;0;0;0000000000000010;              7ms 642μs  60ns;70;2;              1ms 693μs 931ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
9d;0;66;0;0;0000000000000010;              7ms 986μs 572ns;82;2;              2ms 301μs 194ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
a0;0;66;0;0;0000000000000010;              8ms 180μs 373ns;90;2;              2ms 210μs 614ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
a3;0;66;0;0;0000000000000010;              9ms 634μs 797ns;98;2;              1ms 987μs  44ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
a9;0;66;0;0;0000000000000010;              9ms 830μs 321ns;71;2;              1ms 768μs 307ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
ac;0;66;0;0;0000000000000010;              9ms 916μs 277ns;54;2;              1ms 907μs 667ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
b2;0;66;0;0;0000000000000010;             10ms 157μs 807ns;58;2;              1ms 628μs 602ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
b8;0;66;0;0;0000000000000010;             10ms 434μs 505ns;71;2;              1ms 935μs 941ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
be;0;66;0;0;0000000000000010;             10ms 762μs 181ns;100;2;              1ms 992μs 608ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
c1;0;66;0;0;0000000000000010;             10ms 871μs 215ns;70;2;              1ms 844μs 970ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
c9;0;66;0;0;0000000000000010;             11ms 267μs 329ns;78;2;              1ms 728μs 355ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
cf;0;66;0;0;0000000000000010;             11ms 420μs 139ns;59;2;              1ms 951μs 360ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
d8;0;66;0;0;0000000000000010;             11ms 850μs 322ns;96;2;              1ms 519μs 458ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
d5;0;66;0;0;0000000000000010;             11ms 719μs 431ns;54;2;              1ms 751μs 328ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
94;0;66;0;0;0000000000000010;              7ms 417μs 726ns;53;2;              1ms 659μs 843ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;37
a6;0;66;0;0;0000000000000010;              9ms 728μs 916ns;51;2;              1ms 559μs 479ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;38
9a;0;66;0;0;0000000000000010;              7ms 780μs 756ns;56;2;              1ms 979μs 883ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;38
f9;0;66;0;0;0000000000000010;             32ms 269μs 839ns;78;2;              1ms 533μs 213ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;38
10a;0;66;0;0;0000000000000010;             32ms 588μs 424ns;57;2;              1ms 240μs  97ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;43
11a;0;66;0;0;0000000000000010;             33ms 113μs 602ns;95;2;              1ms 960μs 268ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;43
127;0;66;0;0;0000000000000010;             33ms 261μs 240ns;57;2;              1ms 838μs 560ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;45
12b;0;66;0;0;0000000000000010;             33ms 287μs 501ns;53;2;                  998μs 327ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;48
13a;0;66;0;0;0000000000000010;             33ms 646μs 111ns;100;2;              2ms 326μs 845ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;48
160;0;66;0;0;0000000000000010;             34ms 283μs 938ns;91;2;                  642μs 529ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;52
16b;0;66;0;0;0000000000000010;             34ms 354μs 184ns;61;2;                  916μs 804ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;52
18e;0;66;0;0;0000000000000010;             35ms 485μs 745ns;71;2;              1ms 556μs 928ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;60
18b;0;66;0;0;0000000000000010;             35ms 328μs   8ns;82;2;              2ms 282μs 767ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;61
75ef;7568;7166;0;0;0000000000000080;         4s 621ms 873μs 640ns;78;2;              1ms 155μs 608ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4808
766e;7568;7166;0;0;0000000000000080;         4s 642ms 660μs 540ns;2;-1;              1ms 110μs 608ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;4838
766f;7568;7166;0;0;0000000000000080;         4s 642ms 707μs 466ns;2;-1;              1ms 139μs 743ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;4839
7674;7568;7166;0;0;0000000000000080;         4s 642ms 741μs 909ns;2;-1;              1ms 331μs 224ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;4840
7675;7568;7166;0;0;0000000000000080;         4s 642ms 753μs 755ns;2;-1;              1ms 211μs 162ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;4840
7676;7568;7166;0;0;0000000000000080;         4s 642ms 761μs 332ns;2;-1;                  350μs 887ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;4842
7bcf;7568;7166;0;0;0000000000000080;         4s 838ms 826μs 288ns;77;2;              1ms 120μs 760ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5053
7cb6;7568;7166;0;0;0000000000000080;         4s 871ms 674μs 469ns;75;2;              1ms 373μs 178ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5093
7f;0;66;0;0;0000000000000010;              6ms  65μs 521ns;95;3;              2ms 739μs 832ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
bb;0;66;0;0;0000000000000010;             10ms 608μs 595ns;99;3;              1ms 722μs 911ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
