ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
16cfb;16866;16b47;0;5224;0000000000000078;        43s 578ms 702μs 374ns;371;317;             20ms  66μs 219ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18495
1729e;16cfb;16b47;0;0;0000000000000080;        44s 234ms 523μs 353ns;313;-1;             21ms 627μs 330ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18663
17292;16cfb;16b47;0;0;0000000000000080;        44s 234ms 293μs 475ns;313;-1;             20ms 890μs 533ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18667
17290;16cfb;16b47;0;0;0000000000000080;        44s 234ms 257μs 720ns;313;-1;             20ms 682μs 283ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18668
1727f;16cfb;16b47;0;0;0000000000000080;        44s 233ms 904μs 439ns;313;-1;             20ms 313μs 912ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18674
17276;16cfb;16b47;0;0;0000000000000080;        44s 233ms 666μs 264ns;313;-1;             20ms 191μs 251ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18677
1726e;16cfb;16b47;0;0;0000000000000080;        44s 233ms 497μs 311ns;313;-1;             19ms 969μs 857ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18679
17265;16cfb;16b47;0;0;0000000000000080;        44s 233ms 298μs 465ns;313;-1;             20ms 966μs 775ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18683
1725f;16cfb;16b47;0;0;0000000000000080;        44s 233ms 153μs 630ns;313;-1;             20ms 655μs 222ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18684
1725c;16cfb;16b47;0;0;0000000000000080;        44s 233ms 108μs 485ns;313;-1;             20ms 738μs 950ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18685
1725b;16cfb;16b47;0;0;0000000000000080;        44s 233ms  92μs 763ns;313;-1;             20ms 563μs  43ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18686
17257;16cfb;16b47;0;0;0000000000000080;        44s 232ms 976μs  59ns;313;-1;             20ms 563μs 818ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18687
17253;16cfb;16b47;0;0;0000000000000080;        44s 232ms 908μs 648ns;313;-1;             19ms 992μs 263ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18689
1724b;16cfb;16b47;0;0;0000000000000080;        44s 232ms 725μs 668ns;313;-1;             20ms 511μs 879ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18693
17245;16cfb;16b47;0;0;0000000000000080;        44s 232ms 616μs 402ns;313;-1;             20ms 569μs 472ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18694
1723b;16cfb;16b47;0;0;0000000000000080;        44s 232ms 480μs 287ns;313;-1;             20ms 696μs 655ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18695
1723d;16cfb;16b47;0;0;0000000000000080;        44s 232ms 440μs 767ns;313;-1;             20ms 544μs 573ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18698
1722f;16cfb;16b47;0;0;0000000000000080;        44s 232ms  89μs 307ns;313;-1;             20ms 457μs 793ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18702
17229;16cfb;16b47;0;0;0000000000000080;        44s 231ms 951μs  68ns;313;-1;             20ms 557μs 941ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18704
17220;16cfb;16b47;0;0;0000000000000080;        44s 231ms 934μs 344ns;313;-1;             20ms 125μs 429ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18705
17223;16cfb;16b47;0;0;0000000000000080;        44s 231ms 820μs 998ns;313;-1;             19ms 775μs 492ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18706
17212;16cfb;16b47;0;0;0000000000000080;        44s 231ms 646μs 519ns;313;-1;             18ms 217μs  60ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18711
17217;16cfb;16b47;0;0;0000000000000080;        44s 231ms 626μs 881ns;313;-1;             20ms 563μs 751ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18713
17204;16cfb;16b47;0;0;0000000000000080;        44s 231ms 376μs 107ns;313;-1;             19ms 257μs 236ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18717
17209;16cfb;16b47;0;0;0000000000000080;        44s 231ms 270μs 522ns;313;-1;             19ms 294μs 960ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18718
171fa;16cfb;16b47;0;0;0000000000000080;        44s 231ms   6μs 237ns;313;-1;             19ms 428μs 490ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18724
171f0;16cfb;16b47;0;0;0000000000000080;        44s 230ms 875μs 150ns;313;-1;             18ms 845μs 252ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18726
171e5;16cfb;16b47;0;0;0000000000000080;        44s 230ms 765μs 186ns;313;-1;             17ms 396μs  79ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18728
171d8;16cfb;16b47;0;0;0000000000000080;        44s 230ms 252μs 917ns;313;-1;             20ms 371μs 318ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18731
171d4;16cfb;16b47;0;0;0000000000000080;        44s 230ms 169μs 702ns;313;-1;             20ms 387μs 732ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18732
171d0;16cfb;16b47;0;0;0000000000000080;        44s 230ms  67μs  87ns;313;-1;             20ms 583μs 365ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18733
171c2;16cfb;16b47;0;0;0000000000000080;        44s 230ms  24μs 729ns;313;-1;             20ms  36μs 895ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18735
171c9;16cfb;16b47;0;0;0000000000000080;        44s 229ms 922μs 172ns;313;-1;             19ms 109μs 143ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18738
171c7;16cfb;16b47;0;0;0000000000000080;        44s 229ms 890μs 114ns;313;-1;             18ms  78μs 511ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18743
171c1;16cfb;16b47;0;0;4000000000000080;        44s 229ms 739μs 973ns;313;-1;             17ms 770μs 478ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18744
17473;16cfb;16b47;0;0;0000000000000080;        44s 553ms 850μs 922ns;309;-1;             20ms 942μs 818ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18762
17465;16cfb;16b47;0;0;0000000000000080;        44s 553ms 629μs 458ns;309;-1;             20ms 285μs 789ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;18766
