ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
22797;22575;16b47;0;0;0000000000000080;     1m  4s 469ms 720μs 598ns;1;-1;              1ms 280μs 448ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;26495
22798;22575;16b47;0;0;0000000000000080;     1m  4s 469ms 699μs 180ns;1;-1;              1ms 120μs 339ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;26495
22799;22575;16b47;0;0;0000000000000080;     1m  4s 469ms 740μs 499ns;1;-1;              1ms 511μs 332ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26497
227bd;22575;16b47;0;0;0000000000000080;     1m  4s 470ms 133μs 882ns;1;-1;              1ms 332μs 398ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;26497
227bc;22575;16b47;0;0;0000000000000080;     1m  4s 470ms 130μs 423ns;1;-1;                  303μs 975ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26499
22848;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 418μs 311ns;1;-1;              1ms 277μs 274ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26683
22847;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 416μs 324ns;1;-1;              1ms 188μs  11ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26684
22840;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 365μs 535ns;1;-1;              1ms 136μs 889ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26685
2283e;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 371μs 902ns;1;-1;              1ms 491μs 441ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26686
2283c;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 343μs 534ns;1;-1;              1ms 146μs   1ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26687
2283f;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 359μs 254ns;1;-1;              1ms 474μs 428ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26688
2283b;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 337μs 737ns;1;-1;              1ms 276μs 300ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26689
2283a;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 329μs 191ns;1;-1;              1ms 166μs 307ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26690
22839;22575;16b47;0;0;0000000000000080;     1m  4s 471ms 260μs 146ns;1;-1;              1ms 249μs 574ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26691
67;0;66;0;0;0000000000000010;              7ms 450μs 198ns;75;2;              4ms 246μs 687ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;0
6a;0;66;0;0;0000000000000010;              7ms 613μs 863ns;77;2;              4ms 215μs 583ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;1
6d;0;66;0;0;0000000000000010;              7ms 735μs 630ns;97;2;              4ms 350μs 282ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
70;0;66;0;0;0000000000000010;              7ms 860μs 818ns;77;2;              4ms 306μs 666ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
7c;0;66;0;0;0000000000000010;              8ms 479μs 885ns;96;2;              2ms 404μs 668ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
76;0;66;0;0;0000000000000010;              8ms 103μs 456ns;87;2;              3ms 481μs 389ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
7f;0;66;0;0;0000000000000010;              8ms 639μs  95ns;88;2;              3ms 856μs 130ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
82;0;66;0;0;0000000000000010;              8ms 749μs 773ns;69;2;              3ms 651μs 740ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
85;0;66;0;0;0000000000000010;              8ms 887μs 223ns;76;2;              2ms 483μs  23ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
88;0;66;0;0;0000000000000010;              8ms 994μs 169ns;51;2;              2ms 651μs 730ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
8e;0;66;0;0;0000000000000010;              9ms 262μs  29ns;76;2;              2ms  77μs 234ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
97;0;66;0;0;0000000000000010;              9ms 802μs 913ns;97;2;              2ms 122μs 536ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
9a;0;66;0;0;0000000000000010;              9ms 952μs 528ns;79;2;              1ms 902μs 683ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
a3;0;66;0;0;0000000000000010;             13ms 214μs 261ns;100;2;              2ms 131μs 152ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
a9;0;66;0;0;0000000000000010;             13ms 504μs 249ns;54;2;              2ms 136μs 602ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
af;0;66;0;0;0000000000000010;             13ms 760μs 353ns;76;2;              2ms 113μs  85ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
b2;0;66;0;0;0000000000000010;             13ms 960μs 659ns;90;2;              2ms   4μs 116ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
b5;0;66;0;0;0000000000000010;             14ms  80μs 506ns;53;2;              1ms 762μs 839ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
b8;0;66;0;0;0000000000000010;             14ms 234μs 941ns;80;2;              1ms 480μs 655ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
c0;0;66;0;0;0000000000000010;             14ms 467μs  50ns;82;2;              1ms 708μs 736ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26
c5;0;66;0;0;0000000000000010;             14ms 625μs  53ns;61;2;              2ms  38μs 724ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;26
cb;0;66;0;0;0000000000000010;             14ms 746μs  59ns;80;2;              1ms 581μs 801ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;28
ce;0;66;0;0;0000000000000010;             14ms 853μs 304ns;97;2;                  334μs 510ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;28
d9;0;66;0;0;0000000000000010;             15ms 126μs 601ns;77;2;              1ms 471μs 602ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;32
de;0;66;0;0;0000000000000010;             15ms 279μs 406ns;66;2;                  396μs 335ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;33
e1;0;66;0;0;0000000000000010;             15ms 360μs 811ns;67;2;              1ms 421μs 848ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;35
94;0;66;0;0;0000000000000010;              9ms 553μs 814ns;63;2;              1ms 648μs 184ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;37
