ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
3638;1992;a15;0;0;0000000000000080;         3s  94ms 790μs 647ns;27;-1;              2ms 747μs  16ns;29.000000;0.931034;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3176
3639;1992;a15;0;0;0000000000000080;         3s  94ms 787μs 451ns;27;-1;              2ms 235μs 991ns;29.000000;0.931034;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3179
3593;1992;a15;0;0;0000000000000080;         3s  65ms 936μs  21ns;28;-1;              2ms 598μs 259ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3139
3590;1992;a15;0;0;0000000000000080;         3s  65ms 902μs 579ns;28;-1;              2ms 859μs 755ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3140
5404;1a0e;a15;0;0;0000000000000080;         4s 151ms  16μs 827ns;28;-1;              2ms 583μs  51ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4553
5357;1a0e;a15;0;0;0000000000000080;         4s 125ms 642μs 499ns;29;-1;              2ms 532μs 958ns;29.000000;1.000000;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4518
83a6;1137;a15;0;0;0000000000000080;         5s 466ms 729μs 266ns;29;-1;              2ms 742μs 937ns;29.000000;1.000000;0.000000;inf;4;1;Unfinished;2.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000;;0;6378
3428;1992;a15;0;0;0000000000000080;         3s   8ms 746μs 799ns;30;-1;              2ms 718μs 372ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3054
52a6;1a0e;a15;0;0;0000000000000080;         4s  94ms 926μs 993ns;30;-1;              2ms 636μs 377ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4470
52a1;1a0e;a15;0;0;0000000000000080;         4s  94ms 922μs  54ns;30;-1;              2ms 264μs 518ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4472
7696;fd6;a15;0;0;0000000000000080;         5s  49ms 582μs 132ns;30;-1;              2ms 717μs 945ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000,29.000000;;0;5865
82f1;1137;a15;0;0;0000000000000080;         5s 443ms 274μs  43ns;30;-1;              2ms 737μs 461ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000;;0;6347
51ed;1a0e;a15;0;0;0000000000000080;         4s  64ms 614μs 943ns;31;-1;              3ms  43μs  95ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4422
51e7;1a0e;a15;0;0;0000000000000080;         4s  64ms 577μs 566ns;31;-1;              2ms 683μs 895ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4426
61cf;4b7a;a15;0;0;0000000000000080;         4s 509ms 510μs 279ns;31;-1;              2ms 626μs 572ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000,29.000000;;0;5093
7a4c;4201;a15;0;0;0000000000000080;         5s 118ms 218μs 432ns;31;-1;              2ms 690μs 489ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;2.000000,3.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,16.000000,17.000000,18.000000,19.000000,20.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;5974
7a49;4201;a15;0;0;0000000000000080;         5s 118ms 209μs 435ns;31;-1;              2ms 483μs 310ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;2.000000,3.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,16.000000,17.000000,18.000000,19.000000,20.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;5976
7a43;4201;a15;0;0;0000000000000080;         5s 118ms 173μs 610ns;31;-1;              2ms 495μs 587ns;29.000000;1.068966;0.000000;inf;4;1;Unfinished;2.000000,3.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,16.000000,17.000000,18.000000,19.000000,20.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;5977
