ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
7140;142;0;101;0;7;101;127.000000;127.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            656ms 120μs 187ns;                          0ns
7145;153;0;108;0;7;108;135.000000;135.000000;100.000000;27.000000;27.000000;100.000000;0.000000;0.000000;-nan;            898ms 811μs 258ns;                          0ns
714e;150;0;102;0;10;102;154.000000;139.000000;90.259740;27.000000;27.000000;103.846154;0.000000;0.000000;-nan;         1s 149ms 415μs 961ns;              9ms 947μs 519ns
7155;4;0;0;0;2;4;33.000000;33.000000;100.000000;29.000000;29.000000;100.000000;0.000000;0.000000;-nan;             17ms 448μs 790ns;                          0ns
713f;145;0;100;0;7;100;135.000000;135.000000;100.000000;25.000000;25.000000;100.000000;0.000000;0.000000;-nan;            359ms 772μs 349ns;                          0ns
626d;1090;0;0;0;19;28;41.000000;28.000000;68.292683;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            379ms 865μs 611ns;            266ms  60μs 576ns
333a;1096;0;0;0;20;28;45.000000;28.000000;62.222222;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         3s 287ms 304μs 498ns;            237ms 786μs 490ns
23be;1178;0;0;0;20;28;42.000000;28.000000;66.666667;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            837ms 830μs 588ns;            267ms 589μs 631ns
1faf;714;0;0;0;14;28;37.000000;28.000000;75.675676;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s 975ms 213μs 490ns;            128ms 425μs 979ns
1bac;928;0;0;0;17;28;39.000000;28.000000;71.794872;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s 210ms 974μs 200ns;            164ms 924μs 792ns
1b1b;1008;0;0;0;18;28;40.000000;28.000000;70.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s 637ms 245μs 129ns;            206ms 993μs  84ns
1553;1138;0;0;0;25;28;79.000000;28.000000;35.443038;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         2s 500ms 519μs 962ns;            250ms 817μs 813ns
10c3;173;0;0;0;68;7;139.000000;37.000000;26.618705;28.000000;28.000000;96.551724;0.000000;0.000000;-nan;            968ms 149μs  23ns;            298ms 801μs 316ns
1008;171;0;0;0;69;12;127.000000;42.000000;33.070866;28.000000;28.000000;96.551724;0.000000;0.000000;-nan;         1s 194ms 512μs 143ns;            197ms 182μs 107ns
f20;177;0;0;0;72;10;136.000000;40.000000;29.411765;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s  11ms  69μs 783ns;            221ms 293μs 876ns
ee6;82;0;0;0;33;6;120.000000;79.000000;65.833333;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;            635ms 604μs 443ns;            238ms 970μs 474ns
e43;208;0;0;0;78;10;147.000000;39.000000;26.530612;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s 158ms   3μs 529ns;            271ms 745μs 820ns
db5;409;0;0;0;96;12;163.000000;45.000000;27.607362;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         1s 989ms 285μs 583ns;            533ms 625μs 655ns
cc6;268;0;0;0;82;12;147.000000;41.000000;27.891156;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;         3s 480ms 322μs 798ns;            499ms 508μs 759ns
2c0;151;0;45;0;11;45;62.000000;61.000000;98.387097;17.000000;17.000000;106.250000;0.000000;0.000000;-nan;            646ms 900μs  64ns;              4ms 707μs   0ns
2c4;93;0;27;0;10;26;70.000000;69.000000;98.571429;15.000000;15.000000;107.142857;0.000000;0.000000;-nan;            568ms 155μs 511ns;              4ms 701μs 199ns
2c5;258;0;75;0;13;74;100.000000;99.000000;99.000000;18.000000;18.000000;105.882353;0.000000;0.000000;-nan;            872ms 137μs 980ns;             13ms 305μs 746ns
2ca;39;0;30;0;5;30;63.000000;63.000000;100.000000;13.000000;13.000000;100.000000;0.000000;0.000000;-nan;            144ms 764μs 737ns;                          0ns
2bf;191;0;63;0;12;62;88.000000;87.000000;98.863636;19.000000;19.000000;105.555556;0.000000;0.000000;-nan;            772ms 315μs 378ns;              5ms 763μs 462ns
