ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
42ee;1a50;c48;0;0;0000000000000080;         3s 688ms 101μs 283ns;28;-1;              2ms 481μs 944ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3849
42e7;1a50;c48;0;0;0000000000000080;         3s 688ms  53μs 632ns;28;-1;              2ms 220μs 878ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3853
50c5;19fc;c48;0;0;0000000000000080;         4s  60ms 360μs  76ns;28;-1;              1ms 280μs 883ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4360
5dde;13f4;c48;0;0;0000000000000080;         4s 477ms 332μs 697ns;28;-1;              2ms 673μs  22ns;29.000000;0.965517;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4912
5cba;13f4;c48;0;0;0000000000000080;         4s 414ms 398μs 477ns;29;-1;              2ms 748μs 116ns;29.000000;1.000000;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,7.000000,8.000000,9.000000,10.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4835
3e1c;21ef;c48;0;0;0000000000000080;         3s 538ms 485μs 700ns;30;-1;              2ms 732μs 384ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;3615
4d8c;19fc;c48;0;0;0000000000000080;         3s 970ms 200μs 648ns;30;-1;              2ms 613μs  11ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4235
4d88;19fc;c48;0;0;0000000000000080;         3s 970ms 192μs 403ns;30;-1;              2ms 562μs 725ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000;;0;4235
5a1a;1f73;c48;0;0;0000000000000080;         4s 317ms 945μs 337ns;30;-1;              2ms 391μs 631ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000,29.000000;;0;4714
5a16;1f73;c48;0;0;0000000000000080;         4s 317ms 924μs 121ns;30;-1;              2ms 737μs 162ns;29.000000;1.034483;0.000000;inf;4;1;Unfinished;2.000000,3.000000,4.000000,5.000000,6.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,28.000000,29.000000;;0;4716
