ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
4dd;91;2bf;0;0;0000000000000030;            770ms 206μs 939ns;200;-1;             22ms 518μs  98ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;395
332;145;2bf;0;0;0000000000000030;            411ms 712μs 115ns;199;-1;             25ms 174μs  78ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;241
380;c7;2bf;0;0;0000000000000030;            460ms 689μs 540ns;199;-1;             12ms 297μs 935ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;265
347;1c0;2bf;0;0;0000000000000030;            416ms 956μs 963ns;198;-1;             18ms 429μs 506ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;246
2c0;91;2bf;0;0;0000000000000030;            404ms 998μs 789ns;197;-1;              9ms 414μs 821ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;200
2ce;12a;2bf;0;0;0000000000000030;            406ms 132μs 210ns;196;-1;             18ms 122μs 515ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;206
3fe;1c0;2bf;0;0;0000000000000030;            596ms 971μs 628ns;196;-1;             21ms  79μs 458ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;319
58e;c4;2bf;0;0;0000000000000030;            928ms 875μs  48ns;196;-1;             23ms 341μs 249ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;442
537;18a;2bf;0;0;0000000000000030;            856ms 844μs 418ns;195;-1;             20ms 500μs 259ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;415
31c;c7;2bf;0;0;0000000000000030;            410ms 347μs 619ns;194;-1;              9ms 670μs 165ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;231
35c;220;2bf;0;0;0000000000000030;            425ms 433μs 631ns;194;-1;             21ms 422μs 374ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;254
3bc;23e;2bf;0;0;0000000000000030;            525ms 216μs 207ns;194;-1;             21ms 663μs 804ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;290
44d;df;2bf;0;0;0000000000000030;            661ms 997μs 506ns;194;-1;             22ms 861μs 395ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;365
4e6;c4;2bf;0;0;0000000000000030;            776ms  34μs 624ns;194;-1;             18ms 933μs 251ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;398
57f;2ad;2bf;0;0;0000000000000030;            910ms 760μs   0ns;194;-1;             21ms 795μs 400ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;436
30a;2ad;2bf;0;0;0000000000000030;            409ms 388μs 194ns;193;-1;             19ms  32μs  19ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;224
33e;181;2bf;0;0;0000000000000030;            415ms 985μs 461ns;192;-1;             19ms  65μs 791ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;242
34d;1e6;2bf;0;0;0000000000000030;            417ms 589μs 783ns;192;-1;             23ms 762μs 482ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;250
36b;2ad;2bf;0;0;0000000000000030;            440ms 758μs 179ns;192;-1;             21ms 123μs 794ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;261
392;145;2bf;0;0;0000000000000030;            483ms 220μs 197ns;192;-1;             19ms 269μs 939ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;270
3e0;12a;2bf;0;0;0000000000000030;            564ms 523μs 145ns;191;-1;             22ms 156μs 784ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;310
356;1ff;2bf;0;0;0000000000000030;            418ms 422μs 155ns;190;-1;             19ms 295μs 506ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;251
3ef;17b;2bf;0;0;0000000000000030;            583ms 603μs 577ns;189;-1;             23ms  22μs 407ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;315
495;220;2bf;0;0;0000000000000030;            722ms 444μs 831ns;189;-1;             19ms 428μs 159ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;387
5c1;157;2bf;0;0;0000000000000030;            963ms 763μs 963ns;189;-1;             21ms 990μs  42ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;464
2dd;17b;2bf;0;0;0000000000000030;            406ms 750μs 470ns;187;-1;             11ms 758μs 499ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;208
317;c4;2bf;0;0;0000000000000030;            409ms 966μs 791ns;187;-1;             20ms 962μs 541ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;233
371;2bc;2bf;0;0;0000000000000030;            442ms 432μs 307ns;187;-1;             12ms 143μs 643ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;258
416;24a;2bf;0;0;0000000000000030;            618ms 926μs  62ns;187;-1;             11ms 942μs 338ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;341
413;23e;2bf;0;0;0000000000000030;            616ms 920μs 162ns;187;-1;             18ms 864μs 910ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;343
477;172;2bf;0;0;0000000000000030;            696ms 510μs 588ns;187;-1;             20ms 595μs 162ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;372
540;1c6;2bf;0;0;0000000000000030;            862ms 823μs 436ns;187;-1;             22ms  34μs 217ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;420
3ec;172;2bf;0;0;0000000000000030;            579ms 371μs 389ns;186;-1;             15ms 487μs 642ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;313
57c;29b;2bf;0;0;0000000000000030;            907ms 920μs 851ns;186;-1;             21ms 297μs 913ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;435
5d3;19c;2bf;0;0;0000000000000030;            985ms  69μs  66ns;186;-1;             20ms 725μs 599ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;472
2f8;220;2bf;0;0;0000000000000030;            408ms 657μs 122ns;185;-1;             18ms 680μs 927ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;220
2fe;24a;2bf;0;0;0000000000000030;            408ms 713μs 493ns;185;-1;             20ms 182μs  95ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;222
3e6;145;2bf;0;0;0000000000000030;            572ms 848μs 874ns;185;-1;             20ms 420μs 128ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;311
4ec;df;2bf;0;0;0000000000000030;            785ms 738μs 406ns;185;-1;             21ms 555μs 505ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;405
374;91;2bf;0;0;0000000000000030;            444ms 362μs 598ns;184;-1;             15ms 105μs 808ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;260
52e;181;2bf;0;0;0000000000000030;            843ms 531μs 817ns;184;-1;             20ms 585μs 630ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;413
307;29b;2bf;0;0;0000000000000030;            409ms 637μs 331ns;183;-1;             19ms 941μs 551ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;227
44a;c7;2bf;0;0;0000000000000030;            658ms 466μs 343ns;183;-1;             22ms 132μs 690ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;364
59a;12a;2bf;0;0;0000000000000030;            942ms 833μs 259ns;183;-1;             20ms 978μs 276ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;461
2c8;df;2bf;0;0;0000000000000030;            405ms 687μs 653ns;181;-1;             16ms 870μs 212ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;205
329;12a;2bf;0;0;0000000000000030;            411ms 250μs 957ns;181;-1;             20ms 347μs   9ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;237
341;18a;2bf;0;0;0000000000000030;            416ms 341μs 238ns;181;-1;             11ms 930μs 223ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;243
42f;29b;2bf;0;0;0000000000000030;            629ms 834μs 528ns;181;-1;             20ms 895μs 451ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;347
2ec;1c6;2bf;0;0;0000000000000030;            407ms 651μs 155ns;180;-1;             20ms 184μs 761ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;215
2ef;1e6;2bf;0;0;0000000000000030;            407ms 912μs 135ns;180;-1;             19ms 312μs 467ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;216
395;157;2bf;0;0;0000000000000030;            485ms 966μs 722ns;180;-1;             21ms 280μs 497ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;273
3ce;91;2bf;0;0;0000000000000030;            545ms 553μs 495ns;180;-1;             23ms 364μs 440ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;299
597;df;2bf;0;0;0000000000000030;            938ms 478μs 463ns;180;-1;             10ms  87μs 536ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;457
59d;142;2bf;0;0;0000000000000030;            944ms 786μs 547ns;180;-1;             17ms 251μs 118ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;460
2c2;c4;2bf;0;0;0000000000000030;            405ms 274μs 765ns;179;-1;             19ms 660μs 984ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;204
525;172;2bf;0;0;0000000000000030;            835ms 907μs 986ns;179;-1;             15ms  73μs 139ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;410
53a;19c;2bf;0;0;0000000000000030;            859ms 338μs 791ns;179;-1;             16ms 652μs 364ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;414
3b0;1f0;2bf;0;0;0000000000000030;            513ms 946μs  59ns;177;-1;             21ms 958μs 163ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;283
3b3;1ff;2bf;0;0;0000000000000030;            516ms 554μs 544ns;177;-1;             22ms 450μs 542ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;285
4da;2bc;2bf;0;0;0000000000000030;            763ms 917μs 938ns;177;-1;             14ms 739μs 922ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;392
5a0;145;2bf;0;0;0000000000000030;            956ms 568μs  51ns;176;-1;             15ms 425μs 896ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;459
447;c4;2bf;0;0;0000000000000030;            656ms 871μs 173ns;175;-1;             17ms 745μs 270ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;361
2f2;1f0;2bf;0;0;0000000000000030;            408ms 128μs 477ns;174;-1;             18ms 480μs 283ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;217
304;295;2bf;0;0;0000000000000030;            408ms 991μs 367ns;174;-1;             19ms 367μs 481ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;223
386;12a;2bf;0;0;0000000000000030;            472ms 579μs 397ns;174;-1;             18ms 128μs 909ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;267
38c;142;2bf;0;0;0000000000000030;            475ms 208μs 380ns;174;-1;             17ms 329μs 943ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;269
39e;181;2bf;0;0;0000000000000030;            498ms 405μs 974ns;174;-1;             14ms 750μs 633ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;274
3a1;18a;2bf;0;0;0000000000000030;            501ms 230μs 608ns;174;-1;             16ms 289μs 291ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;276
323;df;2bf;0;0;0000000000000030;            410ms 629μs 924ns;173;-1;             20ms 800μs 622ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;235
398;172;2bf;0;0;0000000000000030;            493ms 351μs 697ns;173;-1;             17ms 952μs 398ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;272
3dd;df;2bf;0;0;0000000000000030;            563ms 777μs 171ns;173;-1;             17ms 476μs 695ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;307
40a;1f0;2bf;0;0;0000000000000030;            608ms 313μs 230ns;173;-1;             15ms 209μs 514ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;339
480;18a;2bf;0;0;0000000000000030;            704ms 555μs 908ns;173;-1;             13ms 465μs 857ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;371
335;157;2bf;0;0;0000000000000030;            411ms 852μs 624ns;172;-1;             17ms 309μs 847ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;238
3aa;1c6;2bf;0;0;0000000000000030;            507ms 904μs  46ns;172;-1;             12ms 851μs 756ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;278
377;c4;2bf;0;0;0000000000000030;            452ms 744μs 253ns;171;-1;             21ms 646μs 280ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;264
404;1c6;2bf;0;0;0000000000000030;            605ms 253μs 953ns;171;-1;             17ms 401μs 317ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;321
486;1c0;2bf;0;0;0000000000000030;            709ms 578μs 947ns;171;-1;             15ms 986μs 153ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;375
4f1;142;2bf;0;0;0000000000000030;            790ms 429μs 932ns;171;-1;             15ms 581μs  37ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;404
54c;220;2bf;0;0;0000000000000030;            887ms 104μs 429ns;171;-1;             18ms 856μs 281ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;430
585;2bc;2bf;0;0;0000000000000030;            916ms  43μs 924ns;171;-1;             19ms 301μs 755ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;437
32c;142;2bf;0;0;0000000000000030;            411ms 490μs 501ns;170;-1;             17ms 479μs 988ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;236
3a7;1c0;2bf;0;0;0000000000000030;            506ms 674μs  71ns;170;-1;             11ms 127μs 282ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;277
3c8;2ad;2bf;0;0;0000000000000030;            543ms 113μs 304ns;170;-1;             16ms 214μs 761ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;292
40d;1ff;2bf;0;0;0000000000000030;            609ms 480μs  85ns;170;-1;             14ms 159μs 600ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;340
427;295;2bf;0;0;0000000000000030;            626ms 861μs 626ns;170;-1;             20ms 730μs 534ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;346
4ef;12a;2bf;0;0;0000000000000030;            790ms 210μs 200ns;170;-1;             16ms 608μs 189ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;403
3f8;18a;2bf;0;0;0000000000000030;            592ms 604μs  74ns;169;-1;             19ms 124μs 578ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;317
474;157;2bf;0;0;0000000000000030;            688ms 312μs 718ns;169;-1;             13ms 285μs 230ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;368
5c4;172;2bf;0;0;0000000000000030;            971ms 257μs   1ns;169;-1;             16ms 764μs 673ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;462
2f5;1ff;2bf;0;0;0000000000000030;            408ms 180μs 251ns;168;-1;             15ms 965μs 554ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;218
344;19c;2bf;0;0;0000000000000030;            416ms 625μs 564ns;168;-1;             16ms 796μs 334ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;244
362;24a;2bf;0;0;0000000000000030;            429ms 147μs 359ns;168;-1;             16ms 326μs 555ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;255
3f2;181;2bf;0;0;0000000000000030;            588ms  64μs 565ns;168;-1;             17ms 609μs 310ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;314
47d;181;2bf;0;0;0000000000000030;            701ms 904μs 384ns;168;-1;             16ms 253μs 522ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;370
492;1ff;2bf;0;0;0000000000000030;            722ms 143μs 908ns;168;-1;             17ms 505μs  27ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;384
5c7;17b;2bf;0;0;0000000000000030;            973ms 338μs  28ns;168;-1;              9ms 193μs 900ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;463
5d0;18a;2bf;0;0;0000000000000030;            979ms 611μs 581ns;168;-1;             19ms 193μs 391ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;469
3bf;24a;2bf;0;0;0000000000000030;            529ms  62μs 633ns;167;-1;             17ms 312μs  81ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;289
3c5;29b;2bf;0;0;0000000000000030;            534ms 991μs 678ns;167;-1;             17ms 757μs 704ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;291
