ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
a4e;9d5;2bf;0;0;0000000000000080;         1s 608ms 416μs 327ns;1;-1;              1ms 231μs 326ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;698
a52;9d5;2bf;0;0;0000000000000080;         1s 608ms 420μs 386ns;1;-1;              1ms 238μs 152ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;699
a51;9d5;2bf;0;0;0000000000000080;         1s 608ms 411μs 886ns;1;-1;              1ms 236μs 285ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;700
a50;9d5;2bf;0;0;0000000000000080;         1s 608ms 402μs 470ns;1;-1;              1ms 201μs 249ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;701
a4d;9d5;2bf;0;0;0000000000000080;         1s 608ms 353μs 750ns;1;-1;              3ms 821μs 595ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;702
a75;9d5;2bf;0;0;0000000000000080;         1s 608ms 950μs 956ns;1;-1;              1ms 323μs 829ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;742
a71;9d5;2bf;0;0;0000000000000080;         1s 608ms 914μs 816ns;1;-1;              1ms 288μs 172ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;745
80f;7c9;2bf;0;0;0000000000000080;         1s 388ms 713μs 247ns;2;-1;              2ms 966μs 712ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;567
80d;7c9;2bf;0;0;0000000000000080;         1s 388ms 668μs 970ns;2;-1;              3ms 502μs 552ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;568
80e;7c9;2bf;0;0;0000000000000080;         1s 388ms 687μs   4ns;2;-1;              5ms 368μs 710ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;569
810;7c9;2bf;0;0;0000000000000080;         1s 388ms 723μs 104ns;2;-1;              4ms 282μs 711ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;570
