ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
114a;108f;518;0;0;0000000000000080;         1s 595ms  71μs 325ns;1;-1;              1ms 279μs  66ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1139
114b;108f;518;0;0;0000000000000080;         1s 595ms  76μs 314ns;1;-1;              1ms 376μs  56ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1142
1147;108f;518;0;0;0000000000000080;         1s 595ms  68μs 978ns;1;-1;              1ms 384μs 192ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1143
1149;108f;518;0;0;0000000000000080;         1s 595ms  60μs 252ns;1;-1;              1ms 438μs 950ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1144
1145;108f;518;0;0;0000000000000080;         1s 595ms  37μs 748ns;1;-1;              1ms 297μs  49ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1145
1143;108f;518;0;0;0000000000000080;         1s 595ms  31μs 287ns;1;-1;              1ms 328μs 886ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1146
1142;108f;518;0;0;0000000000000080;         1s 595ms  21μs 647ns;1;-1;              1ms 514μs 544ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1147
1140;108f;518;0;0;0000000000000080;         1s 595ms  14μs 684ns;1;-1;                  847μs 248ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1148
113f;108f;518;0;0;0000000000000080;         1s 595ms   7μs 834ns;1;-1;              1ms 456μs 156ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1149
113e;108f;518;0;0;0000000000000080;         1s 595ms   2μs 552ns;1;-1;              1ms 373μs 946ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1150
1134;108f;518;0;0;0000000000000080;         1s 594ms 945μs 440ns;1;-1;              1ms 366μs 291ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1151
1133;108f;518;0;0;0000000000000080;         1s 594ms 937μs  75ns;1;-1;              1ms 585μs 357ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1152
112b;108f;518;0;0;0000000000000080;         1s 594ms 892μs 616ns;1;-1;                  358μs 723ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1153
f55;dfc;518;0;0;0000000000000080;         1s 531ms 708μs  60ns;2;-1;              1ms 370μs 925ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1022
f54;dfc;518;0;0;0000000000000080;         1s 531ms 701μs 876ns;2;-1;              1ms 323μs 884ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;1023
