ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
13;5f271;1000;8;8;         1s  41ms 992μs 826ns;60480.000000;              4ms 577μs 712ns;              6ms 880μs 717ns;51.000000;0.000000
26;8dfb0;1000;8;10;         1s 790ms 858μs 324ns;60480.000000;              8ms 312μs 576ns;              6ms 725μs 429ns;107.000000;0.000000
19;75c7c;990;5;9;         1s 335ms 225μs 571ns;59700.000000;              6ms  25μs 698ns;              2ms 422μs 388ns;73.000000;0.000000
8;44de1;1000;7;8;            759ms  95μs 206ns;inf;              2ms 991μs  38ns;              2ms 573μs 814ns;33.000000;0.000000
2;2cd3c;991;17;10;            834ms 438μs  84ns;inf;              1ms 443μs  48ns;              3ms  81μs 294ns;11.000000;0.000000
25;8b1ab;1000;44;10;         1s 802ms 803μs 336ns;62640.000000;              8ms 109μs 799ns;             20ms 555μs  42ns;101.000000;0.000000
29;a27ae;996;5466;26;         8s  63ms 931μs 650ns;48465.000000;              5ms 435μs 164ns;         1s  94ms  19μs 924ns;118.000000;0.000000
7;42397;1000;7;9;            701ms 363μs 708ns;inf;              2ms 798μs 234ns;              1ms 972μs 259ns;32.000000;0.000000
12;5a02b;1000;10;10;            987ms 408μs 426ns;inf;              4ms 234μs 893ns;              4ms 867μs 827ns;48.000000;0.000000
24;89128;1000;30;10;         1s 715ms 997μs  35ns;61800.000000;              7ms 804μs   3ns;             18ms 824μs 157ns;96.000000;0.000000
6;40206;1000;9;10;            658ms 400μs 899ns;inf;              2ms 568μs 846ns;              3ms 114μs 642ns;28.000000;0.000000
18;6fe51;1000;3;8;         1s 304ms 854μs 306ns;60180.000000;              5ms 901μs 111ns;              1ms 871μs 510ns;69.000000;0.000000
23;86016;1000;33;9;         1s 667ms 575μs 539ns;61980.000000;              7ms 394μs 183ns;             16ms 505μs 672ns;92.000000;0.000000
5;3d496;1000;9;10;            631ms 977μs 189ns;inf;              2ms 301μs 902ns;              3ms 576μs 856ns;25.000000;0.000000
11;536f3;999;3;10;         1s  29ms 743μs 630ns;60120.000000;              3ms 499μs 915ns;              1ms 295μs 310ns;42.000000;0.000000
17;6b4cb;1000;11;8;         1s 240ms 545μs 943ns;60660.000000;              5ms 526μs 449ns;              8ms 476μs 101ns;66.000000;0.000000
22;82ba3;1000;8;9;         1s 534ms 683μs 896ns;60480.000000;              6ms 990μs 515ns;              7ms 859μs  17ns;88.000000;0.000000
28;9aa89;958;7;10;         1s 876ms 426μs 834ns;57900.000000;              8ms 872μs 501ns;              3ms  43μs 715ns;114.000000;0.000000
4;3a268;1000;15;10;            611ms 519μs 799ns;inf;              2ms  61μs 957ns;              4ms 838μs 788ns;20.000000;0.000000
16;68179;1000;3;10;         1s 186ms 641μs 350ns;60180.000000;              5ms 341μs 355ns;                  953μs  88ns;64.000000;0.000000
21;7fd79;1000;10;10;         1s 484ms 546μs 390ns;60600.000000;              6ms 772μs 850ns;              5ms 679μs 118ns;85.000000;0.000000
10;4ea02;968;22;9;            811ms 205μs 496ns;inf;              3ms 366μs 941ns;              8ms 201μs 344ns;38.000000;0.000000
3;36598;997;11;10;            579ms 766μs 405ns;inf;              1ms 752μs 351ns;              2ms 175μs 630ns;17.000000;0.000000
15;64918;1000;16;10;         1s 129ms 247μs  73ns;60960.000000;              5ms  16μs 663ns;              5ms 684μs  27ns;58.000000;0.000000
20;7b3fd;1000;11;10;         1s 409ms 873μs 820ns;60660.000000;              6ms 316μs 647ns;              7ms 493μs 801ns;78.000000;0.000000
27;920bf;974;28;10;         1s 885ms 516μs 974ns;60120.000000;              8ms 546μs 404ns;             25ms 238μs 503ns;110.000000;0.000000
14;61b6b;1000;22;9;         1s  99ms 724μs 938ns;61320.000000;              4ms 833μs 760ns;             15ms 653μs 880ns;55.000000;0.000000
9;48f77;962;11;9;            836ms 502μs 984ns;inf;              3ms 114μs 644ns;              7ms 188μs 865ns;34.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;599;7;10;         5s 350ms 761μs  66ns;7272.000000;              3ms   4μs 477ns;              2ms  39μs 820ns;0.000000;0.000000
