ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
2f8e2;0;0;2;0;1;2;19.000000;19.000000;100.000000;16.000000;16.000000;100.000000;0.000000;0.000000;-nan;                   82μs 894ns;                          0ns
2f8e3;0;0;2;0;1;2;20.000000;20.000000;100.000000;17.000000;17.000000;100.000000;0.000000;0.000000;-nan;                  181μs 705ns;                          0ns
2f8e6;2;0;0;0;1;2;19.000000;19.000000;100.000000;16.000000;16.000000;100.000000;0.000000;0.000000;-nan;              2ms 626μs 175ns;                          0ns
2f8e9;0;0;2;0;1;2;16.000000;16.000000;100.000000;12.000000;12.000000;100.000000;0.000000;0.000000;-nan;                  224μs 539ns;                          0ns
2f8ec;0;0;0;0;1;2;16.000000;16.000000;100.000000;11.000000;11.000000;100.000000;0.000000;0.000000;-nan;                   69μs 543ns;                          0ns
2f8f3;0;0;0;0;1;2;17.000000;17.000000;100.000000;15.000000;15.000000;100.000000;0.000000;0.000000;-nan;                   29μs 637ns;                          0ns
2f8f4;0;0;2;0;1;2;23.000000;23.000000;100.000000;16.000000;16.000000;100.000000;0.000000;0.000000;-nan;                   45μs 470ns;                          0ns
2f8f5;0;0;0;0;1;2;15.000000;15.000000;100.000000;10.000000;10.000000;100.000000;0.000000;0.000000;-nan;                   25μs 368ns;                          0ns
2f8f8;0;0;0;0;1;2;15.000000;15.000000;100.000000;14.000000;14.000000;100.000000;0.000000;0.000000;-nan;                   25μs 133ns;                          0ns
2f8f9;8;0;5;0;4;4;22.000000;21.000000;95.454545;14.000000;14.000000;107.692308;0.000000;0.000000;-nan;             11ms 916μs 694ns;              2ms 648μs 661ns
5f542;2;0;4;0;2;3;77.000000;77.000000;100.000000;70.000000;70.000000;100.000000;0.000000;0.000000;-nan;              5ms 807μs 617ns;                          0ns
5f543;0;0;6;0;2;3;75.000000;75.000000;100.000000;68.000000;68.000000;100.000000;0.000000;0.000000;-nan;                  191μs  29ns;                          0ns
5f54a;0;0;2;0;1;2;70.000000;70.000000;100.000000;67.000000;67.000000;100.000000;0.000000;0.000000;-nan;                   87μs 319ns;                          0ns
5f552;0;0;1;0;1;2;71.000000;71.000000;100.000000;66.000000;66.000000;100.000000;0.000000;0.000000;-nan;                   49μs 373ns;                          0ns
5f555;0;0;1;0;1;2;71.000000;71.000000;100.000000;65.000000;65.000000;100.000000;0.000000;0.000000;-nan;                   56μs 720ns;                          0ns
5f557;0;0;1;0;1;2;70.000000;70.000000;100.000000;61.000000;61.000000;100.000000;0.000000;0.000000;-nan;                   48μs   7ns;                          0ns
5f559;0;0;2;0;1;2;68.000000;68.000000;100.000000;64.000000;64.000000;100.000000;0.000000;0.000000;-nan;                   60μs 637ns;                          0ns
5f55b;0;0;1;0;1;2;73.000000;73.000000;100.000000;63.000000;63.000000;100.000000;0.000000;0.000000;-nan;                   50μs  69ns;                          0ns
5f55e;0;0;1;0;1;2;70.000000;70.000000;100.000000;62.000000;62.000000;100.000000;0.000000;0.000000;-nan;                   75μs 588ns;                          0ns
6b0bd;2;0;3;0;2;4;85.000000;85.000000;100.000000;79.000000;79.000000;100.000000;0.000000;0.000000;-nan;             12ms 512μs 424ns;                          0ns
6b0be;13;0;14;0;4;11;93.000000;93.000000;100.000000;78.000000;78.000000;100.000000;0.000000;0.000000;-nan;             34ms 965μs 217ns;                          0ns
6b0c1;2;0;13;0;3;7;85.000000;85.000000;100.000000;77.000000;77.000000;100.000000;0.000000;0.000000;-nan;             10ms 614μs 153ns;                          0ns
6b0c6;0;0;2;0;1;2;77.000000;77.000000;100.000000;72.000000;72.000000;100.000000;0.000000;0.000000;-nan;                  108μs 717ns;                          0ns
6b0ce;3;0;9;0;3;5;84.000000;84.000000;100.000000;74.000000;74.000000;100.000000;0.000000;0.000000;-nan;             19ms 941μs 761ns;                          0ns
6b0d6;0;0;1;0;1;2;81.000000;81.000000;100.000000;76.000000;76.000000;100.000000;0.000000;0.000000;-nan;                  120μs 434ns;                          0ns
6b0db;0;0;2;0;1;2;78.000000;78.000000;100.000000;75.000000;75.000000;100.000000;0.000000;0.000000;-nan;                  214μs 844ns;                          0ns
6b0df;0;0;1;0;1;2;80.000000;80.000000;100.000000;71.000000;71.000000;100.000000;0.000000;0.000000;-nan;                   75μs 553ns;                          0ns
6b0e2;0;0;6;0;2;3;79.000000;79.000000;100.000000;73.000000;73.000000;100.000000;0.000000;0.000000;-nan;                  151μs 152ns;                          0ns
6b0e4;0;0;1;0;1;2;78.000000;78.000000;100.000000;70.000000;70.000000;100.000000;0.000000;0.000000;-nan;                  157μs 152ns;                          0ns
76f11;1;0;4;0;2;4;94.000000;94.000000;100.000000;87.000000;87.000000;100.000000;0.000000;0.000000;-nan;              9ms 919μs 467ns;                          0ns
76f12;3;0;8;0;3;5;96.000000;96.000000;100.000000;89.000000;89.000000;100.000000;0.000000;0.000000;-nan;             16ms 844μs 114ns;                          0ns
76f16;3;0;9;0;3;5;99.000000;99.000000;100.000000;92.000000;92.000000;100.000000;0.000000;0.000000;-nan;             17ms 826μs 845ns;                          0ns
76f1a;0;0;1;0;1;2;95.000000;95.000000;100.000000;91.000000;91.000000;100.000000;0.000000;0.000000;-nan;                   74μs 735ns;                          0ns
76f20;0;0;1;0;1;2;96.000000;96.000000;100.000000;93.000000;93.000000;100.000000;0.000000;0.000000;-nan;                   85μs 718ns;                          0ns
76f23;0;0;1;0;1;2;93.000000;93.000000;100.000000;88.000000;88.000000;100.000000;0.000000;0.000000;-nan;                   59μs 423ns;                          0ns
76f25;0;0;1;0;1;2;93.000000;93.000000;100.000000;90.000000;90.000000;100.000000;0.000000;0.000000;-nan;                   58μs 428ns;                          0ns
76f27;0;0;2;0;1;2;93.000000;93.000000;100.000000;85.000000;85.000000;100.000000;0.000000;0.000000;-nan;                   79μs 942ns;                          0ns
76f29;0;0;6;0;2;3;92.000000;92.000000;100.000000;86.000000;86.000000;100.000000;0.000000;0.000000;-nan;                  192μs 223ns;                          0ns
76f2c;0;0;1;0;1;2;91.000000;91.000000;100.000000;87.000000;87.000000;100.000000;0.000000;0.000000;-nan;                   89μs 598ns;                          0ns
3ae20;0;0;1;0;1;2;24.000000;24.000000;100.000000;20.000000;20.000000;100.000000;0.000000;0.000000;-nan;                   86μs 303ns;                          0ns
3ae21;1;0;5;0;2;3;30.000000;30.000000;100.000000;26.000000;26.000000;100.000000;0.000000;0.000000;-nan;              3ms 115μs 912ns;                          0ns
3ae23;4;0;2;0;2;4;32.000000;32.000000;100.000000;27.000000;27.000000;100.000000;0.000000;0.000000;-nan;              7ms 408μs 832ns;                          0ns
3ae29;0;0;0;0;1;2;29.000000;29.000000;100.000000;28.000000;28.000000;100.000000;0.000000;0.000000;-nan;                   31μs 489ns;                          0ns
3ae30;0;0;1;0;1;2;24.000000;24.000000;100.000000;20.000000;20.000000;100.000000;0.000000;0.000000;-nan;                   44μs 509ns;                          0ns
3ae31;0;0;2;0;1;2;28.000000;28.000000;100.000000;21.000000;21.000000;100.000000;0.000000;0.000000;-nan;                   51μs 238ns;                          0ns
3ae33;0;0;2;0;1;2;30.000000;30.000000;100.000000;22.000000;22.000000;100.000000;0.000000;0.000000;-nan;                   46μs 274ns;                          0ns
3ae36;0;0;2;0;1;2;30.000000;30.000000;100.000000;25.000000;25.000000;100.000000;0.000000;0.000000;-nan;                   45μs 377ns;                          0ns
3ae39;0;0;2;0;1;2;28.000000;28.000000;100.000000;24.000000;24.000000;100.000000;0.000000;0.000000;-nan;                   44μs 434ns;                          0ns
3ae3c;2;0;10;0;3;5;29.000000;29.000000;100.000000;23.000000;23.000000;100.000000;0.000000;0.000000;-nan;              6ms 130μs 113ns;                          0ns
a5ae0;0;0;1;0;1;2;126.000000;126.000000;100.000000;124.000000;124.000000;100.000000;0.000000;0.000000;-nan;                  252μs 258ns;                          0ns
a5ae1;0;0;0;0;1;2;124.000000;124.000000;100.000000;123.000000;123.000000;100.000000;0.000000;0.000000;-nan;                  112μs 487ns;                          0ns
a5ae3;0;0;1;0;1;2;130.000000;130.000000;100.000000;126.000000;126.000000;100.000000;0.000000;0.000000;-nan;                   83μs 548ns;                          0ns
a5ae4;0;0;1;0;1;2;131.000000;131.000000;100.000000;125.000000;125.000000;100.000000;0.000000;0.000000;-nan;                   74μs 898ns;                          0ns
a5ae6;0;0;6;0;2;3;129.000000;129.000000;100.000000;122.000000;122.000000;100.000000;0.000000;0.000000;-nan;                  228μs 691ns;                          0ns
