ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
67;0;66;0;0;0000000000000010;              3ms 451μs  34ns;186;2;              1ms 521μs 513ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;0
6a;0;66;0;0;0000000000000010;              3ms 703μs  22ns;129;2;              1ms 670μs 970ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;1
6d;0;66;0;0;0000000000000010;              4ms  55μs 382ns;170;2;              4ms 176μs 585ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
70;0;66;0;0;0000000000000010;              4ms 288μs 856ns;129;2;              3ms 868μs 422ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;3
79;0;66;0;0;0000000000000010;              5ms 251μs 332ns;187;2;              2ms 378μs 501ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;7
87;0;66;0;0;0000000000000010;              6ms 225μs 469ns;138;2;              1ms 613μs 565ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
7c;0;66;0;0;0000000000000010;              5ms 535μs 231ns;118;2;              3ms 497μs 968ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
8f;0;66;0;0;0000000000000010;              6ms 488μs 781ns;141;2;              1ms 487μs 919ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
82;0;66;0;0;0000000000000010;              6ms 237μs 315ns;189;2;              2ms 370μs 908ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
8a;0;66;0;0;0000000000000010;              6ms 367μs 247ns;200;2;              2ms 402μs 559ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
8d;0;66;0;0;0000000000000010;              6ms 517μs 435ns;136;2;              2ms 206μs 684ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
9b;0;66;0;0;0000000000000010;              6ms 683μs 393ns;103;2;              1ms 364μs 719ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
94;0;66;0;0;0000000000000010;              6ms 617μs 218ns;166;2;              2ms 863μs 424ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
9e;0;66;0;0;0000000000000010;              6ms 841μs 468ns;179;2;              2ms  50μs 190ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
a1;0;66;0;0;0000000000000010;              6ms 912μs 862ns;103;2;              1ms 700μs 191ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
a7;0;66;0;0;0000000000000010;              7ms   6μs 505ns;104;2;              1ms 463μs 531ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
a4;0;66;0;0;0000000000000010;              7ms 250μs 537ns;192;2;              1ms 433μs 889ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
b3;0;66;0;0;0000000000000010;              7ms 400μs 747ns;168;2;              1ms 184μs 989ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
ba;0;66;0;0;0000000000000010;              7ms 593μs 688ns;130;2;              1ms 267μs 461ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
bc;0;66;0;0;0000000000000010;              7ms 741μs 958ns;123;2;              1ms 203μs 312ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
c7;0;66;0;0;0000000000000010;              7ms 931μs 877ns;112;2;              1ms 260μs 580ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
