ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
142;ef6e9;1000;0;0;        14s 662ms 125μs   6ns;4285.714286;             72ms 710μs 525ns;                          0ns;0.000000;0.000000
141;ee5d8;1000;0;0;        14s 558ms 605μs 152ns;4285.714286;             72ms 198μs 603ns;                          0ns;0.000000;0.000000
140;ece17;1000;0;0;        14s 316ms 903μs 822ns;4285.714286;             71ms  11μs 500ns;                          0ns;0.000000;0.000000
139;ebd82;1000;0;0;        14s 308ms 990μs  13ns;4285.714286;             70ms 975μs 481ns;                          0ns;0.000000;0.000000
138;ead6f;1000;0;0;        14s 121ms  67μs 910ns;4285.714286;             70ms  17μs 850ns;                          0ns;0.000000;0.000000
137;e9c5e;1000;0;0;        13s 992ms 561μs 528ns;4615.384615;             69ms 319μs 579ns;                          0ns;0.000000;0.000000
136;e878b;1000;0;0;        13s 590ms  24μs 871ns;4615.384615;             67ms 364μs 534ns;                          0ns;0.000000;0.000000
134;e6597;1000;0;0;        13s 556ms 550μs 383ns;4615.384615;             67ms 203μs   1ns;                          0ns;0.000000;0.000000
133;e53d0;1000;0;0;        13s 546ms 352μs 709ns;4615.384615;             67ms 183μs 717ns;                          0ns;0.000000;0.000000
107;bfee6;1000;0;0;        10s 782ms 158μs 874ns;6000.000000;             53ms 303μs 271ns;                          0ns;0.000000;0.000000
260;17f601;1000;0;0;        27s   4ms 801μs 752ns;2222.222222;            134ms 247μs 932ns;                          0ns;0.000000;0.000000
180;11f46f;1000;0;0;        19s   1ms 752μs 752ns;3157.894737;             94ms 247μs 692ns;                          0ns;0.000000;0.000000
36;5ea59;1000;0;0;         3s 707ms 742μs 350ns;20000.000000;             18ms  66μs 554ns;                          0ns;0.000000;0.000000
106;bea63;1000;0;0;        10s 720ms 761μs 599ns;6000.000000;             52ms 976μs 840ns;                          0ns;0.000000;0.000000
259;17e4bc;1000;0;0;        26s 928ms 678μs 773ns;2307.692308;            133ms 750μs  42ns;                          0ns;0.000000;0.000000
179;11e278;1000;0;0;        19s  48ms 838μs 886ns;3157.894737;             94ms 410μs 729ns;                          0ns;0.000000;0.000000
35;5d7d4;1000;0;0;         3s 592ms 492μs 494ns;20000.000000;             17ms 500μs 928ns;                          0ns;0.000000;0.000000
105;bd288;1000;0;0;        10s 751ms 189μs 783ns;6000.000000;             53ms 128μs  36ns;                          0ns;0.000000;0.000000
258;17d035;1000;0;0;        27s 187ms 384μs 767ns;2222.222222;            135ms  77μs 755ns;                          0ns;0.000000;0.000000
178;11ce81;1000;0;0;        19s  14ms 878μs 223ns;3157.894737;             94ms 415μs 274ns;                          0ns;0.000000;0.000000
34;5c459;1000;0;0;         3s 499ms 653μs 345ns;20000.000000;             17ms  43μs 778ns;                          0ns;0.000000;0.000000
104;bbf69;1000;0;0;        10s 433ms 818μs   3ns;6000.000000;             51ms 594μs 322ns;                          0ns;0.000000;0.000000
177;11bdf0;1000;0;0;        19s 336ms 995μs 444ns;3157.894737;             95ms 991μs 838ns;                          0ns;0.000000;0.000000
257;17bcb6;1000;0;0;        27s  74ms 955μs 242ns;2222.222222;            134ms 550μs 780ns;                          0ns;0.000000;0.000000
176;11ad0b;1000;0;0;        19s 156ms 264μs 966ns;3157.894737;             95ms   8μs 384ns;                          0ns;0.000000;0.000000
256;17ac33;1000;0;0;        27s  73ms 482μs 785ns;2222.222222;            134ms 539μs  79ns;                          0ns;0.000000;0.000000
103;bab7c;1000;0;0;        10s 414ms 102μs 716ns;6000.000000;             51ms 493μs  57ns;                          0ns;0.000000;0.000000
33;5a92c;1000;0;0;         3s 395ms 946μs 850ns;20000.000000;             16ms 535μs 328ns;                          0ns;0.000000;0.000000
175;119cb4;1000;0;0;        19s 203ms 746μs 211ns;3157.894737;             95ms 299μs 824ns;                          0ns;0.000000;0.000000
255;1799c0;1000;0;0;        26s 557ms 566μs 745ns;2307.692308;            132ms  40μs 904ns;                          0ns;0.000000;0.000000
102;b960b;1000;0;0;        10s 371ms 726μs 754ns;6000.000000;             51ms 252μs 806ns;                          0ns;0.000000;0.000000
32;592d3;1000;0;0;         3s 282ms 195μs 119ns;20000.000000;             15ms 967μs  89ns;                          0ns;0.000000;0.000000
174;118641;1000;0;0;        18s 944ms  19μs 552ns;3333.333333;             94ms  69μs 576ns;                          0ns;0.000000;0.000000
254;178597;1000;0;0;        27s 221ms 290μs 771ns;2222.222222;            135ms 286μs 298ns;                          0ns;0.000000;0.000000
31;57f6a;1000;0;0;         3s 165ms 635μs 166ns;20000.000000;             15ms 392μs 961ns;                          0ns;0.000000;0.000000
101;b7ca2;1000;0;0;        10s 365ms 134μs 511ns;6000.000000;             51ms 300μs 898ns;                          0ns;0.000000;0.000000
173;1174fc;1000;0;0;        19s 143ms 220μs  18ns;3157.894737;             94ms 967μs 338ns;                          0ns;0.000000;0.000000
253;1774be;1000;0;0;        27s 123ms 559μs  36ns;2222.222222;            134ms 665μs  62ns;                          0ns;0.000000;0.000000
100;b6beb;1000;0;0;        10s 128ms 878μs 105ns;6000.000000;             50ms  78μs 615ns;                          0ns;0.000000;0.000000
30;5693f;1000;0;0;         3s  51ms 230μs 226ns;20000.000000;             14ms 822μs 538ns;                          0ns;0.000000;0.000000
172;11636d;1000;0;0;        18s 293ms 608μs 466ns;3333.333333;             90ms 833μs 152ns;                          0ns;0.000000;0.000000
252;175ea7;1000;0;0;        27s 220ms 234μs 544ns;2222.222222;            135ms 275μs 947ns;                          0ns;0.000000;0.000000
99;b5a0a;1000;0;0;        10s 151ms 781μs 833ns;6000.000000;             50ms 159μs 789ns;                          0ns;0.000000;0.000000
