ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
67;0;66;0;0;0000000000000010;              3ms 530μs 910ns;171;2;              1ms 703μs  51ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;0
6a;0;66;0;0;0000000000000010;              3ms 789μs 489ns;150;2;              1ms 555μs 118ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;1
6d;0;66;0;0;0000000000000010;              4ms 145μs 112ns;184;2;              3ms 948μs 990ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;2
73;0;66;0;0;0000000000000010;              4ms 672μs 247ns;120;2;              4ms  40μs 662ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;4
76;0;66;0;0;0000000000000010;              4ms 933μs 442ns;144;2;              2ms 750μs 907ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;5
82;0;66;0;0;0000000000000010;              6ms 352μs 295ns;110;2;              1ms 340μs 807ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;6
79;0;66;0;0;0000000000000010;              5ms 283μs 874ns;158;2;              2ms 584μs 604ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;6
7c;0;66;0;0;0000000000000010;              5ms 649μs 325ns;181;2;              2ms 810μs 962ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
89;0;66;0;0;0000000000000010;              6ms 715μs 225ns;135;2;                  728μs 825ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;8
91;0;66;0;0;0000000000000010;              6ms 937μs 260ns;179;2;              1ms 553μs 961ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
8e;0;66;0;0;0000000000000010;              6ms 817μs 811ns;166;2;              2ms 291μs 889ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
8b;0;66;0;0;0000000000000010;              7ms  13μs 737ns;154;2;              2ms  87μs 912ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
9a;0;66;0;0;0000000000000010;              7ms 168μs 766ns;126;2;              2ms 129μs 180ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
a0;0;66;0;0;0000000000000010;              7ms 383μs 543ns;119;2;              2ms  38μs 136ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
a9;0;66;0;0;0000000000000010;              7ms 590μs 999ns;130;2;              1ms 963μs 957ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
ac;0;66;0;0;0000000000000010;              7ms 689μs 988ns;125;2;              1ms 359μs 758ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
b2;0;66;0;0;0000000000000010;              7ms 804μs 296ns;144;2;              1ms 201μs 756ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
b8;0;66;0;0;0000000000000010;              7ms 994μs 884ns;105;2;              1ms 586μs 953ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
af;0;66;0;0;0000000000000010;              8ms  33μs 278ns;185;2;              1ms 371μs 267ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
c7;0;66;0;0;0000000000000010;              8ms 479μs 921ns;182;2;              1ms 420μs 547ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
c4;0;66;0;0;0000000000000010;              8ms 346μs 629ns;107;2;              2ms 651μs 839ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
d0;0;66;0;0;0000000000000010;              8ms 856μs   6ns;143;2;              1ms 315μs 688ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
d9;0;66;0;0;0000000000000010;              8ms 981μs 679ns;200;2;              1ms 235μs 662ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
e2;0;66;0;0;0000000000000010;              9ms 199μs 682ns;161;2;              1ms 429μs 319ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
df;0;66;0;0;0000000000000010;              9ms  91μs  92ns;146;2;              2ms 354μs 303ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
e5;0;66;0;0;0000000000000010;              9ms 434μs 728ns;185;2;              1ms 265μs  30ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
ef;0;66;0;0;0000000000000010;              9ms 607μs 524ns;153;2;              1ms 351μs  70ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
ec;0;66;0;0;0000000000000010;              9ms 608μs 402ns;116;2;              1ms 317μs 306ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;9
