ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
18c04c;18bd17;18bf40;0;0;0000000000000070;    59m 39s 374ms 758μs 236ns;0;1838;            123ms 744μs 329ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263610
18c700;18ae93;18bf40;0;0;0000000000000070;    59m 48s 584ms 688μs 177ns;0;1832;            127ms   9μs 931ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263980
18d075;18ae93;18bf40;0;0;0000000000000070;    59m 58s 674ms 560μs 436ns;0;1832;            125ms 635μs 815ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;264377
18c0b9;18ae93;18bf40;0;0;0000000000000070;    59m 39s 994ms 276μs   8ns;0;1830;            128ms 410μs  15ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263635
18c43f;18ae93;18bf40;0;0;0000000000000070;    59m 44s 889ms 546μs 573ns;0;1830;            121ms 602μs 479ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263831
18c5bc;18b9fd;18bf40;0;0;0000000000000070;    59m 46s 907ms  35μs 724ns;0;1830;            119ms 487μs 272ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263914
18c7ea;18ae93;18bf40;0;0;0000000000000070;    59m 49s 753ms 507μs 742ns;0;1830;            124ms 944μs 451ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;264026
18cbfd;18b9fd;18bf40;0;0;0000000000000070;    59m 54s 403ms  65μs 639ns;0;1830;            131ms 671μs 770ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;264211
18cc20;18ae93;18bf40;0;0;0000000000000070;    59m 54s 558ms 926μs 634ns;0;1830;            127ms 761μs 307ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;264219
18ae93;18a1c7;18adc5;62;61;4000000000000070;    59m 14s 183ms 265μs  44ns;1930;1829;            130ms 934μs 670ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;262604
18bf4f;18ae93;18bf40;0;0;0000000000000070;    59m 39s  33ms  65μs 408ns;0;1829;            120ms 114μs 320ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263551
18c10f;18ae93;18bf40;0;0;0000000000000070;    59m 40s 497ms 671μs 107ns;0;1829;            125ms 160μs 896ns;0.000000;inf;0.000000;inf;3;1;Failing;;;0;263655
