ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
6cf6c4;1856;0;0;0;11;121;162.000000;155.000000;95.679012;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;         6s 310ms 661μs  80ns;         1s 387ms 786μs  40ns
6cf58e;3404;0;0;0;17;115;163.000000;150.000000;92.024540;116.000000;116.000000;99.145299;0.000000;0.000000;-nan;         6s 597ms 109μs 684ns;         3s 794ms 237μs 616ns
6cda7b;896;0;0;0;8;125;162.000000;159.000000;98.148148;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;        10s 454ms 479μs 103ns;            509ms 687μs 475ns
6bd949;5260;0;0;0;23;110;159.000000;141.000000;88.679245;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;        39s 363ms 968μs 791ns;         5s 729ms 941μs 668ns
6bc92b;9238;0;0;0;37;97;159.000000;128.000000;80.503145;116.000000;116.000000;100.000000;0.000000;0.000000;-nan;        40s 508ms 191μs 456ns;         8s 402ms 420μs 758ns
6bbcdc;1254;0;0;0;9;125;161.000000;158.000000;98.136646;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;        42s 260ms 523μs 555ns;         1s 523ms 666μs 505ns
6b7d98;4;0;0;0;1;4;160.000000;160.000000;100.000000;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;        52s 162ms 702μs 536ns;                          0ns
6b7903;127;0;0;0;5;64;160.000000;160.000000;100.000000;116.000000;116.000000;100.000000;0.000000;0.000000;-nan;        55s 257ms 421μs 236ns;                          0ns
6a7048;7112;0;0;0;29;105;159.000000;136.000000;85.534591;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;     1m 35s 589ms 101μs 509ns;         7s 801ms 714μs 642ns
6a5967;5264;0;0;0;23;110;160.000000;142.000000;88.750000;116.000000;116.000000;100.000000;0.000000;0.000000;-nan;     1m 38s 526ms 399μs 636ns;         5s 567ms 216μs 798ns
6a1d45;1534;0;0;0;11;121;160.000000;153.000000;95.625000;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;     1m 49s 792ms 299μs 456ns;         1s 315ms 410μs 392ns
6961c7;1385;0;0;0;11;120;162.000000;154.000000;95.061728;115.000000;115.000000;98.290598;0.000000;0.000000;-nan;     2m  6s 779ms 733μs 858ns;            946ms 664μs 823ns
696097;4688;0;0;0;21;112;160.000000;144.000000;90.000000;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;     2m  6s 938ms  73μs 632ns;         5s 345ms  24μs 706ns
68b863;3168;0;0;0;15;119;163.000000;154.000000;94.478528;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;     2m 28s 281ms 892μs 301ns;         4s 265ms 794μs 449ns
68887a;1534;0;0;0;11;121;160.000000;153.000000;95.625000;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;     2m 34s 428ms 684μs 655ns;         1s 313ms 942μs 349ns
6871de;3027;0;0;0;16;116;158.000000;146.000000;92.405063;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;     2m 38s 581ms  41μs 308ns;         2s 950ms 668μs 498ns
6850b5;30;0;0;0;3;16;158.000000;158.000000;100.000000;116.000000;116.000000;100.000000;0.000000;0.000000;-nan;     2m 45s 754ms 408μs 508ns;                          0ns
64f8e0;12633;0;0;0;50;84;161.000000;117.000000;72.670807;115.000000;115.000000;100.000000;0.000000;0.000000;-nan;     4m  2s 668ms 900μs  35ns;        10s 579ms 756μs 458ns
648e02;12432;0;0;0;49;119;161.000000;119.000000;73.913043;117.000000;117.000000;100.000000;0.000000;0.000000;-nan;     4m 14s 289ms 466μs 158ns;         9s 158ms 842μs 843ns
62028c;6740;0;0;0;29;103;160.000000;135.000000;84.375000;115.000000;115.000000;99.137931;0.000000;0.000000;-nan;     5m 13s 654ms 387μs 992ns;         6s 612ms 866μs 191ns
