ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
17cf3;173da;17786;0;0;0000000000000038;    21m 24s 775ms 958μs 781ns;6537;6506;            475ms 131μs 703ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32462
17dd1;17cf3;17786;0;0;0000000000000080;    21m 29s 791ms 895μs 114ns;4880;-1;            350ms 578μs 750ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32505
17e72;17cf3;17786;0;0;0000000000000080;    21m 32s 892ms 640μs 847ns;4067;-1;            298ms 457μs 366ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32543
17e74;17cf3;17786;0;0;0000000000000080;    21m 32s 892ms 723μs 362ns;4067;-1;            295ms 501μs 903ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32549
17e6b;17cf3;17786;0;0;4000000000000080;    21m 32s 882ms 830μs 980ns;4067;-1;            293ms 302μs 197ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32557
17ebc;17cf3;17786;0;0;0000000000000080;    21m 34s 554ms 717μs 531ns;3254;-1;            235ms 771μs 316ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32577
17f5c;17cf3;17786;0;0;0000000000000080;    21m 37s 417ms 556μs 363ns;2848;-1;            207ms 551μs 440ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32623
17f58;17cf3;17786;0;0;0000000000000080;    21m 37s 408ms 258μs 505ns;2848;-1;            206ms 916μs 537ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32624
17f54;17cf3;17786;0;0;0000000000000080;    21m 37s 406ms 842μs 200ns;2848;-1;            205ms 660μs 428ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32629
17f52;17cf3;17786;0;0;0000000000000080;    21m 37s 405ms 396μs 411ns;2848;-1;            206ms  50μs 328ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32631
17fb3;17cf3;17786;0;0;0000000000000080;    21m 38s 794ms 922μs 688ns;2442;-1;            177ms 955μs 899ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32653
17fad;17cf3;17786;0;0;0000000000000080;    21m 38s 791ms 437μs   0ns;2442;-1;            179ms 722μs 455ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32660
17ee7;173da;17786;0;0;0000000000000038;    21m 35s 491ms 284μs 654ns;6543;6472;            470ms 732μs 541ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32667
17fff;17cf3;17786;0;0;0000000000000080;    21m 40s 125ms 879μs 394ns;2035;-1;            146ms 575μs 327ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32687
1804e;17ee7;17786;0;0;0000000000000080;    21m 41s 471ms 153μs 496ns;4854;-1;            353ms 812μs 181ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32703
180d3;17cf3;17786;0;0;0000000000000080;    21m 42s 752ms 530μs 264ns;1832;-1;            133ms 146μs 730ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32733
180ca;17cf3;17786;0;0;0000000000000080;    21m 42s 742ms 208μs 640ns;1832;-1;            133ms 662μs 951ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32737
180bf;17cf3;17786;0;0;0000000000000080;    21m 42s 736ms 502μs 288ns;1832;-1;            131ms 289μs 887ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32741
18106;17ee7;17786;0;0;0000000000000080;    21m 43s 419ms 836μs 131ns;4045;-1;            290ms 989μs 642ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32753
18167;17ee7;17786;0;0;0000000000000080;    21m 44s 399ms  34μs 369ns;3236;-1;            235ms  82μs 956ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32780
18148;17cf3;17786;0;0;0000000000000080;    21m 44s 254ms  59μs 269ns;1629;-1;            120ms 802μs  99ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32791
18135;17cf3;17786;0;0;0000000000000080;    21m 44s 239ms 295μs 528ns;1629;-1;            118ms 175μs 882ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32805
18211;17ee7;17786;0;0;0000000000000080;    21m 46s 199ms 207μs 287ns;2832;-1;            211ms 604μs 106ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32831
1820b;17ee7;17786;0;0;0000000000000080;    21m 46s 194ms 545μs  28ns;2832;-1;            204ms 343μs 785ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32836
181c9;17cf3;17786;0;0;4000000000000080;    21m 46s 146ms 742μs 496ns;1426;-1;            102ms 341μs 668ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32859
1825a;17ee7;17786;0;0;0000000000000080;    21m 47s 448ms 910μs 850ns;2428;-1;            178ms  53μs 238ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32861
182a7;17cf3;17786;0;0;0000000000000080;    21m 47s 562ms 709μs 367ns;1528;-1;            111ms 106μs 825ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32881
182a5;17cf3;17786;0;0;0000000000000080;    21m 47s 561ms 681μs 180ns;1528;-1;            111ms 594μs 625ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32883
182a0;17cf3;17786;0;0;0000000000000080;    21m 47s 557ms 932μs 240ns;1528;-1;            113ms 344μs 623ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32884
18294;17cf3;17786;0;0;0000000000000080;    21m 47s 552ms 784μs 125ns;1528;-1;            113ms  18μs 817ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32891
18292;17cf3;17786;0;0;0000000000000080;    21m 47s 552ms 716μs 226ns;1528;-1;            108ms 112μs 658ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32905
1828f;17cf3;17786;0;0;4000000000000080;    21m 47s 551ms 949μs 128ns;1528;-1;            108ms  63μs 863ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32907
18041;173da;17786;0;0;0000000000000038;    21m 41s 133ms 288μs 437ns;6548;6514;            487ms  87μs 606ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32913
182f8;17cf3;17786;0;0;0000000000000080;    21m 48s 495ms 293μs 983ns;1427;-1;            104ms  77μs 160ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32952
1838b;18041;17786;0;0;0000000000000080;    21m 50s 188ms 233μs 416ns;4886;-1;            356ms 607μs 358ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32957
183d2;17ee7;17786;0;0;0000000000000080;    21m 50s 223ms 249μs 641ns;2226;-1;            161ms 990μs 433ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32960
183cb;17ee7;17786;0;0;0000000000000080;    21m 50s 218ms 250μs 216ns;2226;-1;            161ms  10μs 683ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32962
183bd;17ee7;17786;0;0;0000000000000080;    21m 50s 211ms 644μs 861ns;2226;-1;            162ms 450μs 487ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32969
182f9;17cf3;17786;0;0;0000000000000080;    21m 48s 494ms 222μs 345ns;1427;-1;            103ms 525μs 188ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32986
182f5;17cf3;17786;0;0;0000000000000080;    21m 48s 493ms 658μs 127ns;1427;-1;            103ms  47μs 382ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32988
18414;17ee7;17786;0;0;0000000000000080;    21m 51s 101ms  44μs   4ns;2024;-1;            149ms 949μs 951ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;32999
1840d;17ee7;17786;0;0;0000000000000080;    21m 51s  96ms 484μs 694ns;2024;-1;            150ms 119μs  84ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33001
18461;17ee7;17786;0;0;0000000000000080;    21m 51s 884ms 572μs 317ns;1822;-1;            131ms 977μs 306ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33041
184e5;18041;17786;0;0;0000000000000080;    21m 51s 942ms  38μs 676ns;4072;-1;            292ms 988μs 647ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33047
184df;18041;17786;0;0;0000000000000080;    21m 51s 936ms 464μs 558ns;4072;-1;            293ms 230μs 897ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33048
184d9;18041;17786;0;0;0000000000000080;    21m 51s 931ms 876μs 119ns;4072;-1;            293ms 434μs 874ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33053
1849d;17cf3;17786;0;0;0000000000000080;    21m 51s 902ms 286μs 520ns;1326;-1;             96ms 665μs 204ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33076
18499;17cf3;17786;0;0;0000000000000080;    21m 51s 902ms 273μs 865ns;1326;-1;             96ms 694μs 340ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33077
18513;18041;17786;0;0;0000000000000080;    21m 53s 138ms 725μs 696ns;3258;-1;            243ms 925μs 242ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33078
1850e;18041;17786;0;0;0000000000000080;    21m 53s 131ms  58μs 276ns;3258;-1;            244ms 409μs 263ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33079
185a5;17ee7;17786;0;0;0000000000000080;    21m 53s 761ms 843μs 786ns;1620;-1;            118ms 125μs  64ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33129
185d6;18041;17786;0;0;0000000000000080;    21m 54s 118ms 549μs 479ns;2851;-1;            207ms 506μs 985ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33133
185d8;18041;17786;0;0;0000000000000080;    21m 54s 121ms 713μs 571ns;2851;-1;            207ms 264μs 437ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33137
185d1;18041;17786;0;0;0000000000000080;    21m 54s 114ms 196μs 446ns;2851;-1;            221ms 501μs 780ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33150
185cf;18041;17786;0;0;4000000000000080;    21m 54s 111ms 574μs 359ns;2851;-1;            224ms 492μs 559ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33155
1853f;17cf3;17786;0;0;0000000000000080;    21m 53s 591ms 811μs 470ns;1224;-1;             99ms 646μs 812ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33168
18636;18041;17786;0;0;0000000000000080;    21m 54s 848ms 238μs 641ns;2444;-1;            199ms 249μs  48ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;33174
