ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
28;13ce9;1000;42304;2;     4m 19s 265ms 713μs 289ns;10031.814672;             29ms 374μs  14ns;     3m 23s 568ms 645μs 853ns;0.000000;0.000000
27;13130;1000;0;0;     1m  5s 139ms 243μs 767ns;923.076923;            324ms 683μs  16ns;                          0ns;0.000000;0.000000
26;12577;1000;0;0;     1m  2s 378ms 710μs 719ns;967.741935;            310ms 916μs 201ns;                          0ns;0.000000;0.000000
25;119be;1000;0;0;     1m     774ms 803μs 759ns;1000.000000;            303ms  58μs 509ns;                          0ns;0.000000;0.000000
24;10e05;1000;0;0;        58s  37ms 612μs 249ns;1034.482759;            289ms 371μs  39ns;                          0ns;0.000000;0.000000
23;1024c;1000;0;0;        58s  33ms 769μs 218ns;1034.482759;            289ms 278μs 101ns;                          0ns;0.000000;0.000000
22;f693;1000;0;0;        53s 599ms 769μs 601ns;1132.075472;            267ms 194μs 271ns;                          0ns;0.000000;0.000000
21;eada;1000;0;0;        51s 598ms 898μs 687ns;1176.470588;            257ms 163μs 759ns;                          0ns;0.000000;0.000000
20;df21;1000;0;0;        47s 674ms 506μs 625ns;1276.595745;            237ms 490μs  84ns;                          0ns;0.000000;0.000000
19;d368;1000;0;0;        46s 257ms 243μs 271ns;1304.347826;            230ms 556μs  60ns;                          0ns;0.000000;0.000000
18;c7af;1000;0;0;        43s  26ms 514μs 899ns;1395.348837;            214ms 384μs 448ns;                          0ns;0.000000;0.000000
17;bbf6;1000;0;0;        43s 776ms  12μs 712ns;1395.348837;            218ms  81μs 206ns;                          0ns;0.000000;0.000000
16;b03d;1000;0;0;        39s 863ms 144μs 854ns;1538.461538;            198ms 590μs 414ns;                          0ns;0.000000;0.000000
15;a484;1000;0;0;        35s 815ms 800μs 501ns;1714.285714;            178ms 492μs 838ns;                          0ns;0.000000;0.000000
14;98cb;1000;0;0;        35s 856ms 974μs 747ns;1714.285714;            178ms 636μs 549ns;                          0ns;0.000000;0.000000
13;8d12;1000;0;0;        32s 172ms 221μs 692ns;1875.000000;            160ms 183μs 552ns;                          0ns;0.000000;0.000000
12;8159;1000;0;0;        30s 295ms   8μs  17ns;2000.000000;            150ms 798μs 465ns;                          0ns;0.000000;0.000000
11;75a0;1000;0;0;        26s 806ms 690μs 127ns;2307.692308;            133ms 403μs 938ns;                          0ns;0.000000;0.000000
10;69e7;1000;0;0;        23s 645ms 624μs 972ns;2608.695652;            117ms 613μs 201ns;                          0ns;0.000000;0.000000
9;5e2e;1000;0;0;        21s 185ms 833μs 473ns;2857.142857;            105ms 369μs 289ns;                          0ns;0.000000;0.000000
8;5275;1000;0;0;        18s 436ms 967μs 598ns;3333.333333;             91ms 616μs 135ns;                          0ns;0.000000;0.000000
7;46bc;1000;0;0;        16s 504ms 325μs 233ns;3750.000000;             81ms 963μs 147ns;                          0ns;0.000000;0.000000
6;3b03;1000;0;0;        14s 655ms 418μs  30ns;4285.714286;             72ms 727μs 217ns;                          0ns;0.000000;0.000000
5;2f4a;1000;0;0;        12s 622ms 336μs 580ns;5000.000000;             62ms 607μs 240ns;                          0ns;0.000000;0.000000
4;2391;1000;0;0;        10s 188ms 159μs 790ns;6000.000000;             50ms 438μs   2ns;                          0ns;0.000000;0.000000
3;17d8;1000;0;0;         7s 230ms  12μs 588ns;8571.428571;             35ms 703μs 432ns;                          0ns;0.000000;0.000000
2;c1f;1000;0;0;         5s 205ms 573μs 245ns;12000.000000;             25ms 563μs 679ns;                          0ns;0.000000;0.000000
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;1000;0;0;         2s 601ms 647μs 781ns;30000.000000;             12ms 559μs 279ns;                          0ns;0.000000;0.000000
