ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
141f7;1384b;13ce9;0;0;0000000000000030;    15m 50s 650ms 694μs 979ns;5578;-1;            427ms 192μs 320ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27430
13d92;137c1;13ce9;0;0;0000000000000030;    15m 24s 176ms 487μs 734ns;5577;-1;            422ms 562μs 851ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27055
13e9a;13705;13ce9;0;0;0000000000000030;    15m 30s 359ms 523μs 545ns;5577;-1;            472ms 239μs 524ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27143
1461b;13431;13ce9;0;0;0000000000000030;    16m 12s 657ms 618μs  38ns;5577;-1;            471ms 189μs 742ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27831
13d2e;1384b;13ce9;0;0;0000000000000030;    15m 23s 811ms 302μs 420ns;5576;-1;            477ms 661μs 332ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27026
13f8d;13431;13ce9;0;0;0000000000000030;    15m 36s 521ms 945μs 279ns;5576;-1;            409ms 910μs 187ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27224
146d7;13705;13ce9;0;0;0000000000000030;    16m 15s 376ms  50μs 779ns;5576;-1;            412ms 816μs 823ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27924
160f2;13431;13ce9;0;0;0000000000000030;    16m 55s 734ms 501μs 809ns;5576;-1;            427ms 535μs 538ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;30479
14008;134ea;13ce9;0;0;0000000000000030;    15m 39s 292ms 634μs 857ns;5575;-1;            437ms 855μs 219ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27265
14504;137c1;13ce9;0;0;0000000000000030;    16m  7s 787ms 119μs 516ns;5575;-1;            408ms 506μs 859ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;27722
