ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
28ad2;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 708μs 822ns;1;-1;              1ms 698μs 633ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43018
28ad1;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 698μs 587ns;1;-1;              1ms 874μs 485ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43021
28ad0;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 685μs 660ns;1;-1;              1ms 823μs 468ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43022
28acb;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 654μs  73ns;1;-1;              1ms 686μs 107ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43023
28ac8;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 624μs 632ns;1;-1;              1ms 731μs 492ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43024
28ac9;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 622μs 859ns;1;-1;              1ms 880μs 482ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43026
28ac6;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 607μs 195ns;1;-1;              1ms 938μs 961ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43027
28ac7;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 604μs 182ns;1;-1;              1ms 665μs 621ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43027
28aba;28853;13ce9;0;0;0000000000000080;    18m 23s 787ms 463μs 519ns;1;-1;              1ms 708μs 438ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;43029
1f992;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 211ms 469μs 863ns;2;-1;              1ms 795μs 521ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36585
1fa03;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 210μs 125ns;2;-1;              1ms 848μs 253ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36588
1fa2d;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 796μs 560ns;2;-1;              1ms 681μs 591ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36747
1fa2c;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 793μs 196ns;2;-1;              2ms 220μs  50ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36748
1fa2b;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 784μs 773ns;2;-1;              1ms 604μs 311ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36749
1fa2a;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 772μs 854ns;2;-1;              1ms 702μs 234ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36750
1fa29;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 766μs 350ns;2;-1;              1ms 557μs 672ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36751
1fa28;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 761μs  78ns;2;-1;              1ms 615μs 864ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36752
1fa26;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 746μs 860ns;2;-1;              1ms 521μs 602ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36753
1fa27;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 746μs 360ns;2;-1;              1ms 608μs 888ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36755
1fa23;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 713μs 299ns;2;-1;              1ms 411μs 323ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36755
1fa1f;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 686μs 251ns;2;-1;              1ms 967μs 107ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36757
1fa1d;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 660μs 447ns;2;-1;              1ms 426μs 378ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36758
1fa17;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 590μs 867ns;2;-1;              1ms 698μs 903ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36759
1fa11;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 510μs 323ns;2;-1;              1ms 718μs 605ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36760
1fa0a;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 371μs 941ns;2;-1;              1ms 569μs 391ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36762
1fa06;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 309μs 670ns;2;-1;              1ms 811μs 536ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36763
1fa05;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 295μs 499ns;2;-1;              1ms 649μs 341ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36765
1f9fa;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms 107μs 880ns;2;-1;              1ms 829μs 851ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36766
1f9f1;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms  22μs 165ns;2;-1;              1ms 739μs 308ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36767
1f9f0;1f7d8;13ce9;0;0;0000000000000080;    17m 57s 212ms   8μs 514ns;2;-1;              1ms 912μs 759ns;0.000000;inf;0.000000;inf;4;1;Unfinished;;;0;36768
