ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
9a3e;96d5;945e;0;0;0000000000000080;     2m 57s 633ms 814μs 503ns;34;-1;            206ms  60μs 485ns;3003.000000;0.011322;0.000000;inf;0;1;Failing;;;0;11313
bc80;a745;945e;0;0;4000000000000080;     3m 44s 688ms 748μs 132ns;33;-1;            288ms 310μs 387ns;2916.000000;0.011317;0.000000;inf;0;1;Unfinished;;;0;13285
bce6;a95a;945e;0;0;4000000000000080;     3m 44s 852ms 806μs 817ns;33;-1;            352ms 239μs 961ns;2916.000000;0.011317;0.000000;inf;0;1;Unfinished;;;0;13303
bc85;a745;945e;0;0;4000000000000080;     3m 44s 688ms 904μs  66ns;33;-1;            288ms       187ns;2914.000000;0.011325;0.000000;inf;0;1;Unfinished;;;0;13287
bc83;a745;945e;0;0;4000000000000080;     3m 44s 688ms 818μs 129ns;33;-1;            371ms 623μs 291ns;2914.000000;0.011325;0.000000;inf;0;1;Unfinished;;;0;13286
bce8;a95a;945e;0;0;4000000000000080;     3m 44s 852ms 876μs 654ns;33;-1;            320ms 967μs 240ns;2912.000000;0.011332;0.000000;inf;0;1;Unfinished;;;0;13304
bcee;a95a;945e;0;0;4000000000000080;     3m 44s 852ms 986μs 332ns;33;-1;            287ms 551μs 800ns;2909.000000;0.011344;0.000000;inf;0;1;Unfinished;;;0;13305
bcf3;a95a;945e;0;0;4000000000000080;     3m 44s 853ms 204μs 846ns;33;-1;            272ms 511μs 935ns;2909.000000;0.011344;0.000000;inf;0;1;Unfinished;;;0;13306
bddf;9807;945e;0;0;4000000000000080;     3m 45s 773ms 440μs 949ns;33;-1;            235ms 520μs 141ns;2908.000000;0.011348;0.000000;inf;0;1;Unfinished;;;0;13347
bde1;9807;945e;0;0;4000000000000080;     3m 45s 773ms 448μs 196ns;33;-1;            362ms 463μs 462ns;2908.000000;0.011348;0.000000;inf;0;1;Unfinished;;;0;13348
