ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
587308;586f26;5857e6;0;0;4000000000000080;   522m 59s 506ms 194μs 223ns;24;-1;                        -660029919566949ns;2343.000000;0.010243;0.000000;inf;-1;3;Unfinished;;;0;1592357
10fee;10b70;f5b5;0;0;4000000000000080;     3m 59s  37ms 519μs 929ns;24;-1;                        -609965977978969ns;2281.000000;0.010522;0.000000;inf;-1;3;Unfinished;;;0;18589
465d6e;46461d;463ee1;0;0;4000000000000080;   409m  9s  88ms 897μs 647ns;23;-1;                        -645828695305896ns;2259.000000;0.010181;0.000000;inf;-1;3;Unfinished;;;0;1269245
465aee;46461d;463ee1;0;0;4000000000000080;   409m  7s 341ms 575μs 693ns;24;-1;                        -645827186336223ns;2259.000000;0.010624;0.000000;inf;-1;3;Unfinished;;;0;1269146
465aea;46461d;463ee1;0;0;4000000000000080;   409m  7s 341ms 475μs 943ns;24;-1;                        -645827183655735ns;2259.000000;0.010624;0.000000;inf;-1;3;Unfinished;;;0;1269147
465af2;46461d;463ee1;0;0;4000000000000080;   409m  7s 341ms 734μs 104ns;24;-1;                        -645827215956275ns;2259.000000;0.010624;0.000000;inf;-1;3;Unfinished;;;0;1269152
465817;46461d;463ee1;0;0;4000000000000080;   409m  6s 765ms 246μs 367ns;25;-1;                        -645825451843251ns;2259.000000;0.011067;0.000000;inf;-1;3;Unfinished;;;0;1269038
473c97;4732fd;4722f7;0;0;4000000000000080;   414m 20s  36ms 847μs 370ns;25;-1;                        -646455053410545ns;2259.000000;0.011067;0.000000;inf;-1;3;Unfinished;;;0;1284971
31155a;310c50;30f989;7054;5;4000000000000088;   269m 20s 604ms 827μs 298ns;23;-1;                        -631331480834708ns;2258.000000;0.010186;0.000000;inf;-1;3;Unfinished;;;0;886629
31155d;310c50;30f989;0;0;4000000000000080;   269m 20s 604ms 963μs 335ns;23;-1;                        -631331515493674ns;2258.000000;0.010186;0.000000;inf;-1;3;Unfinished;;;0;886636
35dbf9;35d313;35bf9d;15601;5;4000000000000088;   300m 31s 613ms  85μs 654ns;23;-1;                        -634316178978309ns;2258.000000;0.010186;0.000000;inf;-1;3;Unfinished;;;0;972288
40596e;40496b;403ac6;0;0;4000000000000080;   372m 14s 925ms 612μs 496ns;23;-1;                        -641602352811224ns;2258.000000;0.010186;0.000000;inf;-1;3;Unfinished;;;0;1161018
