ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;2000;94;10;         7s 338ms 384μs  52ns;17948.571429;                        -11515975976762ns;            572ms 632μs 509ns;0.000000;0.000000
2;19cf;2000;178;10;         9s 465ms 304μs 144ns;14520.000000;                        -14270616636583ns;            837ms 899μs 629ns;553.000000;0.000000
363;301ec2;2000;530;10;     1m      51ms 171μs 517ns;2530.000000;                        -32057833744594ns;         7s 464ms 245μs 631ns;2256.000000;0.000000
364;3041c3;2000;511;10;        59s 386ms 201μs 987ns;2553.559322;                        -30511410377023ns;         7s 317ms 164μs 900ns;2256.000000;0.000000
3;59b4;2000;184;10;        13s 373ms 608μs 702ns;10080.000000;                        -8342739334087ns;         1s 188ms 582μs 782ns;1246.000000;0.000000
365;306464;2000;418;10;        58s 707ms 258μs 200ns;2501.379310;                        -25399057523832ns;         5s 239ms  84μs 973ns;2256.000000;0.000000
366;30855f;2000;420;10;        58s 882ms 871μs 116ns;2503.448276;                        -28177095294519ns;         5s 527ms 256μs 888ns;2256.000000;0.000000
4;86f9;2000;602;10;        43s 463ms 217μs   2ns;3630.697674;                        -39752685290105ns;         8s  45ms 152μs 749ns;2207.000000;0.000000
367;30a648;2000;531;10;     1m  1s 265ms  89μs 303ns;2489.508197;                        -26723567133804ns;         6s 782ms 505μs 374ns;2256.000000;0.000000
368;30c945;2000;544;10;        58s 844ms 594μs 367ns;2631.724138;                        -31688691152377ns;         7s 756ms 272μs 561ns;2256.000000;0.000000
5;dd4a;2000;519;10;        50s 791ms 291μs 735ns;3022.800000;                        -26384612643864ns;         6s 281ms 681μs 712ns;2246.000000;0.000000
369;30ec70;2000;430;10;        59s 634ms 650μs 781ns;2471.186441;                        -23435742506880ns;         5s 799ms 581μs 458ns;2256.000000;0.000000
6;ff93;2000;435;10;        43s 123ms 905μs 371ns;3397.674419;                        -25976291060104ns;         4s 907ms 117μs 447ns;2246.000000;0.000000
370;310dc7;2000;557;10;     1m  1s 769ms 382μs 907ns;2515.081967;                        -34847424846529ns;         7s 897ms 667μs 488ns;2256.000000;0.000000
7;1206e;2000;432;10;        49s 267ms  36μs 558ns;2977.959184;                        -26010756358673ns;         5s 279ms 211μs 160ns;2251.000000;0.000000
371;313136;2000;467;10;     1m      29ms 646μs 924ns;2467.000000;                        -26979665052802ns;         6s   6ms 929μs  25ns;2256.000000;0.000000
