ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
2885;1de5;2815;0;40;4000000000000038;        29s 743ms 389μs 300ns;93;50;            302ms 864μs 855ns;0.000000;inf;0.000000;inf;256;1;Passing;;;0;3023
28a2;1d13;2815;0;69;4000000000000038;        29s 744ms 550μs 387ns;133;52;            339ms 246μs 531ns;2624.000000;0.019817;0.000000;inf;256;1;Passing;;;0;3032
3020;28a2;2815;0;0;4000000000000080;        34s 602ms 332μs 222ns;0;-1;            280ms 668μs 269ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3663
301c;28a2;2815;0;0;4000000000000080;        34s 602ms 264μs 240ns;0;-1;            328ms 470μs 499ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3662
3017;28a2;2815;0;0;4000000000000080;        34s 602ms 101μs 463ns;0;-1;            297ms 387μs 651ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3660
3027;28a2;2815;0;0;4000000000000080;        34s 602ms 532μs 267ns;0;-1;            414ms 441μs 437ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3666
3021;28a2;2815;0;0;4000000000000080;        34s 602ms 390μs 744ns;0;-1;            441ms 116μs 794ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3664
3025;28a2;2815;0;0;4000000000000080;        34s 602ms 488μs 843ns;0;-1;            445ms 997μs 648ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3665
301a;28a2;2815;0;0;4000000000000080;        34s 602ms 210μs 205ns;0;-1;            431ms 559μs 951ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3661
3010;28a2;2815;0;0;4000000000000088;        34s 602ms  23μs 741ns;0;-1;            431ms 581μs 597ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3658
3011;28a2;2815;0;0;4000000000000080;        34s 601ms 914μs 225ns;0;-1;            394ms 914μs 328ns;2624.000000;0.000000;0.000000;-nan;256;1;Passing;;;0;3659
3008;28a2;2815;0;0;4000000000000080;        34s 601ms 778μs  50ns;0;46;            259ms 534μs 991ns;0.000000;inf;0.000000;inf;256;1;Passing;;;0;3655
3003;28a2;2815;0;0;4000000000000080;        34s 601ms 635μs 685ns;0;-1;            273ms 970μs 720ns;0.000000;-nan;0.000000;-nan;256;1;Passing;;;0;3654
300b;28a2;2815;0;0;4000000000000080;        34s 601ms 879μs  32ns;0;48;            446ms 512μs  15ns;2624.000000;0.018293;0.000000;inf;256;1;Passing;;;0;3657
