ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
db508;d82fd;da3b6;0;30;4000000000000078;   141m 12s 562ms 526μs 198ns;0;82;            581ms 512μs 353ns;2473.000000;0.033158;0.000000;inf;0;1;Unfinished;;;0;227714
375550;3726a9;372501;0;0;4000000000000080;   569m 18s  82ms 721μs 511ns;0;-1;                        -649476659181722ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919990
375417;3726a9;372501;0;0;4000000000000080;   569m 16s 482ms 280μs 687ns;0;-1;                        -649474625771195ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919930
dd22e;db508;da3b6;0;0;4000000000000080;   142m  9s  87ms 341μs 721ns;0;-1;                        -617522796094346ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229317
375226;3726a9;372501;0;0;4000000000000080;   569m 12s 839ms 821μs 350ns;0;-1;                        -649473379928532ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919880
375230;3726a9;372501;0;0;4000000000000080;   569m 12s 840ms  97μs 901ns;0;-1;                        -649473471114372ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919886
374d83;3726a9;372501;0;0;4000000000000080;   569m  5s 867ms 244μs 592ns;0;-1;                        -649469902515737ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919698
dd1b2;db508;da3b6;0;0;4000000000000080;   142m  8s 141ms 877μs 406ns;0;-1;                        -617521817296899ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229288
dd1b7;db508;da3b6;0;0;4000000000000080;   142m  8s 142ms 481μs  96ns;0;-1;                        -617521860942130ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229289
dd1c2;db508;da3b6;0;0;4000000000000080;   142m  8s 143ms 244μs 263ns;0;-1;                        -617521973542136ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229292
dd1c0;db508;da3b6;0;0;4000000000000080;   142m  8s 143ms 114μs 932ns;0;-1;                        -617521965132710ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229294
374d7f;3726a9;372501;0;0;4000000000000080;   569m  5s 867ms  87μs 831ns;0;-1;                        -649469888912307ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919698
374d81;3726a9;372501;0;0;4000000000000080;   569m  5s 867ms 111μs 401ns;0;-1;                        -649469888365920ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919698
374d73;3726a9;372501;0;0;4000000000000080;   569m  5s 866ms 795μs 692ns;0;-1;                        -649469805554711ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919701
374d7b;3726a9;372501;0;0;4000000000000080;   569m  5s 867ms  78μs 533ns;0;-1;                        -649469855179860ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919707
dcc13;db508;da3b6;0;2;4000000000000080;   141m 59s  86ms 663μs 431ns;0;-1;                        -617518387404098ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;229121
2f06c3;2edba3;2ed5f2;0;0;4000000000000080;   483m 43s 470ms 164μs 878ns;0;-1;            317ms 110μs 116ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781891
2f06df;2edba3;2ed5f2;0;0;4000000000000080;   483m 43s 471ms 189μs 835ns;0;-1;            307ms 187μs  98ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781898
2f06de;2edba3;2ed5f2;0;0;4000000000000080;   483m 43s 471ms 178μs 697ns;0;-1;            309ms 972μs 395ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781900
2f06d4;2edba3;2ed5f2;0;0;4000000000000080;   483m 43s 470ms 813μs 524ns;0;-1;            490ms 495μs 271ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781900
2f06e5;2edba3;2ed5f2;0;0;4000000000000080;   483m 43s 471ms 390μs 291ns;0;-1;            403ms 288μs 675ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781905
373ec6;3726a9;372501;0;7;4000000000000080;   568m 53s 379ms 696μs 824ns;0;-1;                        -649451718564517ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;918932
2f05d8;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 523ms 510μs 355ns;0;-1;            493ms 424μs  67ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781847
2f05ed;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 524ms 123μs 131ns;0;-1;            311ms 218μs  46ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781849
2f05f3;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 524ms 339μs 125ns;0;-1;            301ms 972μs 661ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781850
2f05e8;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 523ms 964μs 484ns;0;-1;            498ms 156μs 586ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781851
2f05e7;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 523ms 974μs  84ns;0;-1;            493ms 751μs  18ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781852
2f05f5;2edba3;2ed5f2;0;0;4000000000000080;   483m 41s 524ms 378μs 765ns;0;-1;            440ms 920μs 435ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781854
2f045c;2edba3;2ed5f2;0;0;4000000000000080;   483m 38s 289ms 664μs 348ns;0;-1;            500ms 165μs 734ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781777
2f0473;2edba3;2ed5f2;0;0;4000000000000080;   483m 38s 290ms 540μs 887ns;0;-1;            303ms 102μs 101ns;2473.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;781778
2f047f;2edba3;2ed5f2;0;0;4000000000000080;   483m 38s 291ms   2μs 622ns;0;-1;                        -642496393514828ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;781784
2ef217;2edba3;2ed5f2;0;5;4000000000000080;   483m 18s 742ms 573μs 303ns;0;-1;                        -642476011933365ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;780921
dc037;db508;da3b6;0;3;4000000000000080;   141m 47s 848ms 274μs 255ns;0;-1;                        -617504013341735ns;2473.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;228505
375416;3726a9;372501;0;0;0000000000000080;   569m 16s 482ms 196μs 586ns;0;60;            285ms  11μs 473ns;2417.000000;0.024824;0.000000;inf;0;1;Unfinished;;;0;919927
33ee8d;33c25b;33be94;0;0;4000000000000080;   534m 25s 498ms 802μs 797ns;0;-1;            321ms 681μs 626ns;2400.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;863523
33ee92;33c25b;33be94;0;0;4000000000000080;   534m 25s 499ms   5μs 900ns;0;-1;            321ms 657μs 410ns;2400.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;863526
33edb6;33c25b;33be94;0;0;4000000000000080;   534m 24s  89ms 913μs 656ns;0;-1;            342ms 367μs 808ns;2400.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;863477
2edba3;2ebc57;2ed5f2;0;30;4000000000000078;   481m 59s 847ms 626μs 101ns;195;80;            576ms  77μs 484ns;2396.000000;0.033389;0.000000;inf;0;1;Unfinished;;;0;779186
33ec53;33c25b;33be94;0;0;4000000000000080;   534m 20s 660ms 981μs 967ns;0;60;            236ms 884μs 617ns;2384.000000;0.025168;0.000000;inf;0;1;Unfinished;;;0;863408
33edc0;33c25b;33be94;0;0;4000000000000080;   534m 24s  90ms 289μs   4ns;0;-1;            228ms 440μs 311ns;2384.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;863478
33edc2;33c25b;33be94;0;0;4000000000000080;   534m 24s  90ms 295μs 269ns;0;-1;            300ms 454μs 542ns;2384.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;863482
dd226;db508;da3b6;0;0;0000000000000080;   142m  9s  87ms 161μs 157ns;0;61;            368ms 150μs 455ns;2383.000000;0.025598;0.000000;inf;0;1;Unfinished;;;0;229315
33c25b;33a46e;33be94;0;36;4000000000000078;   532m 34s 513ms 896μs 472ns;184;72;            470ms 917μs 803ns;2361.000000;0.030496;0.000000;inf;0;1;Unfinished;;;0;860699
3726a9;3706ec;372501;0;12;4000000000000078;   567m 22s 964ms 308μs 407ns;218;76;            603ms 144μs 338ns;2361.000000;0.032190;0.000000;inf;0;1;Unfinished;;;0;917007
33d898;33c25b;33be94;0;4;4000000000000080;   534m     804ms 431μs 286ns;0;-1;                        -646567382167884ns;2361.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;862479
dd1b9;db508;da3b6;0;0;0000000000000080;   142m  8s 142ms 595μs  71ns;0;62;            253ms 975μs  33ns;2347.000000;0.026417;0.000000;inf;0;1;Unfinished;;;0;229289
2efcc9;2edba3;2ed5f2;0;0;0000000000000080;   483m 27s 606ms 931μs  97ns;0;64;            326ms 693μs 843ns;2335.000000;0.027409;0.000000;inf;0;1;Unfinished;;;0;781448
dd227;db508;da3b6;0;0;0000000000000080;   142m  9s  87ms 137μs 875ns;0;62;            342ms 138μs 291ns;2329.000000;0.026621;0.000000;inf;0;1;Unfinished;;;0;229313
1a430f;1a2b00;1a1899;0;0;4000000000000080;   270m 19s 683ms 758μs 424ns;0;-1;                        -626352514349679ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;436403
1a430d;1a2b00;1a1899;0;0;4000000000000080;   270m 19s 683ms 696μs  43ns;0;-1;                        -626352471357595ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;436406
1a430a;1a2b00;1a1899;0;0;4000000000000080;   270m 19s 683ms 706μs 120ns;0;-1;                        -626352508344274ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;436413
dd28e;db508;da3b6;0;0;0000000000000080;   142m  9s 966ms 929μs 610ns;0;-1;            238ms 387μs 772ns;2329.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;229328
dd365;db508;da3b6;0;0;4000000000000080;   142m 10s 641ms  36μs 299ns;0;-1;            244ms 991μs 364ns;2329.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;229374
33ec44;33c25b;33be94;0;0;0000000000000080;   534m 20s 660ms 547μs 566ns;0;-1;                        -646588716635955ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863408
33ec60;33c25b;33be94;0;0;0000000000000080;   534m 20s 661ms 312μs 895ns;0;-1;                        -646588876715385ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863410
33ec4c;33c25b;33be94;0;0;0000000000000080;   534m 20s 660ms 747μs 173ns;0;-1;                        -646588727353344ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863412
33ec48;33c25b;33be94;0;0;0000000000000080;   534m 20s 660ms 632μs 813ns;0;-1;                        -646588726578494ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863412
33ec52;33c25b;33be94;0;0;0000000000000080;   534m 20s 660ms 921μs 534ns;0;-1;                        -646588786493261ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863415
33ec62;33c25b;33be94;0;0;0000000000000080;   534m 20s 661ms 358μs 927ns;0;-1;                        -646589068287348ns;2329.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;863426
dd1b8;db508;da3b6;0;0;0000000000000080;   142m  8s 142ms 532μs 746ns;0;63;            347ms 816μs 942ns;2327.000000;0.027073;0.000000;inf;0;1;Unfinished;;;0;229291
1a36cd;1a2b00;1a1899;0;1;4000000000000080;   270m  7s 271ms 865μs 909ns;0;-1;            313ms 194μs 350ns;2317.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;435777
1a36d2;1a2b00;1a1899;0;0;4000000000000080;   270m  7s 271ms 965μs 205ns;0;-1;            367ms 534μs 839ns;2316.000000;0.000000;0.000000;-nan;0;1;Unfinished;;;0;435780
37560d;3726a9;372501;0;0;4000000000000080;   569m 19s 560ms 591μs 414ns;0;-1;                        -649477949900182ns;2300.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;920034
37553d;3726a9;372501;0;0;0000000000000080;   569m 18s  81ms 994μs 492ns;0;-1;                        -649476536317835ns;2300.000000;0.000000;0.000000;-nan;-1;3;Unfinished;;;0;919989
1a2b00;1a02f4;1a1899;0;32;4000000000000078;   269m 34s 648ms 196μs 898ns;186;66;            480ms 661μs 868ns;2298.000000;0.028721;0.000000;inf;0;1;Unfinished;;;0;434979
2f0156;2edba3;2ed5f2;0;0;0000000000000080;   483m 33s 335ms 505μs 837ns;0;65;            286ms 314μs 495ns;2293.000000;0.028347;0.000000;inf;0;1;Unfinished;;;0;781651
2f05d0;2edba3;2ed5f2;0;0;0000000000000080;   483m 41s 523ms 172μs 291ns;0;65;            391ms  88μs 709ns;2293.000000;0.028347;0.000000;inf;0;1;Unfinished;;;0;781844
2f06bd;2edba3;2ed5f2;0;0;0000000000000080;   483m 43s 470ms   4μs 477ns;0;65;            447ms 888μs 146ns;2293.000000;0.028347;0.000000;inf;0;1;Unfinished;;;0;781893
2f015e;2edba3;2ed5f2;0;0;0000000000000080;   483m 33s 335ms 714μs  40ns;0;65;            263ms 722μs 787ns;2282.000000;0.028484;0.000000;inf;0;1;Unfinished;;;0;781656
dcc18;db508;da3b6;0;0;0000000000000080;   141m 59s  86ms 845μs 387ns;0;64;            377ms 684μs 509ns;2273.000000;0.028157;0.000000;inf;0;1;Unfinished;;;0;229113
2f015c;2edba3;2ed5f2;0;0;0000000000000080;   483m 33s 335ms 659μs  84ns;0;64;            405ms 975μs 974ns;2273.000000;0.028157;0.000000;inf;0;1;Unfinished;;;0;781658
2f07b2;2edba3;2ed5f2;0;0;0000000000000080;   483m 45s 169ms 804μs 274ns;0;63;            459ms 613μs 962ns;2254.000000;0.027950;0.000000;inf;0;1;Unfinished;;;0;781946
2f087a;2edba3;2ed5f2;0;0;0000000000000080;   483m 46s 881ms 898μs 179ns;0;63;            409ms 170μs 502ns;2254.000000;0.027950;0.000000;inf;0;1;Unfinished;;;0;781975
2f047e;2edba3;2ed5f2;0;0;0000000000000080;   483m 38s 290ms 938μs 514ns;0;68;            431ms 910μs 211ns;2252.000000;0.030195;0.000000;inf;0;1;Unfinished;;;0;781786
2f07a5;2edba3;2ed5f2;0;0;0000000000000080;   483m 45s 169ms 424μs 755ns;0;63;            424ms 689μs 662ns;2250.000000;0.028000;0.000000;inf;0;1;Unfinished;;;0;781941
2f07aa;2edba3;2ed5f2;0;0;0000000000000080;   483m 45s 169ms 536μs 695ns;0;63;            422ms 832μs  19ns;2250.000000;0.028000;0.000000;inf;0;1;Unfinished;;;0;781942
2f086f;2edba3;2ed5f2;0;0;0000000000000080;   483m 46s 881ms 600μs 561ns;0;63;            288ms 419μs 398ns;2250.000000;0.028000;0.000000;inf;0;1;Unfinished;;;0;781971
2f0874;2edba3;2ed5f2;0;0;0000000000000080;   483m 46s 881ms 747μs 856ns;0;63;            408ms 912μs 590ns;2250.000000;0.028000;0.000000;inf;0;1;Unfinished;;;0;781975
2f06dc;2edba3;2ed5f2;0;0;0000000000000080;   483m 43s 471ms 103μs 944ns;0;66;            383ms 979μs 732ns;2250.000000;0.029333;0.000000;inf;0;1;Unfinished;;;0;781898
