ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
605d;134;0;31;123;8;32;35.000000;0.000000;0.000000;3198.000000;3198.000000;100.883281;0.000000;0.000000;-nan;        17s  48ms 444μs  47ns;         1s 397ms 866μs 843ns
6064;103;0;20;85;7;29;32.000000;0.000000;0.000000;2825.000000;2825.000000;100.177305;0.000000;0.000000;-nan;        14s 375ms 606μs 412ns;            857ms 668μs 520ns
6071;82;8;20;74;6;30;31.000000;0.000000;0.000000;2824.000000;2824.000000;100.000000;0.000000;0.000000;-nan;         6s 872ms 537μs 316ns;            598ms 611μs  73ns
607e;149;0;34;145;9;29;33.000000;0.000000;0.000000;2824.000000;2824.000000;100.035423;0.000000;0.000000;-nan;        17s 842ms 237μs 776ns;         2s 274ms 645μs 273ns
6085;62;0;53;93;6;29;30.000000;0.000000;0.000000;2822.000000;2822.000000;100.000000;0.000000;0.000000;-nan;        10s 125ms 227μs 714ns;            249ms 188μs 576ns
6095;101;0;23;84;7;29;32.000000;0.000000;0.000000;2952.000000;2952.000000;100.000000;0.000000;0.000000;-nan;        15s 987ms 538μs 436ns;            442ms  75μs 810ns
609c;122;0;25;115;7;33;34.000000;0.000000;0.000000;3171.000000;3171.000000;100.000000;0.000000;0.000000;-nan;        15s 601ms 606μs 169ns;            304ms 577μs  20ns
60ab;87;0;29;92;6;29;30.000000;0.000000;0.000000;2954.000000;2954.000000;100.000000;0.000000;0.000000;-nan;        10s 922ms 573μs 369ns;            184ms 954μs 606ns
60b5;123;0;25;106;7;32;33.000000;0.000000;0.000000;3172.000000;3172.000000;100.000000;0.000000;0.000000;-nan;        16s 352ms  88μs 971ns;            784ms 977μs 235ns
60be;138;0;34;128;8;33;36.000000;0.000000;0.000000;3195.000000;3195.000000;100.852273;0.000000;0.000000;-nan;        16s 710ms 832μs 791ns;            442ms 864μs 128ns
bf46;92;0;134;74;8;33;36.000000;0.000000;0.000000;3247.000000;3247.000000;100.000000;0.000000;0.000000;-nan;         9s 331ms 807μs 564ns;            444ms  69μs 773ns
bf57;88;0;132;80;8;33;36.000000;0.000000;0.000000;3251.000000;3251.000000;100.000000;0.000000;0.000000;-nan;         9s 472ms 734μs 631ns;            485ms 881μs 759ns
bf26;104;0;147;93;8;34;36.000000;0.000000;0.000000;3245.000000;3245.000000;100.000000;0.000000;0.000000;-nan;         9s  52ms 275μs 149ns;         1s   7ms 346μs 404ns
