ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
e1e13;d9bc6;d48ff;0;40281;0000000000000088;    64m 11s 890ms 649μs 958ns;5074;-1;            398ms 986μs 916ns;3324.000000;1.526474;0.000000;inf;1;1;Passing;;;0;170298
e4982;e1e13;d48ff;0;0;0000000000000080;    65m 16s 214ms 424μs 292ns;5015;-1;            410ms 665μs 805ns;3324.000000;1.508724;0.000000;inf;1;1;Passing;;;0;173036
e497e;e1e13;d48ff;0;0;0000000000000080;    65m 16s 196ms  97μs 451ns;5015;-1;            504ms 302μs 698ns;3324.000000;1.508724;0.000000;inf;1;1;Passing;;;0;173036
e5d73;e1e13;d48ff;0;0;0000000000000080;    65m 43s 720ms 494μs 261ns;5006;-1;            527ms 238μs 322ns;3324.000000;1.506017;0.000000;inf;1;1;Passing;;;0;173918
e5d86;e1e13;d48ff;0;0;0000000000000080;    65m 43s 939ms 732μs   2ns;5006;-1;            540ms 447μs 128ns;3324.000000;1.506017;0.000000;inf;1;1;Passing;;;0;173920
e5d84;e1e13;d48ff;0;0;0000000000000080;    65m 43s 933ms 284μs 289ns;5006;-1;            515ms 256μs 139ns;3324.000000;1.506017;0.000000;inf;1;1;Passing;;;0;173922
e5d7a;e1e13;d48ff;0;0;0000000000000080;    65m 43s 832ms  58μs  69ns;5006;-1;            437ms 415μs  28ns;3324.000000;1.506017;0.000000;inf;1;1;Passing;;;0;173926
e7185;e1e13;d48ff;0;1213;0000000000000080;    66m  9s 464ms 944μs 282ns;4997;-1;            495ms  96μs 280ns;3324.000000;1.503309;0.000000;inf;1;1;Passing;;;0;174741
e7187;e1e13;d48ff;0;0;0000000000000080;    66m  9s 490ms 780μs 190ns;4997;-1;            535ms 920μs  87ns;3324.000000;1.503309;0.000000;inf;1;1;Passing;;;0;174742
e718a;e1e13;d48ff;0;0;0000000000000080;    66m  9s 514ms 273μs 951ns;4997;-1;            531ms 978μs 870ns;3324.000000;1.503309;0.000000;inf;1;1;Passing;;;0;174746
eae97;e1e13;d48ff;0;0;0000000000000080;    67m 11s 892ms  91μs 660ns;4993;-1;            518ms 302μs 979ns;3324.000000;1.502106;0.000000;inf;1;1;Passing;;;0;178301
eaf3b;e1e13;d48ff;0;0;0000000000000080;    67m 13s 599ms 799μs  53ns;4993;-1;            521ms 111μs 980ns;3324.000000;1.502106;0.000000;inf;1;1;Passing;;;0;178351
eaf07;e1e13;d48ff;0;0;0000000000000080;    67m 13s 116ms  38μs 507ns;4993;-1;            551ms 387μs 188ns;3324.000000;1.502106;0.000000;inf;1;1;Passing;;;0;178358
ed173;e1e13;d48ff;0;0;0000000000000080;    67m 37s 263ms 372μs 119ns;4989;-1;            513ms 562μs 800ns;3324.000000;1.500903;0.000000;inf;1;1;Passing;;;0;179298
ed19a;e1e13;d48ff;0;0;0000000000000080;    67m 37s 708ms 779μs 594ns;4989;-1;            531ms  95μs 278ns;3324.000000;1.500903;0.000000;inf;1;1;Passing;;;0;179314
ed18c;e1e13;d48ff;0;0;0000000000000080;    67m 37s 573ms 598μs  83ns;4989;-1;            538ms 843μs 608ns;3324.000000;1.500903;0.000000;inf;1;1;Passing;;;0;179314
ed1da;e1e13;d48ff;0;0;0000000000000080;    67m 38s 266ms 564μs 869ns;4989;-1;            445ms 969μs 993ns;3324.000000;1.500903;0.000000;inf;1;1;Passing;;;0;179341
ed226;e1e13;d48ff;0;0;0000000000000080;    67m 39s  23ms 181μs 436ns;4989;-1;            520ms  34μs 213ns;3324.000000;1.500903;0.000000;inf;1;1;Passing;;;0;179369
ef4ba;e1e13;d48ff;0;0;0000000000000080;    68m  1s 368ms 218μs  98ns;4985;-1;            466ms 838μs 530ns;3324.000000;1.499699;0.000000;inf;1;1;Passing;;;0;180719
f6139;e1e13;d48ff;0;0;0000000000000080;    68m 54s 699ms 260μs 779ns;4981;-1;            526ms 335μs 377ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183087
f6136;e1e13;d48ff;0;0;0000000000000080;    68m 54s 669ms 617μs 989ns;4981;-1;            532ms 323μs 466ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183089
f61b5;e1e13;d48ff;0;0;0000000000000080;    68m 55s 304ms 919μs 265ns;4981;-1;            543ms 761μs 216ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183099
f61be;e1e13;d48ff;0;0;0000000000000080;    68m 55s 353ms 912μs 734ns;4981;-1;            501ms   6μs   9ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183100
f61cb;e1e13;d48ff;0;0;0000000000000080;    68m 55s 473ms 789μs 985ns;4981;-1;            540ms 875μs 545ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183105
f61d0;e1e13;d48ff;0;0;0000000000000080;    68m 55s 513ms 941μs 343ns;4981;-1;            501ms  69μs  38ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183106
f61cd;e1e13;d48ff;0;0;0000000000000080;    68m 55s 473ms 462μs 530ns;4981;-1;            532ms 719μs 756ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183106
f61e9;e1e13;d48ff;0;0;0000000000000080;    68m 55s 789ms 566μs  71ns;4981;-1;            469ms 338μs 774ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183110
f61e7;e1e13;d48ff;0;0;0000000000000080;    68m 55s 766ms 243μs 980ns;4981;-1;            535ms 655μs 825ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183112
f6237;e1e13;d48ff;0;0;0000000000000080;    68m 56s  17ms 510μs 646ns;4981;-1;            475ms 242μs 828ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183118
f61dc;e1e13;d48ff;0;0;0000000000000080;    68m 55s 664ms 170μs 118ns;4981;-1;            526ms 740μs 767ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183121
f62ae;e1e13;d48ff;0;0;0000000000000080;    68m 56s 556ms 788μs  78ns;4981;-1;            432ms 234μs 161ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183131
f629c;e1e13;d48ff;0;0;0000000000000080;    68m 56s 535ms 831μs 276ns;4981;-1;            499ms 598μs 628ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183133
f62c2;e1e13;d48ff;0;0;0000000000000080;    68m 56s 682ms 903μs 452ns;4981;-1;            539ms 865μs 837ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183135
f625f;e1e13;d48ff;0;0;0000000000000080;    68m 56s 330ms 653μs 486ns;4981;-1;            524ms 731μs 476ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183139
f6246;e1e13;d48ff;0;0;0000000000000080;    68m 56s 132ms 199μs 220ns;4981;-1;            522ms 338μs 183ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183145
f6248;e1e13;d48ff;0;0;0000000000000080;    68m 56s 149ms 457μs 863ns;4981;-1;            527ms 941μs 460ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183145
f623d;e1e13;d48ff;0;0;0000000000000080;    68m 56s  23ms 933μs 971ns;4981;-1;            533ms 651μs 511ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183149
f61da;e1e13;d48ff;0;0;0000000000000080;    68m 55s 662ms 581μs 323ns;4981;-1;            531ms  17μs 293ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183149
f61d5;e1e13;d48ff;0;0;0000000000000080;    68m 55s 638ms 742μs 394ns;4981;-1;            490ms 979μs 588ns;3324.000000;1.498496;0.000000;inf;1;1;Passing;;;0;183155
fdc29;e1e13;d48ff;0;0;0000000000000080;    70m 48s 267ms 421μs 807ns;4977;-1;            535ms 844μs 182ns;3324.000000;1.497292;0.000000;inf;1;1;Passing;;;0;187887
fdc41;e1e13;d48ff;0;0;0000000000000080;    70m 48s 542ms 272μs 501ns;4977;-1;            472ms 991μs 366ns;3324.000000;1.497292;0.000000;inf;1;1;Passing;;;0;187892
fdc66;e1e13;d48ff;0;0;0000000000000080;    70m 48s 868ms 546μs 800ns;4977;-1;            545ms 174μs 513ns;3324.000000;1.497292;0.000000;inf;1;1;Passing;;;0;187907
fdc7d;e1e13;d48ff;0;0;0000000000000080;    70m 49s 130ms 262μs  81ns;4977;-1;            526ms 756μs 905ns;3324.000000;1.497292;0.000000;inf;1;1;Passing;;;0;187915
106ee5;e1e13;d48ff;0;1845;0000000000000080;    73m 20s  22ms 350μs 604ns;4973;-1;            522ms 130μs 572ns;3324.000000;1.496089;0.000000;inf;1;1;Passing;;;0;194194
114105;e1e13;d48ff;0;0;0000000000000080;    76m 35s 431ms  31μs 735ns;4971;-1;            525ms 992μs  50ns;3324.000000;1.495487;0.000000;inf;1;1;Passing;;;0;203702
120fca;e1e13;d48ff;0;0;0000000000000080;    80m  2s 648ms 150μs 703ns;4969;-1;            729ms 869μs 191ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211493
121024;e1e13;d48ff;0;0;0000000000000080;    80m  4s  51ms 359μs 694ns;4969;-1;            425ms  70μs 634ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211513
121181;e1e13;d48ff;0;0;0000000000000080;    80m  7s 500ms 213μs  64ns;4969;-1;            545ms 377μs 783ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211617
12117d;e1e13;d48ff;0;0;0000000000000080;    80m  7s 464ms 758μs 159ns;4969;-1;            546ms 801μs  55ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211619
12118c;e1e13;d48ff;0;0;0000000000000080;    80m  7s 567ms 418μs 720ns;4969;-1;            475ms 634μs  93ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211619
1211f3;e1e13;d48ff;0;0;0000000000000080;    80m  8s 767ms 536μs 688ns;4969;-1;            458ms 316μs 242ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211663
12157f;e1e13;d48ff;0;0;0000000000000080;    80m 10s 478ms 466μs 406ns;4969;-1;            470ms 853μs 153ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211710
12158b;e1e13;d48ff;0;0;0000000000000080;    80m 10s 672ms 433μs 868ns;4969;-1;            474ms 750μs 804ns;3324.000000;1.494886;0.000000;inf;1;1;Passing;;;0;211717
12c31c;e1e13;d48ff;0;0;0000000000000080;    82m 35s 376ms 276μs  11ns;4967;-1;            513ms 494μs 815ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217104
12c33b;e1e13;d48ff;0;0;0000000000000080;    82m 35s 576ms 751μs 156ns;4967;-1;            490ms 129μs  82ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217110
12c35c;e1e13;d48ff;0;0;0000000000000080;    82m 35s 754ms 814μs 199ns;4967;-1;            543ms 426μs 923ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217128
12c361;e1e13;d48ff;0;0;0000000000000080;    82m 35s 793ms 321μs 216ns;4967;-1;            538ms 926μs 290ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217133
12c3d5;e1e13;d48ff;0;0;0000000000000080;    82m 36s 694ms 605μs 318ns;4967;-1;            538ms  39μs 338ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217166
12c4c1;e1e13;d48ff;0;0;0000000000000080;    82m 38s 239ms 974μs 423ns;4967;-1;            503ms 236μs 225ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217218
12c53d;e1e13;d48ff;0;0;0000000000000080;    82m 39s 330ms  39μs 859ns;4967;-1;            484ms 377μs 117ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217252
12c545;e1e13;d48ff;0;0;0000000000000080;    82m 39s 462ms 522μs  66ns;4967;-1;            501ms 984μs  73ns;3324.000000;1.494284;0.000000;inf;1;1;Passing;;;0;217261
138e9e;e1e13;d48ff;0;0;0000000000000080;    86m 41s   6ms 532μs 691ns;4965;-1;            471ms 700μs 856ns;3324.000000;1.493682;0.000000;inf;1;1;Passing;;;0;226302
138ec1;e1e13;d48ff;0;0;0000000000000080;    86m 41s 357ms 755μs 854ns;4965;-1;            448ms 610μs 793ns;3324.000000;1.493682;0.000000;inf;1;1;Passing;;;0;226308
138fd9;e1e13;d48ff;0;0;0000000000000080;    86m 43s 930ms 661μs 400ns;4965;-1;            487ms 550μs 170ns;3324.000000;1.493682;0.000000;inf;1;1;Passing;;;0;226392
13f41d;e1e13;d48ff;0;0;0000000000000080;    88m     291ms 189μs 691ns;4963;-1;            474ms 639μs 106ns;3324.000000;1.493081;0.000000;inf;1;1;Passing;;;0;229150
13f41b;e1e13;d48ff;0;0;0000000000000080;    88m     246ms 125μs 100ns;4963;-1;            477ms 484μs  62ns;3324.000000;1.493081;0.000000;inf;1;1;Passing;;;0;229150
13f43f;e1e13;d48ff;0;0;0000000000000080;    88m     569ms 600μs 956ns;4963;-1;            517ms 816μs 739ns;3324.000000;1.493081;0.000000;inf;1;1;Passing;;;0;229155
13f43b;e1e13;d48ff;0;0;0000000000000080;    88m     552ms 954μs 494ns;4963;-1;            517ms 938μs 831ns;3324.000000;1.493081;0.000000;inf;1;1;Passing;;;0;229156
1433c4;e1e13;d48ff;0;0;0000000000000080;    89m  1s 308ms 715μs 203ns;4961;-1;            533ms 260μs 460ns;3324.000000;1.492479;0.000000;inf;1;1;Passing;;;0;231434
1433c2;e1e13;d48ff;0;0;0000000000000080;    89m  1s 277ms 528μs 987ns;4961;-1;            523ms 101μs  39ns;3324.000000;1.492479;0.000000;inf;1;1;Passing;;;0;231434
1433d0;e1e13;d48ff;0;0;0000000000000080;    89m  1s 497ms 845μs 538ns;4961;-1;            514ms 335μs 745ns;3324.000000;1.492479;0.000000;inf;1;1;Passing;;;0;231444
149ff8;e1e13;d48ff;0;0;0000000000000080;    91m 11s 705ms 111μs 486ns;4959;-1;            433ms 876μs 165ns;3324.000000;1.491877;0.000000;inf;1;1;Passing;;;0;236773
14e426;e1e13;d48ff;0;0;0000000000000080;    92m  5s 217ms 878μs 710ns;4957;-1;            519ms 727μs 696ns;3324.000000;1.491276;0.000000;inf;1;1;Passing;;;0;238789
14e47b;e1e13;d48ff;0;0;0000000000000080;    92m  6s  77ms 499μs  76ns;4957;-1;            509ms 721μs 745ns;3324.000000;1.491276;0.000000;inf;1;1;Passing;;;0;238827
14e4a9;e1e13;d48ff;0;0;0000000000000080;    92m  6s 440ms 114μs 212ns;4957;-1;            350ms  64μs  84ns;3324.000000;1.491276;0.000000;inf;1;1;Passing;;;0;238832
14e4b0;e1e13;d48ff;0;0;0000000000000080;    92m  6s 480ms 472μs 518ns;4957;-1;            584ms 430μs 119ns;3324.000000;1.491276;0.000000;inf;1;1;Passing;;;0;238849
15231c;e1e13;d48ff;0;0;0000000000000080;    92m 55s 552ms  15μs  19ns;4955;-1;            487ms 280μs 551ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240701
15234a;e1e13;d48ff;0;0;0000000000000080;    92m 55s 912ms 686μs  10ns;4955;-1;            522ms  30μs 386ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240712
152357;e1e13;d48ff;0;0;0000000000000080;    92m 56s  15ms 902μs 248ns;4955;-1;            426ms 425μs  42ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240712
15235f;e1e13;d48ff;0;0;0000000000000080;    92m 56s 131ms 356μs 180ns;4955;-1;            516ms 829μs 195ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240718
152363;e1e13;d48ff;0;0;0000000000000080;    92m 56s 164ms 815μs  93ns;4955;-1;            483ms  50μs 699ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240721
152361;e1e13;d48ff;0;0;0000000000000080;    92m 56s 156ms 858μs 734ns;4955;-1;            507ms 559μs 245ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240723
15237b;e1e13;d48ff;0;0;0000000000000080;    92m 56s 390ms 271μs 569ns;4955;-1;            422ms 938μs 325ns;3324.000000;1.490674;0.000000;inf;1;1;Passing;;;0;240728
156677;e1e13;d48ff;0;0;0000000000000080;    94m  5s 257ms 834μs 353ns;4953;-1;            403ms 146μs 955ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243355
1566f2;e1e13;d48ff;0;0;0000000000000080;    94m  6s 160ms 333μs 644ns;4953;-1;            483ms 296μs 510ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243393
15670a;e1e13;d48ff;0;0;0000000000000080;    94m  6s 340ms 960μs 585ns;4953;-1;            522ms 839μs 376ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243395
15671c;e1e13;d48ff;0;0;0000000000000080;    94m  6s 516ms  45μs 427ns;4953;-1;            517ms  95μs 759ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243403
156737;e1e13;d48ff;0;0;0000000000000080;    94m  6s 762ms  37μs 504ns;4953;-1;            515ms 870μs 659ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243414
15674b;e1e13;d48ff;0;0;0000000000000080;    94m  6s 935ms 735μs 490ns;4953;-1;            467ms 915μs 102ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243419
156802;e1e13;d48ff;0;0;0000000000000080;    94m  8s 132ms 900μs 301ns;4953;-1;            452ms 228μs 821ns;3324.000000;1.490072;0.000000;inf;1;1;Passing;;;0;243458
15c242;e1e13;d48ff;0;0;0000000000000080;    95m 14s 231ms 280μs 249ns;4951;-1;            492ms 871μs 529ns;3324.000000;1.489471;0.000000;inf;1;1;Passing;;;0;246029
1606db;e1e13;d48ff;0;0;0000000000000080;    96m 20s  50ms 762μs 670ns;4949;-1;            375ms 568μs 886ns;3324.000000;1.488869;0.000000;inf;1;1;Passing;;;0;248723
1606d9;e1e13;d48ff;0;0;0000000000000080;    96m 20s  26ms 771μs 151ns;4949;-1;            484ms 424μs 621ns;3324.000000;1.488869;0.000000;inf;1;1;Passing;;;0;248729
160738;e1e13;d48ff;0;0;0000000000000080;    96m 20s 955ms 205μs 138ns;4949;-1;            451ms 571μs  56ns;3324.000000;1.488869;0.000000;inf;1;1;Passing;;;0;248755
16084b;e1e13;d48ff;0;0;0000000000000080;    96m 23s 961ms 344μs 777ns;4949;-1;            536ms 825μs 300ns;3324.000000;1.488869;0.000000;inf;1;1;Passing;;;0;248878
165b63;e1e13;d48ff;0;0;0000000000000080;    97m 46s 418ms 132μs 345ns;4947;-1;            493ms 836μs 918ns;3324.000000;1.488267;0.000000;inf;1;1;Passing;;;0;252379
16b18d;e1e13;d48ff;0;0;0000000000000080;    99m     158ms 994μs 652ns;4945;-1;            519ms 879μs 843ns;3324.000000;1.487665;0.000000;inf;1;1;Passing;;;0;255190
16b198;e1e13;d48ff;0;0;0000000000000080;    99m     265ms  29μs 424ns;4945;-1;            466ms 412μs 223ns;3324.000000;1.487665;0.000000;inf;1;1;Passing;;;0;255196
16b29a;e1e13;d48ff;0;0;0000000000000080;    99m  2s 175ms 781μs 908ns;4945;-1;            429ms 745μs 874ns;3324.000000;1.487665;0.000000;inf;1;1;Passing;;;0;255257
16b2b1;e1e13;d48ff;0;0;0000000000000080;    99m  2s 310ms  26μs 354ns;4945;-1;            497ms 134μs 169ns;3324.000000;1.487665;0.000000;inf;1;1;Passing;;;0;255260
