ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
90448c;510;16;1728;1292;14;471;552.000000;0.000000;0.000000;427.000000;427.000000;99.533800;0.000000;0.000000;-nan;        22s 372ms  36μs 828ns;            176ms 219μs 866ns
904490;782;1870;291;1903;17;334;355.000000;0.000000;0.000000;437.000000;437.000000;100.000000;0.000000;0.000000;-nan;        21s 686ms 951μs 675ns;            264ms 239μs 697ns
90449c;1341;1155;165;2214;18;294;330.000000;0.000000;0.000000;431.000000;431.000000;99.080460;0.000000;0.000000;-nan;        39s 810ms 527μs 356ns;            289ms 964μs 325ns
9044a9;1606;1388;211;2160;17;288;301.000000;0.000000;0.000000;434.000000;434.000000;99.086758;0.000000;0.000000;-nan;        45s 888ms 273μs 600ns;            271ms 825μs 899ns
9044b4;1055;666;326;1430;16;313;331.000000;0.000000;0.000000;428.000000;428.000000;99.074074;0.000000;0.000000;-nan;        26s 296ms  58μs 666ns;         1s 645ms 279μs 642ns
9044f2;1683;2755;523;3268;19;434;470.000000;0.000000;0.000000;430.000000;430.000000;99.767981;0.000000;0.000000;-nan;        50s 119ms 775μs  82ns;            421ms 528μs 859ns
904517;2906;4618;177;7025;29;374;421.000000;0.000000;0.000000;433.000000;433.000000;100.000000;0.000000;0.000000;-nan;     1m 12s 157ms 131μs  79ns;            758ms 118μs 720ns
904549;3578;3205;764;6462;36;299;414.000000;0.000000;0.000000;433.000000;433.000000;99.311927;0.000000;0.000000;-nan;     1m 19s 441ms 642μs 320ns;            912ms 587μs 387ns
90458b;4165;3006;335;6493;29;353;381.000000;0.000000;0.000000;425.000000;425.000000;99.299065;0.000000;0.000000;-nan;     1m 22s 948ms 725μs 930ns;            751ms 851μs 363ns
9045ee;4145;3545;601;7036;31;382;419.000000;0.000000;0.000000;428.000000;428.000000;99.534884;0.000000;0.000000;-nan;     1m 22s 750ms 618μs 230ns;            843ms 732μs 615ns
7597;844;1660;1241;2212;16;583;640.000000;0.000000;0.000000;440.000000;440.000000;99.547511;0.000000;0.000000;-nan;        20s 906ms 407μs 640ns;            320ms 754μs 205ns
759b;2813;2750;675;4025;25;470;575.000000;0.000000;0.000000;435.000000;435.000000;101.162791;0.000000;0.000000;-nan;        48s 293ms 960μs 796ns;            654ms 659μs 117ns
75a8;1734;420;805;1637;15;331;341.000000;0.000000;0.000000;432.000000;432.000000;99.539171;0.000000;0.000000;-nan;        41s 582ms 604μs 426ns;            213ms 785μs 670ns
75c4;1304;400;583;1458;15;311;374.000000;0.000000;0.000000;429.000000;429.000000;99.305556;0.000000;0.000000;-nan;        36s 509ms 925μs 878ns;            235ms 310μs  58ns
75f2;1154;1869;603;2569;22;291;375.000000;0.000000;0.000000;428.000000;428.000000;100.000000;0.000000;0.000000;-nan;        33s 441ms  77μs 603ns;            417ms 582μs 610ns
760f;2516;1396;127;3416;23;258;279.000000;0.000000;0.000000;427.000000;427.000000;99.071926;0.000000;0.000000;-nan;        45s 381ms 768μs 550ns;            460ms  78μs 177ns
7632;408;0;1830;1530;10;637;637.000000;637.000000;100.000000;436.000000;436.000000;100.000000;0.000000;0.000000;-nan;        18s 344ms 235μs 742ns;                          0ns
7692;1632;2622;824;2487;26;356;453.000000;0.000000;0.000000;423.000000;423.000000;99.063232;0.000000;0.000000;-nan;        40s 357ms 632μs 981ns;            625ms 488μs 722ns
76de;718;1077;210;858;17;326;435.000000;0.000000;0.000000;425.000000;425.000000;99.765258;0.000000;0.000000;-nan;        20s 304ms 960μs 890ns;            303ms 706μs 548ns
7703;836;787;462;1091;18;334;459.000000;0.000000;0.000000;428.000000;428.000000;99.766900;0.000000;0.000000;-nan;        28s 885ms 348μs 100ns;            350ms 321μs 430ns
1878f2;428;33;1221;1356;10;416;417.000000;0.000000;0.000000;883.000000;883.000000;99.661400;0.000000;0.000000;-nan;        22s       965μs 151ns;             54ms 597μs 568ns
1878f6;1033;92;1791;2261;15;461;531.000000;0.000000;0.000000;986.000000;986.000000;101.024590;0.000000;0.000000;-nan;        34s 303ms 455μs 852ns;            317ms 712μs 916ns
18791e;1438;741;2534;2888;21;536;568.000000;0.000000;0.000000;1053.000000;1053.000000;107.558733;0.000000;0.000000;-nan;        34s 744ms 518μs 357ns;            754ms 919μs 252ns
18795b;342;113;1006;1275;10;415;416.000000;0.000000;0.000000;882.000000;882.000000;99.661017;0.000000;0.000000;-nan;        13s  26ms 212μs  84ns;             50ms 530μs  82ns
187964;575;28;1483;1766;11;413;415.000000;0.000000;0.000000;877.000000;877.000000;99.545970;0.000000;0.000000;-nan;        24s 529ms 801μs 144ns;            108ms 851μs 783ns
187974;562;56;1476;1762;11;414;416.000000;0.000000;0.000000;879.000000;879.000000;99.546999;0.000000;0.000000;-nan;        27s 795ms 767μs 959ns;             98ms 856μs 912ns
187998;395;87;1145;1323;10;414;415.000000;0.000000;0.000000;877.000000;877.000000;99.659091;0.000000;0.000000;-nan;        22s 485ms 198μs 884ns;             49ms 556μs 242ns
1879c0;307;811;811;997;10;415;416.000000;0.000000;0.000000;882.000000;882.000000;99.773756;0.000000;0.000000;-nan;        14s 656ms 180μs 809ns;             44ms 802μs  90ns
1879d1;554;52;1472;1766;11;412;414.000000;0.000000;0.000000;875.000000;875.000000;99.544937;0.000000;0.000000;-nan;        26s 641ms 713μs 735ns;             95ms 629μs 250ns
187a06;338;0;1135;999;10;414;417.000000;0.000000;0.000000;878.000000;878.000000;99.546485;0.000000;0.000000;-nan;        21s 869ms  89μs  26ns;             51ms 216μs 979ns
48b62f;2696;2079;852;4769;28;288;332.000000;0.000000;0.000000;422.000000;422.000000;99.061033;0.000000;0.000000;-nan;     1m     692ms 119μs 697ns;            617ms 406μs 787ns
48b633;2248;1029;572;3200;21;298;337.000000;0.000000;0.000000;436.000000;436.000000;100.000000;0.000000;0.000000;-nan;        57s 259ms 913μs 623ns;            407ms 254μs  59ns
48b640;3660;2362;284;5708;26;342;391.000000;0.000000;0.000000;429.000000;429.000000;99.076212;0.000000;0.000000;-nan;     1m  5s 708ms 975μs 125ns;            623ms  97μs 149ns
48b696;2951;1620;470;4733;22;327;387.000000;0.000000;0.000000;427.000000;427.000000;99.302326;0.000000;0.000000;-nan;     1m  3s 789ms 373μs 297ns;            461ms 861μs 276ns
48b6e9;1873;1172;436;3044;18;287;299.000000;0.000000;0.000000;433.000000;433.000000;101.168224;0.000000;0.000000;-nan;        50s 736ms 819μs 666ns;            291ms 607μs 166ns
48b756;604;1066;98;1195;12;329;333.000000;0.000000;0.000000;428.000000;428.000000;99.766900;0.000000;0.000000;-nan;        11s 737ms 830μs 517ns;            107ms  43μs 557ns
48b761;222;0;2066;1688;10;689;689.000000;689.000000;100.000000;440.000000;440.000000;100.000000;0.000000;0.000000;-nan;        10s 724ms 313μs 758ns;                          0ns
48b780;782;3421;721;4077;19;437;490.000000;0.000000;0.000000;437.000000;437.000000;100.000000;0.000000;0.000000;-nan;        24s 145ms 363μs 588ns;            402ms 511μs 473ns
19b233;1029;38;1930;2123;14;538;720.000000;0.000000;0.000000;1180.000000;1180.000000;100.682594;0.000000;0.000000;-nan;        53s 816ms 860μs 915ns;            260ms 923μs 326ns
19b236;853;0;1725;1774;12;545;549.000000;0.000000;0.000000;1190.000000;1190.000000;99.664992;0.000000;0.000000;-nan;        46s 784ms  66μs  54ns;            132ms  68μs 779ns
19b23f;943;117;1933;2481;12;548;550.000000;0.000000;0.000000;1199.000000;1199.000000;99.667498;0.000000;0.000000;-nan;        46s 272ms  99μs 760ns;            131ms 248μs 581ns
19b268;557;123;1275;1371;11;546;548.000000;0.000000;0.000000;1205.000000;1205.000000;99.669148;0.000000;0.000000;-nan;        26s 281ms 743μs  39ns;             61ms 813μs 357ns
19b29d;1430;2725;2372;4533;15;826;833.000000;0.000000;0.000000;1274.000000;1274.000000;99.921569;0.000000;0.000000;-nan;     1m  2s 877ms 677μs 987ns;            442ms 309μs 595ns
19b2c3;1036;1107;2354;2753;16;535;584.000000;0.000000;0.000000;1167.000000;1167.000000;100.085763;0.000000;0.000000;-nan;        55s 779ms 527μs 281ns;            343ms 959μs 343ns
