ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
44e9dd;39eb07;3962bb;0;0;0000000000000080;   267m 43s 313ms 157μs 665ns;2622;2601;            256ms 778μs 472ns;3149.000000;0.825977;0.000000;inf;1;1;Failing;;;0;787204
44e9e6;39eb07;3962bb;0;0;0000000000000080;   267m 43s 390ms 255μs 515ns;2622;2601;            265ms 325μs  90ns;3149.000000;0.825977;0.000000;inf;1;1;Failing;;;0;787208
44e9e9;39eb07;3962bb;0;0;0000000000000080;   267m 43s 425ms 101μs 871ns;2622;2601;            251ms 547μs 931ns;3149.000000;0.825977;0.000000;inf;1;1;Failing;;;0;787208
44e9d9;39eb07;3962bb;0;0;0000000000000080;   267m 43s 288ms 147μs 882ns;2622;2601;            239ms 415μs 552ns;3149.000000;0.825977;0.000000;inf;1;1;Failing;;;0;787212
4562d8;39eb07;3962bb;0;0;0000000000000080;   269m 35s 775ms 357μs 804ns;2620;2603;            246ms 654μs  46ns;3149.000000;0.826612;0.000000;inf;1;1;Failing;;;0;792284
4562e5;39eb07;3962bb;0;0;0000000000000080;   269m 35s 870ms 329μs 684ns;2620;2603;            262ms 212μs 883ns;3149.000000;0.826612;0.000000;inf;1;1;Failing;;;0;792287
4562da;39eb07;3962bb;0;0;0000000000000080;   269m 35s 795ms 794μs 229ns;2620;2603;            267ms 251μs 578ns;3149.000000;0.826612;0.000000;inf;1;1;Failing;;;0;792287
4562e7;39eb07;3962bb;0;0;0000000000000080;   269m 35s 872ms 507μs 920ns;2620;2603;            233ms 964μs 109ns;3149.000000;0.826612;0.000000;inf;1;1;Failing;;;0;792290
456297;39eb07;3962bb;0;0;0000000000000080;   269m 35s 236ms 685μs 303ns;2620;2605;            269ms 642μs 337ns;3149.000000;0.827247;0.000000;inf;1;1;Failing;;;0;792262
3b73f8;39eb09;3962bb;0;0;0000000000000080;   238m 33s 313ms 806μs 622ns;2630;2613;            240ms 949μs 572ns;3149.000000;0.829787;0.000000;inf;1;1;Failing;;;0;706113
