ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
10fcbc;1026c8;10f355;0;406;4000000000000038;    65m 35s 597ms 867μs 237ns;8795;948;            274ms  61μs 822ns;1996.000000;0.474950;0.000000;inf;0;1;Failing;;;0;152800
1112fa;1026c8;10f355;172501;172783;4000000000000038;    66m 12s 254ms 988μs 153ns;8815;940;            179ms 485μs 583ns;1995.000000;0.471178;0.000000;inf;0;1;Failing;;;0;153717
1122d0;1026c8;10f355;172498;172749;4000000000000038;    66m 38s 390ms 268μs 741ns;8787;939;            280ms  13μs 167ns;1994.000000;0.470913;0.000000;inf;0;1;Failing;;;0;154153
111b2e;1026c8;10f355;172500;172574;4000000000000038;    66m 26s 211ms 487μs 828ns;8790;938;            356ms  11μs 545ns;1990.000000;0.471357;0.000000;inf;0;1;Failing;;;0;153946
113325;1026c8;10f355;172495;172813;4000000000000038;    67m  4s 701ms 649μs 961ns;8735;941;            683ms 983μs 453ns;1990.000000;0.472864;0.000000;inf;0;1;Failing;;;0;154590
113cd8;1026c8;10f355;172493;172754;4000000000000038;    67m 20s 168ms 929μs 566ns;8775;936;            493ms 209μs 946ns;1986.000000;0.471299;0.000000;inf;0;1;Failing;;;0;154829
1103ea;1026c8;10f355;172502;172836;4000000000000038;    65m 47s 538ms 184μs 635ns;8799;937;            129ms 577μs 870ns;1985.000000;0.472040;0.000000;inf;0;1;Failing;;;0;153123
1106d7;1026c8;10f355;172501;172792;4000000000000038;    65m 52s 444ms 727μs 827ns;8812;934;            320ms  54μs 869ns;1978.000000;0.472194;0.000000;inf;0;1;Failing;;;0;153251
111fe4;1026c8;10f355;0;296;4000000000000038;    66m 33s 489ms 370μs 499ns;8771;939;            361ms 369μs 385ns;1976.000000;0.475202;0.000000;inf;0;1;Failing;;;0;154074
111d0f;1026c8;10f355;172499;172807;4000000000000038;    66m 29s 185ms 731μs 212ns;8753;931;            228ms  23μs  85ns;1972.000000;0.472110;0.000000;inf;0;1;Failing;;;0;154000
113ff4;1026c8;10f355;0;0;0000000000000030;    67m 25s 410ms 326μs 393ns;8698;952;            223ms 989μs 175ns;1972.000000;0.482759;0.000000;inf;0;1;Failing;;;0;154877
1130c3;1026c8;10f355;0;294;4000000000000038;    67m     972ms 665μs 411ns;8763;954;            211ms 987μs 903ns;1971.000000;0.484018;0.000000;inf;0;1;Failing;;;0;154524
1132f2;1026c8;10f355;0;0;0000000000000030;    67m  4s 334ms 586μs 512ns;8800;984;         1s  64ms   1μs 302ns;1970.000000;0.499492;0.000000;inf;0;1;Failing;;;0;154584
10f8d2;1026c8;10f355;0;0;0000000000000030;    65m 29s 220ms 453μs 308ns;8792;963;            192ms 613μs 103ns;1969.000000;0.489081;0.000000;inf;0;1;Failing;;;0;152612
11327f;1026c8;10f355;0;0;0000000000000030;    67m  3s 710ms 705μs 850ns;8812;969;            252ms  23μs 914ns;1969.000000;0.492128;0.000000;inf;0;1;Failing;;;0;154571
11464a;1026c8;10f355;0;0;0000000000000030;    67m 35s 591ms  37μs 957ns;8791;984;            143ms 970μs 967ns;1969.000000;0.499746;0.000000;inf;0;1;Failing;;;0;154979
1113b9;1026c8;10f355;0;0;0000000000000030;    66m 13s 920ms 996μs 701ns;8817;967;            164ms 832μs 708ns;1968.000000;0.491362;0.000000;inf;0;1;Failing;;;0;153737
10fc43;1026c8;10f355;0;0;0000000000000030;    65m 34s 872ms 785μs 310ns;8805;981;            240ms  41μs 632ns;1968.000000;0.498476;0.000000;inf;0;1;Failing;;;0;152779
110050;1026c8;10f355;0;0;0000000000000030;    65m 41s 534ms 884μs 962ns;8814;1008;            288ms 166μs  98ns;1966.000000;0.512716;0.000000;inf;0;1;Failing;;;0;152961
1123a1;1026c8;10f355;0;0;0000000000000030;    66m 39s 797ms 616μs 993ns;8771;981;            352ms  29μs 494ns;1965.000000;0.499237;0.000000;inf;0;1;Failing;;;0;154174
11439c;1026c8;10f355;0;0;0000000000000030;    67m 30s 982ms 348μs 404ns;8817;945;            216ms 957μs 954ns;1964.000000;0.481161;0.000000;inf;0;1;Failing;;;0;154937
1141ce;1026c8;10f355;0;0;0000000000000030;    67m 28s 239ms 663μs 379ns;8812;980;            184ms  81μs 288ns;1963.000000;0.499236;0.000000;inf;0;1;Failing;;;0;154909
112c9a;1026c8;10f355;0;0;0000000000000030;    66m 54s 614ms 950μs 907ns;8819;947;            249ms 780μs 616ns;1962.000000;0.482671;0.000000;inf;0;1;Failing;;;0;154421
1124d7;1026c8;10f355;172495;172593;4000000000000038;    66m 41s 872ms 653μs 565ns;8772;924;            251ms 953μs  44ns;1961.000000;0.471188;0.000000;inf;0;1;Failing;;;0;154208
10f465;1026c8;10f355;0;0;0000000000000030;    65m 21s 758ms 117μs 219ns;8816;977;            281ms 513μs 473ns;1961.000000;0.498215;0.000000;inf;0;1;Failing;;;0;152377
112a5e;1026c8;10f355;0;0;0000000000000030;    66m 50s 818ms 868μs 722ns;8820;980;            348ms  13μs 983ns;1961.000000;0.499745;0.000000;inf;0;1;Failing;;;0;154364
112343;1026c8;10f355;172495;172576;4000000000000038;    66m 38s 998ms 122μs 282ns;8820;925;            280ms   5μs 270ns;1959.000000;0.472180;0.000000;inf;0;1;Failing;;;0;154164
112850;1026c8;10f355;0;0;0000000000000030;    66m 47s 152ms 955μs 911ns;8820;948;            277ms 753μs 719ns;1959.000000;0.483920;0.000000;inf;0;1;Failing;;;0;154306
110462;1026c8;10f355;0;0;0000000000000030;    65m 48s 143ms 438μs 741ns;8791;947;            261ms 419μs 600ns;1958.000000;0.483657;0.000000;inf;0;1;Failing;;;0;153143
11168c;1026c8;10f355;0;0;0000000000000030;    66m 18s  94ms  31μs 608ns;8775;982;            361ms 343μs 685ns;1958.000000;0.501532;0.000000;inf;0;1;Failing;;;0;153818
113a33;1026c8;10f355;0;0;0000000000000030;    67m 15s 857ms  27μs 356ns;8818;942;            240ms  15μs 580ns;1957.000000;0.481349;0.000000;inf;0;1;Failing;;;0;154783
10fde8;1026c8;10f355;0;0;0000000000000030;    65m 37s 459ms  30μs 247ns;8803;953;            384ms  52μs 225ns;1957.000000;0.486970;0.000000;inf;0;1;Failing;;;0;152852
112185;1026c8;10f355;0;0;0000000000000030;    66m 36s 361ms 992μs 808ns;8818;977;            375ms 973μs   3ns;1956.000000;0.499489;0.000000;inf;0;1;Failing;;;0;154118
1146ce;1026c8;10f355;0;0;0000000000000030;    67m 35s 840ms 314μs 434ns;8781;945;            269ms 459μs 998ns;1955.000000;0.483376;0.000000;inf;0;1;Failing;;;0;154987
10fdcf;1026c8;10f355;0;0;0000000000000030;    65m 37s 445ms 186μs 928ns;8633;984;            322ms  19μs 369ns;1955.000000;0.503325;0.000000;inf;0;1;Failing;;;0;152848
11461d;1026c8;10f355;0;0;0000000000000030;    67m 34s 878ms 711μs 997ns;8767;942;            304ms 104μs 969ns;1954.000000;0.482088;0.000000;inf;0;1;Failing;;;0;154976
111220;1026c8;10f355;0;0;0000000000000030;    66m 10s 999ms  35μs 604ns;8812;947;            321ms 223μs 440ns;1954.000000;0.484647;0.000000;inf;0;1;Failing;;;0;153692
111234;1026c8;10f355;0;0;0000000000000030;    66m 11s  75ms 402μs 852ns;8817;952;            277ms 569μs 523ns;1954.000000;0.487206;0.000000;inf;0;1;Failing;;;0;153694
1106bc;1026c8;10f355;0;0;0000000000000030;    65m 52s  89ms  87μs 663ns;8812;973;            298ms 490μs 496ns;1953.000000;0.498208;0.000000;inf;0;1;Failing;;;0;153247
114333;1026c8;10f355;0;0;0000000000000030;    67m 30s 365ms 629μs 838ns;8763;953;            265ms 531μs 604ns;1952.000000;0.488217;0.000000;inf;0;1;Failing;;;0;154932
1143cd;1026c8;10f355;0;0;0000000000000030;    67m 31s 243ms 694μs 678ns;8770;964;            263ms 975μs 135ns;1952.000000;0.493852;0.000000;inf;0;1;Failing;;;0;154941
10f6aa;1026c8;10f355;0;0;0000000000000030;    65m 25s 591ms 423μs 784ns;8820;967;            297ms  87μs 840ns;1952.000000;0.495389;0.000000;inf;0;1;Failing;;;0;152497
110f60;1026c8;10f355;0;0;0000000000000030;    66m  6s 482ms 491μs 469ns;8800;974;            244ms  36μs 979ns;1952.000000;0.498975;0.000000;inf;0;1;Failing;;;0;153617
112898;1026c8;10f355;0;0;0000000000000030;    66m 47s 494ms 816μs 129ns;8809;953;            241ms 387μs 299ns;1950.000000;0.488718;0.000000;inf;0;1;Failing;;;0;154315
114083;1026c8;10f355;0;0;0000000000000030;    67m 26s 459ms 769μs 113ns;8813;949;         2s 716ms  74μs 582ns;1949.000000;0.486916;0.000000;inf;0;1;Failing;;;0;154889
10f396;1026c8;10f355;0;0;0000000000000030;    65m 20s 369ms 873μs 912ns;8820;956;            368ms  48μs 450ns;1949.000000;0.490508;0.000000;inf;0;1;Failing;;;0;152334
10fab4;1026c8;10f355;0;0;0000000000000030;    65m 32s 236ms 739μs 849ns;8820;943;            312ms  92μs 996ns;1948.000000;0.484086;0.000000;inf;0;1;Failing;;;0;152708
1128e2;1026c8;10f355;0;0;0000000000000030;    66m 48s  81ms 460μs 923ns;8795;940;            223ms 995μs  72ns;1947.000000;0.482794;0.000000;inf;0;1;Failing;;;0;154323
112821;1026c8;10f355;0;0;0000000000000030;    66m 46s 814ms 249μs 799ns;8792;970;            285ms 115μs 452ns;1944.000000;0.498971;0.000000;inf;0;1;Failing;;;0;154301
