ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
304865;2f492e;2f47e0;0;0;0000000000000080;   203m 11s  87ms 221μs 858ns;0;-1;             71ms  58μs 379ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653105
30486b;2f492e;2f47e0;0;0;0000000000000080;   203m 11s  96ms 333μs 527ns;0;-1;             68ms 321μs 298ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653105
304875;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 101ms 562μs 113ns;0;-1;             75ms  96μs  48ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653107
30487c;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 102ms 496μs 764ns;0;-1;             75ms 489μs 678ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653110
304874;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 101ms 470μs 685ns;0;-1;             69ms 101μs  23ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653111
304887;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 127ms 638μs 567ns;0;-1;             71ms 120μs 998ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653114
304883;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 128ms 643μs 314ns;0;-1;             69ms 578μs 771ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653115
187cb9;17d37a;17c874;0;0;4000000000000080;    85m 55s 111ms 540μs  60ns;0;-1;             67ms 577μs 584ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;306450
18bdfa;1829f3;17c874;0;0;0000000000000080;    86m 14s 761ms 281μs 780ns;0;-1;             58ms 460μs 580ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;309329
18bdf1;1829f3;17c874;0;0;0000000000000080;    86m 14s 750ms 420μs 441ns;0;-1;             71ms 147μs 183ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;309329
18be09;1829f3;17c874;0;0;0000000000000080;    86m 14s 783ms 422μs 923ns;0;-1;             73ms 777μs 557ns;1217.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;309336
304864;2f492e;2f47e0;0;0;0000000000000080;   203m 11s  87ms 379μs 212ns;0;-1;             75ms 930μs 851ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653106
304889;2f492e;2f47e0;0;0;0000000000000080;   203m 11s 127ms 423μs  22ns;0;-1;             73ms 482μs 356ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;653113
1aedb6;1a3b69;19ca79;0;0;4000000000000080;    94m 57s 686ms 671μs 216ns;0;-1;             63ms 836μs 195ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;340892
1aedbc;1a3b69;19ca79;0;0;0000000000000080;    94m 57s 704ms 534μs 721ns;0;-1;             80ms 768μs 825ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;340895
193542;17d37a;17c874;956;601;4000000000000080;    86m 56s 115ms 468μs 483ns;0;-1;             62ms 199μs 585ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;315218
193555;17d37a;17c874;0;0;0000000000000080;    86m 56s 154ms 539μs 366ns;0;-1;             75ms 773μs 164ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;315227
19355a;17d37a;17c874;0;0;0000000000000080;    86m 56s 168ms 126μs 778ns;0;-1;             75ms 362μs 963ns;1216.000000;0.000000;0.000000;-nan;0;1;Failing;;;0;315230
