ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;9942;15822;10;     4m 44s 702ms 300μs 293ns;5443.098592;             90ms 701μs 454ns;        36s 803ms 242μs 560ns;0.000000;0.000000
18;608be4;9953;20013;10;    66m 39s 675ms 982μs  26ns;449.602401;         1s 121ms 225μs 900ns;     2m 12s 979ms 438μs 531ns;2209.000000;0.000000
2;1dea4;9988;17513;10;     6m 32s 120ms  72μs 361ns;4209.336735;            105ms 533μs 547ns;     1m 48s 523ms 396μs 406ns;554.000000;0.000000
3;446a0;9989;60339;10;    43m 52s 368ms 506μs 509ns;1603.221884;            371ms  20μs  13ns;     8m 50s 611ms 572μs 634ns;1450.000000;0.000000
11;368c91;9981;32250;10;    16m 44s 327ms 819μs 966ns;2523.764940;            226ms   1μs 761ns;     6m 23s 382ms 304μs 582ns;2208.000000;0.000000
16;4e8da0;9974;14313;10;    70m 52s 178ms  92μs 106ns;342.714017;         1s 501ms 803μs 854ns;     1m  8s 537ms 994μs  35ns;2209.000000;0.000000
7;2122cb;10000;93530;10;    45m 37s 631ms 343μs 804ns;2269.565217;            260ms 607μs 504ns;    17m  8s 382ms 486μs 962ns;2022.000000;0.000000
4;9db77;10000;59466;10;    39m 14s 374ms  59μs 367ns;1770.586236;            334ms 925μs 829ns;     9m 31s 369ms 796μs 362ns;1482.000000;0.000000
12;39eef6;10000;37656;10;    17m 48s 353ms 418μs 694ns;2677.303371;            217ms 249μs 674ns;     8m 11s 968ms 677μs 651ns;2209.000000;0.000000
6;16d8ab;10000;100473;10;    54m 29s 604ms 518μs 216ns;2027.647599;            293ms 501μs 167ns;    31m 36s 934ms  49μs  24ns;1708.000000;0.000000
15;45db15;9962;11052;10;    82m 31s 165ms 602μs 237ns;254.663704;         1s 998ms 318μs 501ns;     2m 56s 689ms 375μs 200ns;2209.000000;0.000000
9;2d4d18;9977;54846;10;    23m 13s 820ms 603μs 495ns;2792.089017;            197ms   2μs 674ns;    10m 15s 878ms 181μs 282ns;2235.000000;0.000000
14;41c2e8;10000;38119;10;    20m 27s 596ms 617μs 155ns;2353.007335;            244ms 585μs 886ns;     9m 46s 743ms 366μs 881ns;2209.000000;0.000000
8;292f64;9964;41565;10;    20m 16s 120ms  10μs 648ns;2542.549342;            208ms 170μs 482ns;     9m      64ms 133μs 918ns;2231.000000;0.000000
5;fecd6;9961;43440;10;    31m 28s 533ms 327μs 106ns;1697.065678;            299ms 888μs 168ns;     6m 15s 663ms 593μs 551ns;1484.000000;0.000000
17;574d5e;9948;22296;10;    63m 36s 699ms 706μs 736ns;506.981132;         1s       951μs 734ns;     1m 37s 369ms 127μs 511ns;2209.000000;0.000000
13;3db73a;10000;39336;10;    18m 53s 551ms 358μs 548ns;2612.674316;            220ms  10μs 911ns;     7m 45s 474ms 275μs  47ns;2209.000000;0.000000
10;327877;9999;43071;10;    20m 11s 177ms 498μs 719ns;2629.397192;            219ms 119μs 997ns;     9m 52s  83ms 313μs 729ns;2237.000000;0.000000
