ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
fa378;0;64;0;0;0000000000000010;   363m 56s 763ms 120μs 992ns;0;4021;         4s 484ms 582μs 486ns;1715.000000;2.344606;150.000000;26.806667;0;1;Failing;0;341595
12dd77;0;64;0;0;0000000000000010;   439m 34s  79ms 645μs 971ns;0;3371;         3s 366ms 503μs 481ns;1524.000000;2.211942;220.000000;15.322727;0;1;Failing;0;412080
ede8;0;64;0;0;0000000000000010;    20m 54s 958ms 917μs 561ns;0;6198;         6s 978ms  58μs 324ns;1321.000000;4.691900;260.000000;23.838462;0;1;Failing;0;20267
206a9;0;64;0;0;0000000000000010;    46m 27s 572ms 659μs 590ns;0;6203;         6s 462ms 580μs 521ns;1321.000000;4.695685;200.000000;31.015000;0;1;Failing;0;44225
13780e;0;64;0;0;0000000000000010;   453m 40s 516ms 163μs 421ns;0;6201;         7s 178ms 802μs 349ns;1321.000000;4.694171;90.000000;68.900000;0;1;Failing;0;425272
7a14a;0;64;0;0;0000000000000010;   177m 14s 509ms 183μs   5ns;0;6208;         7s  13ms 230μs   7ns;1321.000000;4.699470;40.000000;155.200000;0;1;Failing;0;166647
c46b3;0;64;0;0;0000000000000010;   285m 39s 540ms 148μs 835ns;0;6197;         7s 109ms 711μs 137ns;1320.000000;4.694697;390.000000;15.889744;0;1;Failing;0;268143
160e49;0;64;0;0;0000000000000010;   514m  8s 216ms 739μs 900ns;0;6202;         7s 322ms 374μs 254ns;1320.000000;4.698485;310.000000;20.006452;0;1;Failing;0;481783
138816;0;64;0;0;0000000000000010;   455m  9s 193ms 684μs 413ns;0;6199;         6s 693ms 179μs 449ns;1320.000000;4.696212;180.000000;34.438889;0;1;Failing;0;426641
1b29f7;0;64;0;0;0000000000000010;   633m 36s 557ms 250μs  52ns;0;6203;         6s 692ms 974μs 587ns;1320.000000;4.699242;140.000000;44.307143;0;1;Failing;0;593371
1d2dcd;0;64;0;0;0000000000000010;   680m 46s 270ms  35μs 812ns;0;6205;         6s 883ms 665μs 126ns;1319.000000;4.704321;210.000000;29.547619;0;1;Failing;0;637389
e3d57;0;64;0;0;0000000000000010;   331m 34s 167ms 131μs 646ns;0;6201;         7s 205ms  55μs 227ns;1319.000000;4.701289;160.000000;38.756250;0;1;Failing;0;311035
193611;0;64;0;0;0000000000000010;   587m 59s 955ms 266μs 966ns;0;6200;         8s 211ms 972μs 173ns;1318.000000;4.704097;340.000000;18.235294;0;1;Failing;0;550713
16749;0;64;0;0;0000000000000010;    32m  6s 813ms 255μs 725ns;0;6204;         7s  42ms 836μs 407ns;1318.000000;4.707132;270.000000;22.977778;0;1;Failing;0;30625
ce940;0;64;0;0;0000000000000010;   300m 22s 598ms 880μs 188ns;0;6205;         7s 277ms 937μs 561ns;1317.000000;4.711465;280.000000;22.160714;0;1;Failing;0;282014
dbe7e;0;64;0;0;0000000000000010;   319m 54s 290ms 963μs 254ns;0;6205;         7s  19ms 711μs 193ns;1317.000000;4.711465;270.000000;22.981481;0;1;Failing;0;300211
16c74d;0;64;0;0;0000000000000010;   531m  6s 672ms 413μs 644ns;0;6205;         6s 897ms 498μs 505ns;1317.000000;4.711465;250.000000;24.820000;0;1;Failing;0;497570
1ae829;0;64;0;0;0000000000000010;   627m 40s 221ms 730μs 353ns;0;6197;         7s  54ms 167μs 981ns;1317.000000;4.705391;150.000000;41.313333;0;1;Failing;0;587756
e0f8a;0;64;0;0;0000000000000010;   327m 14s 812ms 507μs 200ns;0;6205;         6s 930ms 759μs 635ns;1317.000000;4.711465;120.000000;51.708333;0;1;Failing;0;307128
b2ebb;0;64;0;0;0000000000000010;   259m 53s 136ms  24μs 602ns;0;6204;         7s   1ms  61μs 263ns;1316.000000;4.714286;250.000000;24.816000;0;1;Failing;0;244253
1060c;0;64;0;0;0000000000000010;    23m  5s 453ms 117μs 854ns;0;6201;         7s 258ms 882μs 119ns;1316.000000;4.712006;210.000000;29.528571;0;1;Failing;0;22327
7ea5d;0;64;0;0;0000000000000010;   183m 51s 402ms 431μs 641ns;0;6201;         7s 517ms  63μs 348ns;1316.000000;4.712006;140.000000;44.292857;0;1;Failing;0;172883
bc855;0;64;0;0;0000000000000010;   274m  2s 625ms 238μs 337ns;0;6198;         7s 579ms 295μs 193ns;1315.000000;4.713308;290.000000;21.372414;0;1;Failing;0;257360
198c81;0;64;0;0;0000000000000010;   596m  1s 927ms 410μs 970ns;0;6205;         6s 360ms 903μs 205ns;1315.000000;4.718631;180.000000;34.472222;0;1;Failing;0;558089
bd4d8;0;64;0;0;0000000000000010;   275m 11s 184ms 622μs 182ns;0;6205;         7s  52ms 680μs 142ns;1314.000000;4.722222;330.000000;18.803030;0;1;Failing;0;258427
2028;0;64;0;0;0000000000000010;     2m 29s 287ms 705μs 390ns;0;6203;         7s 797ms 489μs 116ns;1312.000000;4.727896;300.000000;20.676667;0;1;Failing;0;2710
16578a;0;64;0;0;0000000000000010;   520m 55s 569ms 436μs 709ns;0;6201;         7s 229ms 931μs 991ns;1312.000000;4.726372;290.000000;21.382759;0;1;Failing;0;488034
1aa369;0;64;0;0;0000000000000010;   621m 35s 410ms 535μs 500ns;0;6204;         7s  34ms 504μs 935ns;1312.000000;4.728659;270.000000;22.977778;0;1;Failing;0;581890
13ccf5;0;64;0;0;0000000000000010;   461m 24s 927ms  73μs 432ns;0;6199;         6s 563ms 247μs 173ns;1312.000000;4.724848;210.000000;29.519048;0;1;Failing;0;432517
ece66;0;64;0;0;0000000000000010;   344m 42s 605ms 733μs 334ns;0;6198;         7s 116ms 426μs 426ns;1311.000000;4.727689;360.000000;17.216667;0;1;Failing;0;323414
ca864;0;64;0;0;0000000000000010;   294m 27s 394ms 318μs 930ns;0;6205;         7s 640ms 746μs  25ns;1311.000000;4.733028;250.000000;24.820000;0;1;Failing;0;276479
183f74;0;64;0;0;0000000000000010;   565m 19s 733ms 846μs 398ns;0;6205;         6s 864ms 316μs 819ns;1311.000000;4.733028;230.000000;26.978261;0;1;Failing;0;529669
351d0;0;64;0;0;0000000000000010;    76m 41s   3ms 126μs 787ns;0;6206;         6s 688ms 297μs 561ns;1311.000000;4.733791;180.000000;34.477778;0;1;Failing;0;72484
1276fa;0;64;0;0;0000000000000010;   430m 18s 549ms 713μs 524ns;0;6205;         7s 912ms 859μs 604ns;1310.000000;4.736641;440.000000;14.102273;0;1;Failing;0;403335
97bea;0;64;0;0;0000000000000010;   220m 18s  74ms 937μs 727ns;0;6203;         7s 719ms 230μs 615ns;1310.000000;4.735115;350.000000;17.722857;0;1;Failing;0;207148
1da66d;0;64;0;0;0000000000000010;   691m 50s 856ms 635μs 869ns;0;6199;         6s 930ms 455μs 604ns;1310.000000;4.732061;240.000000;25.829167;0;1;Failing;0;647683
c736;0;64;0;0;0000000000000010;    17m 26s 529ms 891μs 225ns;0;6205;         7s  81ms 786μs 306ns;1310.000000;4.736641;110.000000;56.409091;0;1;Failing;0;16965
8dbd7;0;64;0;0;0000000000000010;   205m 44s 991ms 825μs 745ns;0;6204;         7s 366ms 889μs 485ns;1309.000000;4.739496;310.000000;20.012903;0;1;Failing;0;193488
16c814;0;64;0;0;0000000000000010;   531m 11s 114ms 491μs  92ns;0;6198;         7s 264ms 167μs 202ns;1309.000000;4.734912;280.000000;22.135714;0;1;Failing;0;497637
924a2;0;64;0;0;0000000000000010;   212m 23s  35ms 972μs 324ns;0;6205;         7s 969ms 538μs 624ns;1309.000000;4.740260;210.000000;29.547619;0;1;Failing;0;199700
7e4c8;0;64;0;0;0000000000000010;   183m 22s 415ms 147μs 831ns;0;6200;         6s 849ms 460μs 389ns;1309.000000;4.736440;100.000000;62.000000;0;1;Failing;0;172406
10b0b4;0;64;0;0;0000000000000010;   388m 28s 912ms 308μs 462ns;0;6199;         7s 164ms 139μs 976ns;1308.000000;4.739297;260.000000;23.842308;0;1;Failing;0;364570
24622;0;64;0;0;0000000000000010;    52m 14s 593ms 118μs 567ns;0;6205;         7s 259ms 774μs 378ns;1308.000000;4.743884;190.000000;32.657895;0;1;Failing;0;49642
3cc27;0;64;0;0;0000000000000010;    87m 42s 653ms  46μs 669ns;0;6205;         7s 185ms 970μs 790ns;1307.000000;4.747513;290.000000;21.396552;0;1;Failing;0;82923
192581;0;64;0;0;0000000000000010;   586m 29s 140ms 187μs 144ns;0;6205;         7s 493ms  57μs 374ns;1307.000000;4.747513;270.000000;22.981481;0;1;Failing;0;549300
bcbae;0;64;0;0;0000000000000010;   274m 20s 942ms 524μs  89ns;0;6203;         7s 162ms 150μs 701ns;1306.000000;4.749617;230.000000;26.969565;0;1;Failing;0;257645
128400;0;64;0;0;0000000000000010;   431m 30s  18ms 808μs 176ns;0;6202;         7s  36ms 878μs  58ns;1305.000000;4.752490;320.000000;19.381250;0;1;Failing;0;404446
11bcd4;0;64;0;0;0000000000000010;   413m 13s 428ms 362μs 137ns;0;6207;         6s 813ms 727μs  25ns;1305.000000;4.756322;240.000000;25.862500;0;1;Failing;0;387450
198504;0;64;0;0;0000000000000010;   595m 21s 968ms 602μs  66ns;0;6199;         6s 945ms 914μs 444ns;1304.000000;4.753834;490.000000;12.651020;0;1;Failing;0;557450
1cfa70;0;64;0;0;0000000000000010;   676m  8s  35ms 987μs  23ns;0;6208;         6s 725ms  86μs 915ns;1304.000000;4.760736;280.000000;22.171429;0;1;Failing;0;633006
2f77e;0;64;0;0;0000000000000010;    68m 31s 981ms 221μs 550ns;0;6198;         7s 331ms  96μs 243ns;1303.000000;4.756715;350.000000;17.708571;0;1;Failing;0;64776
a3c5e;0;64;0;0;0000000000000010;   237m 49s 940ms 224μs 843ns;0;6201;         7s 399ms 141μs 214ns;1303.000000;4.759018;310.000000;20.003226;0;1;Failing;0;223571
15601;0;64;0;0;0000000000000010;    30m 31s 511ms 666μs 672ns;0;6202;         7s 353ms 840μs 285ns;1303.000000;4.759785;310.000000;20.006452;0;1;Failing;0;29150
121ee4;0;64;0;0;0000000000000010;   422m 11s 422ms 857μs 283ns;0;6198;         6s 669ms 589μs 932ns;1303.000000;4.756715;270.000000;22.955556;0;1;Failing;0;395818
7a4db;0;64;0;0;0000000000000010;   177m 34s 790ms 808μs  68ns;0;6201;         7s 103ms 720μs 858ns;1303.000000;4.759018;250.000000;24.804000;0;1;Failing;0;166951
25f95;0;64;0;0;0000000000000010;    54m 37s 386ms 280μs 120ns;0;6204;         6s 755ms 742μs 292ns;1303.000000;4.761320;130.000000;47.723077;0;1;Failing;0;51813
1119f;0;64;0;0;0000000000000010;    24m 13s 193ms 205μs  99ns;0;6207;         6s 688ms 316μs 685ns;1302.000000;4.767281;260.000000;23.873077;0;1;Failing;0;23315
108f8d;0;64;0;0;0000000000000010;   385m 33s 263ms 763μs 981ns;0;6201;         6s 889ms 705μs 240ns;1302.000000;4.762673;230.000000;26.960870;0;1;Failing;0;361741
1684d0;0;64;0;0;0000000000000010;   525m  3s  71ms 725μs 243ns;0;6205;         6s 820ms 279μs 353ns;1302.000000;4.765745;190.000000;32.657895;0;1;Failing;0;491897
18a7d0;0;64;0;0;0000000000000010;   574m 59s 310ms 467μs 362ns;0;6205;         6s 643ms 134μs 151ns;1301.000000;4.769408;260.000000;23.865385;0;1;Failing;0;538574
1816a7;0;64;0;0;0000000000000010;   561m 29s 935ms 190μs 904ns;0;6202;         7s 442ms 597μs 957ns;1300.000000;4.770769;320.000000;19.381250;0;1;Failing;0;526187
193151;0;64;0;0;0000000000000010;   587m 34s 641ms 660μs 772ns;0;6201;         6s 581ms 703μs 547ns;1300.000000;4.770000;140.000000;44.292857;0;1;Failing;0;550308
ffb70;0;64;0;0;0000000000000010;   371m 56s 847ms  47μs 908ns;0;6205;         7s 341ms 975μs 345ns;1299.000000;4.776751;370.000000;16.770270;0;1;Failing;0;349102
122865;0;64;0;0;0000000000000010;   423m  6s 216ms 417μs 838ns;0;6202;         6s 832ms 279μs 703ns;1299.000000;4.774442;350.000000;17.720000;0;1;Failing;0;396629
dee89;0;64;0;0;0000000000000010;   324m 18s  82ms 253μs 349ns;0;6205;         7s 337ms 571μs 412ns;1299.000000;4.776751;260.000000;23.865385;0;1;Failing;0;304311
131670;0;64;0;0;0000000000000010;   444m 46s 238ms 488μs 932ns;0;6201;         6s 802ms 458μs  77ns;1299.000000;4.773672;250.000000;24.804000;0;1;Failing;0;416942
1d7a90;0;64;0;0;0000000000000010;   687m 49s 210ms 830μs 835ns;0;6204;         6s 693ms 410μs 707ns;1298.000000;4.779661;300.000000;20.680000;0;1;Failing;0;643940
30156;0;64;0;0;0000000000000010;    69m 24s 519ms 334μs 255ns;0;6205;         7s 873ms 572μs 550ns;1298.000000;4.780431;290.000000;21.396552;0;1;Failing;0;65616
183d50;0;64;0;0;0000000000000010;   565m  8s 748ms 584μs 253ns;0;6198;         6s 203ms 966μs 610ns;1297.000000;4.778720;350.000000;17.708571;0;1;Failing;0;529486
11f32;0;64;0;0;0000000000000010;    25m 29s 724ms 951μs  10ns;0;6206;         7s 215ms 241μs 829ns;1297.000000;4.784888;340.000000;18.252941;0;1;Failing;0;24473
15d717;0;64;0;0;0000000000000010;   509m     632ms 302μs 526ns;0;6208;         6s 896ms 254μs  84ns;1297.000000;4.786430;300.000000;20.693333;0;1;Failing;0;477073
b6ebe;0;64;0;0;0000000000000010;   265m 45s 658ms 674μs 367ns;0;6207;         7s 323ms 100μs  95ns;1297.000000;4.785659;220.000000;28.213636;0;1;Failing;0;249715
da403;0;64;0;0;0000000000000010;   317m 26s 837ms 927μs 589ns;0;6206;         7s 511ms 155μs  87ns;1296.000000;4.788580;90.000000;68.955556;0;1;Failing;0;297951
5eebd;0;64;0;0;0000000000000010;   137m 44s 795ms 164μs 802ns;0;6200;         6s 821ms 712μs 738ns;1295.000000;4.787645;340.000000;18.235294;0;1;Failing;0;129565
1b7197;0;64;0;0;0000000000000010;   640m 11s 902ms 673μs 667ns;0;6207;         7s  92ms 858μs 919ns;1295.000000;4.793050;280.000000;22.167857;0;1;Failing;0;599483
2d2ac;0;64;0;0;0000000000000010;    65m  4s 155ms 692μs 726ns;0;6205;         6s 691ms 735μs 734ns;1294.000000;4.795209;300.000000;20.683333;0;1;Failing;0;61634
4d020;0;64;0;0;0000000000000010;   111m 35s 223ms 782μs 320ns;0;6202;         6s 176ms 773μs 380ns;1294.000000;4.792890;280.000000;22.150000;0;1;Failing;0;105107
