ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
267c;0;64;0;0;0000000000000010;     2m  2s 223ms 254μs 808ns;0;-1;        30s  86ms 215μs 888ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3250
284a;0;64;0;0;0000000000000010;     2m  8s 605ms 980μs 349ns;0;-1;        30s 518ms 665μs 612ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3404
28f2;0;64;0;0;0000000000000010;     2m 11s 162ms 424μs 532ns;0;-1;        30s 313ms 910μs 183ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3460
2b59;0;64;0;0;0000000000000010;     2m 19s 310ms 932μs 693ns;0;-1;        30s 253ms 628μs 184ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3665
2de4;0;64;0;0;0000000000000010;     2m 28s 464ms 783μs 566ns;0;-1;        30s 411ms 949μs 236ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3882
2e51;0;64;0;0;0000000000000010;     2m 30s 739ms 306μs 738ns;0;-1;        30s 190ms 477μs 365ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3918
2eb5;0;64;0;0;0000000000000010;     2m 31s 961ms 513μs 476ns;0;-1;        30s  79ms 946μs 308ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;3952
3314;0;64;0;0;0000000000000010;     2m 48s 965ms 672μs 597ns;0;-1;        30s 268ms 926μs 164ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;4325
3468;0;64;0;0;0000000000000010;     2m 54s 243ms 574μs 397ns;0;-1;        30s 126ms 261μs 936ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;4438
3788;0;64;0;0;0000000000000010;     3m  6s 754ms 836μs 287ns;0;-1;        30s  40ms  47μs 168ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;4705
3813;0;64;0;0;0000000000000010;     3m  8s 370ms 190μs 294ns;0;-1;        30s  44ms 290μs 932ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;4751
3951;0;64;0;0;0000000000000010;     3m 13s 501ms 929μs 723ns;0;-1;        30s 487ms 982μs 139ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;4857
3b27;0;64;0;0;0000000000000010;     3m 20s 124ms 790μs 218ns;0;-1;        30s  77ms 107μs  93ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;5014
3ebe;0;64;0;0;0000000000000010;     3m 33s 669ms 589μs 147ns;0;-1;        30s 169ms 810μs 838ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;5320
41d2;0;64;0;0;0000000000000010;     3m 45s 106ms 295μs 972ns;0;-1;        30s 224ms 458μs 219ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;5583
4604;0;64;0;0;0000000000000010;     4m     860ms 250μs 936ns;0;-1;        30s 174ms 787μs 729ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;5941
49e3;0;64;0;0;0000000000000010;     4m 15s 508ms 973μs 663ns;0;-1;        30s 239ms 907μs 356ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6271
4a56;0;64;0;0;0000000000000010;     4m 16s 868ms 998μs 968ns;0;-1;        30s  45ms 102μs 788ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6309
4ccd;0;64;0;0;0000000000000010;     4m 25s 899ms 327μs 997ns;0;-1;        30s  59ms 180μs 247ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6520
4cfb;0;64;0;0;0000000000000010;     4m 26s 506ms 363μs 292ns;0;-1;        30s 555ms 679μs  65ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6535
4e27;0;64;0;0;0000000000000010;     4m 30s 764ms 811μs 102ns;0;-1;        30s 203ms 552μs 888ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6636
4efa;0;64;0;0;0000000000000010;     4m 33s 684ms 625μs 243ns;0;-1;        30s  87ms 505μs 749ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6705
517d;0;64;0;0;0000000000000010;     4m 43s 594ms 997μs 967ns;0;-1;        30s  20ms 534μs 919ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;6920
54aa;0;64;0;0;0000000000000010;     4m 55s 742ms 314μs 229ns;0;-1;        30s 181ms 276μs 265ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7191
555c;0;64;0;0;0000000000000010;     4m 58s 492ms 669μs 168ns;0;-1;        30s  47ms 350μs  31ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7250
5694;0;64;0;0;0000000000000010;     5m  3s 135ms 355μs 981ns;0;-1;        30s  49ms 658μs 743ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7354
56c2;0;64;0;0;0000000000000010;     5m  3s 957ms 768μs 270ns;0;-1;        30s 109ms 830μs 418ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7369
5904;0;64;0;0;0000000000000010;     5m 12s 908ms 727μs 677ns;0;-1;        30s 333ms 339μs 279ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7562
59b8;0;64;0;0;0000000000000010;     5m 15s 330ms 655μs  17ns;0;-1;        30s 143ms 239μs 336ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;7622
5f1f;0;64;0;0;0000000000000010;     5m 36s 799ms 372μs 874ns;0;-1;        30s 117ms  30μs 828ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8083
60b6;0;64;0;0;0000000000000010;     5m 42s 424ms 291μs 629ns;0;-1;        30s 116ms 615μs 896ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8219
617f;0;64;0;0;0000000000000010;     5m 45s 542ms 851μs 768ns;0;-1;        30s 341ms 782μs 443ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8286
61ac;0;64;0;0;0000000000000010;     5m 46s 106ms 962μs 829ns;0;-1;        30s  26ms 247μs  57ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8301
62de;0;64;0;0;0000000000000010;     5m 50s 364ms 894μs 583ns;0;-1;        30s 409ms 974μs 173ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8403
6469;0;64;0;0;0000000000000010;     5m 56s 312ms 219μs 942ns;0;-1;        30s 117ms 216μs 206ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8534
6845;0;64;0;0;0000000000000010;     6m 11s 175ms 570μs 100ns;0;-1;        30s 226ms 723μs  33ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;8864
6a22;0;64;0;0;0000000000000010;     6m 18s 469ms  70μs 388ns;0;-1;        30s 300ms 863μs  94ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;9023
6b20;0;64;0;0;0000000000000010;     6m 22s 367ms 375μs 416ns;0;-1;        30s   6ms 659μs 516ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;9107
725b;0;64;0;0;0000000000000010;     6m 49s 632ms 805μs 589ns;0;-1;        30s 388ms 512μs  68ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;9725
7688;0;64;0;0;0000000000000010;     7m  5s 251ms 441μs 785ns;0;-1;        30s 496ms 662μs 435ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;10081
7ea8;0;64;0;0;0000000000000010;     7m 34s 746ms 577μs 503ns;0;-1;        30s 232ms 452μs 332ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;10774
7f0d;0;64;0;0;0000000000000010;     7m 36s 278ms 753μs 208ns;0;-1;        30s 162ms 672μs 603ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;10808
82e0;0;64;0;0;0000000000000010;     7m 49s 970ms 763μs 861ns;0;-1;        30s 220ms 797μs 906ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;11134
82ec;0;64;0;0;0000000000000010;     7m 50s 115ms 971μs 487ns;0;-1;        30s 218ms 617μs 471ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;11138
8d63;0;64;0;0;0000000000000010;     8m 28s 865ms 680μs 918ns;0;-1;        30s  59ms 664μs 647ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;12031
8e05;0;64;0;0;0000000000000010;     8m 31s 125ms 645μs 117ns;0;-1;        30s 116ms 666μs 505ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;12085
8ff9;0;64;0;0;0000000000000010;     8m 38s  44ms 906μs 973ns;0;-1;        30s 500ms 827μs 943ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;12252
8fed;0;64;0;0;0000000000000010;     8m 37s 882ms 845μs 263ns;0;-1;        30s 503ms 214μs 643ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;12249
9b4c;0;64;0;0;0000000000000010;     9m 20s 203ms 462μs 690ns;0;-1;        30s 173ms 999μs 945ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;13218
9b39;0;64;0;0;0000000000000010;     9m 19s 883ms 504μs 244ns;0;-1;        30s 178ms 133μs 784ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;13212
9e28;0;64;0;0;0000000000000010;     9m 30s 549ms 569μs 286ns;0;-1;        30s 310ms 836μs 999ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;13462
a709;0;64;0;0;0000000000000010;    10m  3s 790ms 148μs 677ns;0;-1;        30s  99ms 283μs 223ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;14220
ab8a;0;64;0;0;0000000000000010;    10m 19s 839ms 477μs 455ns;0;-1;        30s 394ms 580μs 534ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;14604
afc4;0;64;0;0;0000000000000010;    10m 35s 331ms 352μs 750ns;0;-1;        30s 182ms  64μs 325ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;14965
b537;0;64;0;0;0000000000000010;    10m 55s 774ms 291μs 545ns;0;-1;        30s  25ms 292μs 535ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;15430
b94f;0;64;0;0;0000000000000010;    11m 10s 130ms 192μs 230ns;0;-1;        30s 109ms 207μs 336ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;15780
b9f6;0;64;0;0;0000000000000010;    11m 12s 364ms 715μs 548ns;0;-1;        30s  98ms  54μs 830ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;15835
ba8c;0;64;0;0;0000000000000010;    11m 14s 743ms  29μs  30ns;0;-1;        30s 142ms 818μs 193ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;15885
bf06;0;64;0;0;0000000000000010;    11m 31s 191ms 390μs 984ns;0;-1;        30s  50ms 546μs 996ns;0.000000;-nan;0.000000;-nan;-1;8;Failing;0;16267
