ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
9c973;0;64;0;0;0000000000000010;   409m 22s  87ms 444μs 548ns;0;6202;         7s 453ms 507μs 477ns;460.000000;13.482609;910.000000;6.815385;0;1;Failing;0;213764
5913a;0;64;0;0;0000000000000010;   229m 32s 437ms 987μs 561ns;0;674;         1s 517ms  15μs 675ns;360.000000;1.872222;900.000000;0.748889;0;1;Failing;0;121585
f3a03;0;64;0;0;0000000000000010;   652m 13s 745ms 498μs 437ns;0;6207;         7s 360ms 853μs 200ns;462.000000;13.435065;890.000000;6.974157;0;1;Failing;0;332596
c09ca;0;64;0;0;0000000000000010;   518m  1s 732ms 343μs   2ns;0;610;         1s 633ms  27μs 153ns;292.000000;2.089041;890.000000;0.685393;0;1;Failing;0;262945
8698;0;64;0;0;0000000000000010;    20m 34s 274ms 397μs 160ns;0;6197;         7s 398ms 157μs 473ns;464.000000;13.355603;500.000000;12.394000;0;1;Failing;0;11451
eda;0;64;0;0;0000000000000010;     1m 36s  92ms 485μs 354ns;0;6201;         8s 477ms 595μs 212ns;466.000000;13.306867;490.000000;12.655102;0;1;Failing;0;1233
c53e8;0;64;0;0;0000000000000010;   530m  3s 711ms 125μs 882ns;17000;6211;         7s 695ms 562μs 728ns;1113.000000;5.580413;340.000000;18.267647;0;1;Failing;0;269270
3f901;0;64;0;0;0000000000000010;   163m 12s 453ms 540μs 916ns;0;832;         1s 902ms 970μs  91ns;944.000000;0.881356;320.000000;2.600000;0;1;Failing;0;86750
7ed33;0;64;0;0;0000000000000010;   328m 29s 286ms 937μs 511ns;17000;1340;         2s 373ms 442μs 271ns;1179.000000;1.136556;290.000000;4.620690;0;1;Failing;0;173124
bd9b8;0;64;0;0;0000000000000010;   510m  2s 378ms 913μs 695ns;0;709;         1s 667ms 397μs 978ns;625.000000;1.134400;280.000000;2.532143;0;1;Failing;0;258843
8727d;0;64;0;0;0000000000000010;   349m 54s  60ms 678μs 656ns;17000;6201;         7s 222ms 404μs 956ns;1114.000000;5.566427;270.000000;22.966667;0;1;Failing;0;184498
11c89;0;64;0;0;0000000000000010;    44m 57s 515ms  16μs 781ns;17000;6206;         8s 369ms 845μs  44ns;1114.000000;5.570916;270.000000;22.985185;0;1;Failing;0;24246
1e720;0;64;0;0;0000000000000010;    77m 28s 493ms 556μs 717ns;17000;6206;         7s 223ms 561μs 441ns;1116.000000;5.560932;250.000000;24.824000;0;1;Failing;0;41534
fcbe0;0;64;0;0;0000000000000010;   676m  9s 731ms 352μs  13ns;17000;6203;         7s 878ms 698μs 733ns;1113.000000;5.573226;250.000000;24.812000;0;1;Failing;0;345043
86689;0;64;0;0;0000000000000010;   347m 58s 362ms 740μs  41ns;0;820;         1s 724ms 349μs 603ns;943.000000;0.869565;240.000000;3.416667;0;1;Failing;0;183478
836a7;0;64;0;0;0000000000000010;   340m 17s 532ms 781μs  91ns;0;828;         2s 147ms 413μs  33ns;795.000000;1.041509;240.000000;3.450000;0;1;Failing;0;179393
108364;0;64;0;0;0000000000000010;   705m 58s 731ms 849μs  84ns;0;811;         1s 734ms 454μs 554ns;625.000000;1.297600;240.000000;3.379167;0;1;Failing;0;360703
4367b;0;64;0;0;0000000000000010;   173m  6s 751ms 576μs 303ns;0;708;         1s 984ms 118μs   6ns;655.000000;1.080916;230.000000;3.078261;0;1;Failing;0;91996
2b7ec;0;64;0;0;0000000000000010;   111m 22s 586ms 253μs  47ns;0;767;         1s 472ms 126μs 516ns;654.000000;1.172783;230.000000;3.334783;0;1;Failing;0;59351
3a039;0;64;0;0;0000000000000010;   148m 50s 596ms  99μs 410ns;0;1142;         2s 541ms 735μs 181ns;1084.000000;1.053506;220.000000;5.190909;0;1;Failing;0;79174
59134;0;64;0;0;0000000000000010;   229m 32s  98ms  44μs 471ns;0;1010;         2s  47ms 685μs 496ns;1081.000000;0.934320;220.000000;4.590909;0;1;Failing;0;121583
91fcf;0;64;0;0;0000000000000010;   378m  9s 581ms 456μs 429ns;17000;6200;         7s 609ms 283μs 333ns;1113.000000;5.570530;210.000000;29.523810;0;1;Failing;0;199288
a52af;0;64;0;0;0000000000000010;   435m 26s 674ms 832μs 384ns;0;6198;         8s 851ms 666μs 941ns;1107.000000;5.598916;210.000000;29.514286;0;1;Failing;0;225475
ba50b;0;64;0;0;0000000000000010;   501m 35s 271ms 159μs 279ns;0;805;         1s 427ms 257μs  58ns;959.000000;0.839416;210.000000;3.833333;0;1;Failing;0;254348
2671f;0;64;0;0;0000000000000010;    98m 16s 265ms 497μs  45ns;0;766;         2s  60ms 758μs  81ns;657.000000;1.165906;210.000000;3.647619;0;1;Failing;0;52456
1ddeb;0;64;0;0;0000000000000010;    76m  2s 364ms   7μs 108ns;0;670;         1s 579ms 121μs 137ns;590.000000;1.135593;210.000000;3.190476;0;1;Failing;0;40748
d5178;0;64;0;0;0000000000000010;   571m 13s 317ms 283μs 823ns;17000;6198;         7s 408ms 799μs  67ns;1117.000000;5.548791;200.000000;30.990000;0;1;Failing;0;290907
56593;0;64;0;0;0000000000000010;   222m 25s 683ms 337μs 182ns;17000;6197;         8s 101ms 914μs 972ns;1115.000000;5.557848;200.000000;30.985000;0;1;Failing;0;117860
76885;0;64;0;0;0000000000000010;   307m  1s  85ms  63μs 171ns;17000;6207;         7s 513ms 990μs 377ns;1115.000000;5.566816;200.000000;31.035000;0;1;Failing;0;161802
31396;0;64;0;0;0000000000000010;   126m 10s 361ms 600μs 857ns;17000;6201;         8s 117ms 289μs 476ns;1113.000000;5.571429;200.000000;31.005000;0;1;Failing;0;67173
2ff3b;0;64;0;0;0000000000000010;   122m 59s 458ms  91μs 905ns;0;786;         1s 800ms 546μs 506ns;944.000000;0.832627;200.000000;3.930000;0;1;Failing;0;65436
9dcbc;0;64;0;0;0000000000000010;   412m 41s 270ms 648μs 843ns;0;845;         1s 981ms 974μs 660ns;817.000000;1.034272;200.000000;4.225000;0;1;Failing;0;215410
cb6f7;0;64;0;0;0000000000000010;   546m 25s 614ms 940μs 465ns;0;680;         1s 787ms 449μs 736ns;325.000000;2.092308;200.000000;3.400000;0;1;Failing;0;277723
e5177;0;64;0;0;0000000000000010;   613m 49s 819ms 180μs 425ns;17000;6206;         8s 199ms 250μs 506ns;1115.000000;5.565919;190.000000;32.663158;0;1;Failing;0;312752
e61b2;0;64;0;0;0000000000000010;   616m 25s 917ms 451μs 591ns;17000;6208;         7s 210ms 154μs 723ns;1113.000000;5.577718;190.000000;32.673684;0;1;Failing;0;314137
af333;0;64;0;0;0000000000000010;   470m  8s 926ms 558μs 665ns;0;818;         1s 841ms  98μs 746ns;970.000000;0.843299;190.000000;4.305263;0;1;Failing;0;239172
9f4f5;0;64;0;0;0000000000000010;   416m 37s 261ms 336μs  30ns;0;848;         1s 710ms 931μs 998ns;956.000000;0.887029;190.000000;4.463158;0;1;Failing;0;217477
8462e;0;64;0;0;0000000000000010;   342m 46s 887ms 181μs  88ns;0;784;         1s 396ms 769μs 822ns;798.000000;0.982456;190.000000;4.126316;0;1;Failing;0;180717
11a4f;0;64;0;0;0000000000000010;    44m 35s 820ms 945μs 169ns;0;725;         1s 623ms 276μs 652ns;703.000000;1.031294;190.000000;3.815789;0;1;Failing;0;24056
1056b1;0;64;0;0;0000000000000010;   698m 45s 713ms 106μs 893ns;0;783;         1s 522ms 158μs 971ns;703.000000;1.113798;190.000000;4.121053;0;1;Failing;0;356889
b400d;0;64;0;0;0000000000000010;   484m  2s 770ms 550μs  37ns;0;669;         1s 630ms 682μs 213ns;700.000000;0.955714;190.000000;3.521053;0;1;Failing;0;245730
c7db6;0;64;0;0;0000000000000010;   536m 54s 255ms 457μs 820ns;0;826;         1s 686ms 509μs  20ns;656.000000;1.259146;190.000000;4.347368;0;1;Failing;0;272837
14cc2;0;64;0;0;0000000000000010;    52m 43s 852ms 191μs 917ns;0;718;         1s 581ms  96μs 989ns;622.000000;1.154341;190.000000;3.778947;0;1;Failing;0;28361
bf4d0;0;64;0;0;0000000000000010;   514m 30s  26ms       962ns;0;773;         2s 615ms  96μs 999ns;621.000000;1.244767;190.000000;4.068421;0;1;Failing;0;261155
b416f;0;64;0;0;0000000000000010;   484m 17s 599ms 254μs 405ns;0;640;         1s 726ms 338μs 671ns;558.000000;1.146953;190.000000;3.368421;0;1;Failing;0;245848
89a5b;0;64;0;0;0000000000000010;   356m 17s 880ms 778μs 588ns;0;642;         1s 959ms 365μs 596ns;249.000000;2.578313;190.000000;3.378947;0;1;Failing;0;187900
