ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
d0104;cd801;cc5a6;1000;1000;4000000000000080;   616m 21s 729ms 639μs 277ns;0;-1;         4s 951ms 493μs 687ns;6580.000000;0.000000;3415.000000;0.000000;0;1;Unfinished;0;284028
d0abd;d0104;d0a9d;0;0;0000000000000030;   626m 45s 224ms 193μs 372ns;0;5899;         7s 316ms  26μs 103ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284861
d0aac;d0104;d0a9d;0;0;0000000000000030;   626m 45s 371ms  28μs 857ns;0;5899;         7s 596ms 994μs 423ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284854
d0acc;d0104;d0a9d;0;0;0000000000000030;   626m 45s 460ms 545μs 908ns;0;5899;         8s  24ms 320μs   5ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284866
d0adb;d0104;d0a9d;0;0;0000000000000030;   626m 45s 630ms 528μs 728ns;0;5899;         7s 855ms 910μs 242ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284871
d0ab0;d0104;d0a9d;0;0;0000000000000030;   626m 45s 177ms 542μs 646ns;0;5899;         8s 292ms 669μs 844ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284856
d0b0c;d0104;d0a9d;0;0;0000000000000030;   626m 45s 927ms 959μs 722ns;0;5899;         7s 560ms 158μs 465ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284887
d0aea;d0104;d0a9d;0;0;0000000000000030;   626m 45s 773ms 102μs  53ns;0;5899;         8s 295ms  39μs 674ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284876
d0af9;d0104;d0a9d;0;0;0000000000000030;   626m 45s 879ms  53μs 426ns;0;5899;         8s 188ms 311μs 216ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284881
d0b29;d0104;d0a9d;0;0;0000000000000030;   626m 46s 179ms 159μs 822ns;0;5899;         6s 141ms 401μs 448ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284897
d0b39;d0104;d0a9d;0;0;0000000000000030;   626m 46s 252ms 380μs 313ns;0;5899;         7s 176ms 915μs 309ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284902
d0b1a;d0104;d0a9d;0;0;0000000000000030;   626m 46s  31ms  38μs 395ns;0;5899;         7s 692ms 449μs 911ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284892
d0b48;d0104;d0a9d;0;0;0000000000000030;   626m 46s 312ms 493μs 340ns;0;5899;         7s 176ms  30μs 251ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284907
d0b65;d0104;d0a9d;0;0;0000000000000030;   626m 46s 491ms 326μs 943ns;0;5899;         7s 173ms 837μs 407ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284917
d0b59;d0104;d0a9d;0;0;0000000000000030;   626m 46s 574ms 998μs 614ns;0;5899;         7s 169ms  58μs 445ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284912
d0b74;d0104;d0a9d;0;0;0000000000000030;   626m 46s 707ms 391μs 787ns;0;5899;         7s 516ms 554μs 529ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284922
d0b83;d0104;d0a9d;0;0;0000000000000030;   626m 46s 776ms 640μs 873ns;0;5899;         7s  70ms 982μs 898ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284927
d0bb0;d0104;d0a9d;0;0;0000000000000030;   626m 46s 892ms 266μs 985ns;0;5899;         7s  12ms 921μs 385ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284942
d0b92;d0104;d0a9d;0;0;0000000000000030;   626m 46s 848ms 100μs 317ns;0;5899;         7s  19ms 994μs 991ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284932
d0bde;d0104;d0a9d;0;0;0000000000000030;   626m 47s 116ms 205μs 934ns;0;5899;         6s 976ms 115μs 867ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284957
d0bcf;d0104;d0a9d;0;0;0000000000000030;   626m 47s  36ms 643μs 884ns;0;5899;         7s 554ms 992μs 317ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284952
d0bed;d0104;d0a9d;0;0;0000000000000030;   626m 47s 222ms 479μs 417ns;0;5899;         6s 973ms 191μs 226ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284962
d0ba1;d0104;d0a9d;0;0;0000000000000030;   626m 46s 873ms 682μs 739ns;0;5899;         8s 147ms 736μs 194ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284937
d0bc0;d0104;d0a9d;0;0;0000000000000030;   626m 47s  65ms  13μs 315ns;0;5899;         8s 135ms 794μs 174ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284947
d0bfc;d0104;d0a9d;0;0;0000000000000030;   626m 47s 310ms 905μs 947ns;0;5899;         7s 578ms 431μs 418ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284967
d0c0a;d0104;d0a9d;0;0;0000000000000030;   626m 47s 328ms 409μs 782ns;0;5899;         7s 576ms 803μs 412ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284972
d0c2b;d0104;d0a9d;0;0;0000000000000030;   626m 47s 511ms 351μs 324ns;0;5899;         7s 583ms 625μs 637ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284983
d0c4a;d0104;d0a9d;0;0;0000000000000030;   626m 47s 640ms 432μs 561ns;0;5899;         7s  33ms 854μs 817ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284993
d0c1c;d0104;d0a9d;0;0;0000000000000030;   626m 47s 481ms 111μs  15ns;0;5899;         8s 157ms 945μs 561ns;6580.000000;0.896505;3415.000000;1.727379;0;1;Failing;0;284978
