ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
90447;8ca4e;8c77b;0;0;4000000000000080;   366m  1s  15ms 480μs 981ns;0;-1;         6s 509ms 996μs 143ns;6211.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;196933
90867;8ca4e;8c77b;0;0;4000000000000080;   367m     104ms 273μs 532ns;0;-1;         7s 974ms 405μs 814ns;6203.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197284
90669;8ca4e;8c77b;0;0;0000000000000080;   366m 37s 770ms 621μs 395ns;0;-1;         6s 750ms 664μs 976ns;6101.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197112
90661;8ca4e;8c77b;0;0;0000000000000080;   366m 37s 771ms 321μs 884ns;0;-1;         7s 151ms 451μs 566ns;6101.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197108
90668;8ca4e;8c77b;0;0;0000000000000080;   366m 37s 775ms 502μs  63ns;0;-1;         6s 630ms 754μs 776ns;6101.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197111
9066b;8ca4e;8c77b;0;0;0000000000000080;   366m 37s 770ms 545μs 441ns;0;-1;         7s 652ms 321μs 713ns;6101.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197114
9066d;8ca4e;8c77b;0;0;4000000000000080;   366m 37s 776ms 667μs 134ns;0;-1;         7s 120ms 281μs 782ns;6101.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197115
9275f;8d0eb;8c77b;0;0;0000000000000080;   374m 38s 359ms  33μs 869ns;0;-1;         6s 770ms  30μs 192ns;6100.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;199922
92195;8d0eb;8c77b;0;0;0000000000000080;   373m 14s  55ms 899μs 287ns;0;-1;         7s 187ms  23μs  65ns;6086.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;199432
90b9b;8ca4e;8c77b;0;0;0000000000000080;   367m 47s 372ms 262μs 257ns;0;-1;         6s   7ms 919μs 385ns;6078.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197554
90b9a;8ca4e;8c77b;0;0;0000000000000080;   367m 47s 371ms 292μs 589ns;0;-1;         7s  55ms  73μs 492ns;6078.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197553
90b9c;8ca4e;8c77b;0;0;0000000000000080;   367m 47s 373ms 492μs 529ns;0;-1;         7s  25ms 687μs 125ns;6078.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197555
90ba1;8ca4e;8c77b;0;0;0000000000000080;   367m 47s 407ms 996μs 517ns;0;-1;         6s 672ms 676μs 931ns;6078.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197556
90ba3;8ca4e;8c77b;0;0;0000000000000080;   367m 47s 406ms 293μs 980ns;0;-1;         6s 672ms 947μs 293ns;6078.000000;0.000000;3680.000000;0.000000;0;1;Unfinished;0;197557
9082a;8ca4e;8c77b;0;0;0000000000000080;   367m      33ms 843μs 111ns;0;6003;         7s 126ms 306μs 364ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197262
90833;8ca4e;8c77b;0;0;0000000000000080;   367m      37ms 304μs 877ns;0;6003;         6s 568ms 637μs 669ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197271
9082e;8ca4e;8c77b;0;0;0000000000000080;   367m      30ms 461μs 764ns;0;6003;         7s 129ms 426μs 629ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197266
9082b;8ca4e;8c77b;0;0;0000000000000080;   367m      34ms 259μs  71ns;0;6003;         7s 647ms 554μs 605ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197263
90830;8ca4e;8c77b;0;0;0000000000000080;   367m      29ms 943μs 810ns;0;6003;         8s 196ms  33μs 401ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197268
90834;8ca4e;8c77b;0;0;0000000000000080;   367m      41ms 110μs 967ns;0;6003;         7s  88ms  92μs 429ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197272
9082f;8ca4e;8c77b;0;0;0000000000000080;   367m      38ms 377μs 450ns;0;6003;         7s  88ms 865μs 942ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197267
9082d;8ca4e;8c77b;0;0;0000000000000080;   367m      35ms  79μs  31ns;0;6003;         7s  90ms 167μs 141ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197265
9082c;8ca4e;8c77b;0;0;0000000000000080;   367m      38ms 506μs 493ns;0;6003;         7s  89ms 273μs 286ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197264
90839;8ca4e;8c77b;0;0;0000000000000080;   367m      40ms 977μs 653ns;0;6003;         7s   5ms 317μs 301ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197273
90831;8ca4e;8c77b;0;0;0000000000000080;   367m      47ms 507μs 414ns;0;6003;         6s 933ms 414μs 505ns;6065.000000;0.989777;3680.000000;1.631250;0;1;Failing;0;197269
