ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result
cf33e;cec2f;cc738;0;0;4000000000000080;   551m 23s 676ms 329μs  58ns;0;-1;         7s 438ms 914μs 982ns;6255.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1985;cec2f;cc738;0;0;4000000000000080;   562m  1s 355ms 212μs 647ns;0;-1;         7s  72ms 367μs 916ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1987;cec2f;cc738;0;0;0000000000000080;   562m  1s 361ms 917μs 126ns;0;-1;         7s 776ms  25μs  42ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d198c;cec2f;cc738;0;0;0000000000000080;   562m  1s 391ms 794μs 411ns;0;-1;         6s 496ms 453μs 283ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d198a;cec2f;cc738;0;0;0000000000000080;   562m  1s 373ms 512μs 724ns;0;-1;         7s 155ms  20μs 754ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19ae;cec2f;cc738;0;0;0000000000000080;   562m  1s 417ms 156μs 176ns;0;-1;         7s 712ms  80μs 795ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d198e;cec2f;cc738;0;0;0000000000000080;   562m  1s 364ms 833μs 180ns;0;-1;         8s 760ms 425μs   4ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1984;cec2f;cc738;0;0;0000000000000080;   562m  1s 360ms 632μs 599ns;0;-1;         8s 212ms 570μs 901ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19a1;cec2f;cc738;0;0;0000000000000080;   562m  1s 389ms 763μs 916ns;0;-1;         8s 647ms 327μs 237ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b9;cec2f;cc738;0;0;0000000000000080;   562m  1s 438ms 861μs 122ns;0;-1;         7s 562ms 924μs 839ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19d4;cec2f;cc738;0;0;0000000000000080;   562m  1s 468ms 662μs  67ns;0;-1;         7s 544ms  64μs 102ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19d8;cec2f;cc738;0;0;0000000000000080;   562m  1s 475ms  28μs  10ns;0;-1;         7s 543ms 508μs  84ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b5;cec2f;cc738;0;0;0000000000000080;   562m  1s 435ms 894μs 255ns;0;-1;         8s  50ms 144μs 500ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19bf;cec2f;cc738;0;0;0000000000000080;   562m  1s 446ms 842μs 632ns;0;-1;         7s 554ms 239μs 464ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b8;cec2f;cc738;0;0;0000000000000080;   562m  1s 438ms 562μs 577ns;0;-1;         8s  49ms 330μs 639ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19cb;cec2f;cc738;0;0;0000000000000080;   562m  1s 450ms   7μs 153ns;0;-1;         7s 553ms 737μs 150ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19a4;cec2f;cc738;0;0;0000000000000080;   562m  1s 406ms 694μs 942ns;0;-1;         8s 148ms 356μs 296ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19e2;cec2f;cc738;0;0;0000000000000080;   562m  1s 480ms  71μs 589ns;0;-1;         7s 448ms 488μs 161ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d199c;cec2f;cc738;0;0;0000000000000080;   562m  1s 387ms 715μs 356ns;0;-1;         8s 730ms  69μs 864ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b3;cec2f;cc738;0;0;0000000000000080;   562m  1s 424ms 110μs 190ns;0;-1;         8s 624ms 549μs  42ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19ac;cec2f;cc738;0;0;0000000000000080;   562m  1s 416ms 684μs 461ns;0;-1;         8s 625ms 540μs 569ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b6;cec2f;cc738;0;0;0000000000000080;   562m  1s 438ms  85μs  28ns;0;-1;         8s 129ms 250μs 747ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19c8;cec2f;cc738;0;0;0000000000000080;   562m  1s 442ms  98μs 108ns;0;-1;         8s 705ms 549μs  15ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19e9;cec2f;cc738;0;0;0000000000000080;   562m  1s 488ms 855μs 962ns;0;-1;         8s  19ms 324μs 873ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19b7;cec2f;cc738;0;0;0000000000000080;   562m  1s 439ms 517μs 976ns;0;-1;         8s 704ms 328μs 190ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19bc;cec2f;cc738;0;0;0000000000000080;   562m  1s 437ms 860μs  89ns;0;-1;         8s 706ms 144μs 255ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19cc;cec2f;cc738;0;0;0000000000000080;   562m  1s 459ms 659μs 182ns;0;-1;         8s 693ms 812μs 898ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19e3;cec2f;cc738;0;0;0000000000000080;   562m  1s 488ms 962μs 648ns;0;-1;         8s  21ms 973μs  27ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19d6;cec2f;cc738;0;0;0000000000000080;   562m  1s 480ms 269μs 162ns;0;-1;         8s 692ms  17μs 172ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19ea;cec2f;cc738;0;0;0000000000000080;   562m  1s 488ms 752μs 889ns;0;-1;         8s 453ms 519μs 308ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19d7;cec2f;cc738;0;0;0000000000000080;   562m  1s 499ms 567μs 365ns;0;-1;         7s 945ms 995μs 371ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d19ec;cec2f;cc738;0;0;0000000000000080;   562m  1s 511ms 224μs 671ns;0;-1;         7s 393ms 559μs 667ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1ba4;cec2f;cc738;0;0;0000000000000080;   562m 25s 744ms 367μs 509ns;0;-1;         8s 117ms  51μs 896ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1ba6;cec2f;cc738;0;0;0000000000000080;   562m 25s 758ms 376μs 263ns;0;-1;         9s 238ms 851μs 856ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d1ba0;cec2f;cc738;0;0;0000000000000080;   562m 25s 199ms 827μs 128ns;0;-1;         9s 416ms 330μs 435ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
cff78;cec2f;cc738;0;0;4000000000000080;   554m 58s 385ms 577μs 353ns;0;-1;         8s 473ms 822μs 701ns;6253.000000;0.000000;3360.000000;0.000000;0;1;Unfinished
d3aed;cec2f;cc738;0;0;4000000000000080;   571m 20s 496ms 163μs 409ns;0;-1;         7s 232ms 914μs 804ns;6253.000000;0.000000;3315.000000;0.000000;0;1;Unfinished
d3aea;cec2f;cc738;0;0;0000000000000080;   571m 20s 494ms 748μs 526ns;0;-1;         7s 236ms 289μs   9ns;6253.000000;0.000000;3315.000000;0.000000;0;1;Unfinished
cef04;cec2f;cc738;0;0;4000000000000080;   550m 21s 432ms 390μs  78ns;0;-1;         7s 334ms 926μs 197ns;6253.000000;0.000000;3305.000000;0.000000;0;1;Unfinished
d4589;cec2f;cc738;0;0;4000000000000080;   574m  8s 851ms  24μs 829ns;0;-1;         8s  26ms 308μs 596ns;6233.000000;0.000000;3315.000000;0.000000;0;1;Unfinished
