ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result
cf659;ce54e;cc738;0;0;0000000000000080;   552m 26s 677ms 339μs 586ns;0;6225;         8s 595ms 626μs 737ns;6137.000000;1.014339;3635.000000;1.712517;0;1;Failing
d24c1;cd873;cc738;0;0;0000000000000080;   565m  6s 396ms 545μs 342ns;0;-1;         7s  76ms 574μs 530ns;5929.000000;0.000000;3625.000000;0.000000;0;1;Unfinished
d24bf;cd873;cc738;0;0;0000000000000080;   565m  6s 354ms 845μs 364ns;0;-1;         8s 774ms 276μs  10ns;5929.000000;0.000000;3625.000000;0.000000;0;1;Unfinished
d256a;cd873;cc738;0;0;0000000000000080;   565m 12s 929ms 531μs  27ns;0;-1;         8s 722ms 574μs 710ns;5928.000000;0.000000;3625.000000;0.000000;0;1;Unfinished
d24c0;cd873;cc738;0;0;0000000000000080;   565m  6s 386ms 337μs 440ns;0;-1;         7s 657ms 213μs 759ns;5927.000000;0.000000;3625.000000;0.000000;0;1;Unfinished
cf25b;ce54e;cc738;0;0;0000000000000080;   551m 14s 109ms 543μs 322ns;0;-1;         7s 283ms  92μs  75ns;6096.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
cf25f;ce54e;cc738;0;0;0000000000000080;   551m 14s 107ms 725μs 102ns;0;-1;         8s 449ms 594μs 702ns;6096.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
cf25c;ce54e;cc738;0;0;0000000000000080;   551m 14s 113ms 923μs 219ns;0;-1;         8s       807μs  59ns;6096.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
cf25d;ce54e;cc738;0;0;0000000000000080;   551m 14s 121ms 615μs 385ns;0;-1;         6s 780ms 592μs 645ns;6096.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
cf676;ce54e;cc738;0;0;0000000000000080;   552m 26s 754ms 659μs 570ns;0;-1;         8s 733ms 158μs 236ns;6090.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
eb446;ce54e;cc738;0;0;0000000000000080;   675m 39s 133ms 599μs 887ns;0;-1;         7s 605ms 793μs   1ns;5925.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
eb447;ce54e;cc738;0;0;0000000000000080;   675m 39s 160ms  71μs 960ns;0;-1;         7s 649ms  36μs 322ns;5925.000000;0.000000;3615.000000;0.000000;0;1;Unfinished
e8b2c;cd873;cc738;0;0;0000000000000080;   664m 13s 677ms 538μs 999ns;0;-1;         8s 224ms 424μs 844ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e8b33;cd873;cc738;0;0;0000000000000080;   664m 13s 701ms 818μs  58ns;0;-1;         7s 696ms 468μs 935ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e8b2f;cd873;cc738;0;0;0000000000000080;   664m 13s 684ms 400μs 290ns;0;-1;         8s 722ms  19μs 811ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e8b39;cd873;cc738;0;0;0000000000000080;   664m 13s 725ms 808μs 474ns;0;-1;         8s 194ms 492μs 276ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e8b49;cd873;cc738;0;0;0000000000000080;   664m 13s 748ms 732μs 758ns;0;-1;         8s 613ms 766μs 511ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
ebfae;cd873;cc738;0;0;0000000000000080;   678m 51s 451ms 679μs 214ns;0;-1;         7s 455ms 606μs 646ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
ebfba;cd873;cc738;0;0;0000000000000080;   678m 51s 468ms 971μs 310ns;0;-1;         7s 528ms 843μs 948ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
ebfb1;cd873;cc738;0;0;0000000000000080;   678m 51s 451ms 214μs 406ns;0;-1;         8s 611ms 285μs 290ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
ebfb7;cd873;cc738;0;0;0000000000000080;   678m 51s 475ms 578μs 418ns;0;-1;         8s 123ms  57μs 395ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
ebfc9;cd873;cc738;0;0;0000000000000080;   678m 51s 506ms 666μs 173ns;0;-1;         7s 759ms 749μs 627ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e2d80;cd873;cc738;0;0;0000000000000080;   638m 31s 956ms 502μs 578ns;0;-1;         8s 605ms 947μs 783ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
e2d7e;cd873;cc738;0;0;0000000000000080;   638m 31s 941ms 160μs 191ns;0;-1;         8s 611ms 309μs 537ns;5931.000000;0.000000;3595.000000;0.000000;0;1;Unfinished
