ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Retries;Test Number
ea700;e7cc6;e86c2;0;0;0000000000000030;   663m 53s 330ms 724μs 629ns;0;11617;        14s 969ms 684μs  12ns;4284.000000;2.711718;1790.000000;6.489944;0;1;Failing;0;320021
d8625;d68c9;d6ce3;0;0;0000000000000030;   579m 45s 418ms  71μs  99ns;0;11616;        15s  44ms 275μs 413ns;4284.000000;2.711485;1790.000000;6.489385;0;1;Failing;0;295380
ccec8;cb652;cc15f;0;0;0000000000000030;   530m 47s 768ms 500μs 926ns;0;11615;        13s 239ms 629μs 579ns;4284.000000;2.711251;1790.000000;6.488827;0;1;Failing;0;279737
ce34a;cc05c;cc15f;0;0;0000000000000030;   536m  7s 265ms 833μs 856ns;0;11615;        15s 120ms  48μs 502ns;4284.000000;2.711251;1790.000000;6.488827;0;1;Failing;0;281487
e2b49;df574;dfbae;0;0;0000000000000030;   627m 18s 222ms 832μs 958ns;0;11615;        15s 559ms 922μs 146ns;4284.000000;2.711251;1790.000000;6.488827;0;1;Failing;0;309468
d8a3f;d6706;d6ce3;0;0;0000000000000030;   580m 47s 549ms 367μs 771ns;0;11614;        13s 757ms 529μs 781ns;4284.000000;2.711018;1790.000000;6.488268;0;1;Failing;0;295730
ee053;ed296;ede64;0;0;0000000000000030;   684m 50s 393ms 419μs 596ns;0;11614;        15s 393ms 652μs  17ns;4284.000000;2.711018;1790.000000;6.488268;0;1;Failing;0;324917
d3a26;d1427;d2150;0;0;0000000000000030;   559m 17s 227ms 381μs 602ns;0;11610;        14s 616ms  71μs 791ns;4284.000000;2.710084;1790.000000;6.486034;0;1;Failing;0;288897
d3a88;d1e0c;d2150;0;0;0000000000000030;   559m 22s 237ms 560μs 142ns;0;11610;        12s  40ms 258μs 960ns;4284.000000;2.710084;1790.000000;6.486034;0;1;Failing;0;288930
d3bd3;d1e0c;d2150;0;0;0000000000000030;   559m 42s 901ms  10μs  86ns;0;11610;        12s 433ms 578μs 966ns;4284.000000;2.710084;1790.000000;6.486034;0;1;Failing;0;289040
d4c5c;d1427;d2150;0;0;0000000000000030;   563m 51s  61ms 536μs 350ns;0;11610;        12s 908ms  33μs 939ns;4284.000000;2.710084;1790.000000;6.486034;0;1;Failing;0;290451
d52ac;d168c;d2150;0;0;0000000000000030;   565m 27s 526ms 773μs 267ns;0;11610;        13s 914ms 893μs 899ns;4284.000000;2.710084;1790.000000;6.486034;0;1;Failing;0;290990
