ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
c0d18;41;0;0;0;21;2;5926.000000;0.000000;0.000000;3691.000000;3691.000000;99.541532;1680.000000;1680.000000;49.122807;     1m  2s 981ms 580μs 475ns;        35s 811ms 631μs 774ns
c0d19;29;0;0;0;16;2;5922.000000;5102.000000;86.153327;3691.000000;3691.000000;99.514694;1680.000000;1680.000000;49.122807;        47s 994ms 640μs 615ns;        27s 293ms 850μs 391ns
c0d26;35;0;0;0;19;2;6580.000000;0.000000;0.000000;3691.000000;3691.000000;99.487871;1680.000000;1680.000000;47.457627;        57s 819ms 475μs 608ns;        30s 608ms 692μs 408ns
c0d30;31;0;0;0;19;2;5886.000000;0.000000;0.000000;3691.000000;3691.000000;99.568384;1680.000000;1680.000000;51.851852;        59s 628ms 198μs  38ns;        32s 179ms 199μs 623ns
c0d3d;27;0;0;0;15;2;5521.000000;0.000000;0.000000;3691.000000;3691.000000;99.595251;1680.000000;1680.000000;57.142857;        44s 968ms 877μs 628ns;        27s 663ms   7μs 235ns
c499f;4095;236;0;0;246;73;1057.000000;0.000000;0.000000;1478.000000;1478.000000;117.488076;20.000000;20.000000;100.000000;     4m 34s 628ms 690μs 114ns;        56s 934ms 940μs 819ns
c49a0;11;0;0;0;8;2;3530.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1740.000000;1740.000000;100.000000;        19s 640ms 437μs 540ns;        12s 952ms 471μs 344ns
c49a4;33;0;0;0;19;2;3674.000000;3110.000000;84.648884;3691.000000;3691.000000;99.945843;1680.000000;1680.000000;90.322581;        59s 587ms 502μs 401ns;        32s 570ms 813μs 971ns
c49ab;1;0;0;0;1;2;3448.000000;3448.000000;100.000000;3691.000000;3691.000000;100.000000;1680.000000;1680.000000;100.000000;         3s 316ms 530μs 797ns;                          0ns
c49af;6;0;0;0;3;2;3678.000000;0.000000;0.000000;3691.000000;3691.000000;99.972914;1860.000000;1860.000000;103.333333;        10s 400ms 842μs 670ns;         3s 510ms 979μs 362ns
cb4d3;13;0;0;0;7;2;6408.000000;3448.000000;53.807740;3691.000000;3691.000000;99.461062;1680.000000;1680.000000;43.750000;        19s 724ms 313μs 156ns;         8s  47ms 847μs 813ns
cb4d4;36;0;0;0;22;2;5274.000000;0.000000;0.000000;3691.000000;3691.000000;99.622132;1670.000000;1670.000000;55.852843;        55s 518ms 416μs 888ns;        37s 639ms 896μs 461ns
cb4d8;18;0;0;0;10;2;5276.000000;0.000000;0.000000;3691.000000;3691.000000;99.595251;1690.000000;1690.000000;70.416667;        28s 414ms 934μs 124ns;        18s  73ms 301μs 431ns
cb4e2;20;0;0;0;13;2;6022.000000;0.000000;0.000000;3691.000000;3691.000000;99.514694;1790.000000;1790.000000;53.432836;        36s 454ms  21μs 343ns;        25s  71ms 798μs 574ns
cb4eb;10;0;0;0;7;2;5546.000000;3384.000000;61.016949;3691.000000;3691.000000;99.649028;1730.000000;1730.000000;55.627010;        17s 575ms 486μs 533ns;         8s 192ms  51μs 278ns
cdc42;34;0;0;0;20;2;4258.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1680.000000;1680.000000;73.684211;        58s 708ms 141μs 844ns;        37s 772ms 630μs 846ns
cdc43;29;0;0;0;15;2;3827.000000;3065.000000;80.088842;3691.000000;3691.000000;99.918787;1680.000000;1680.000000;87.500000;        43s 743ms 901μs 306ns;        26s 768ms 819μs 417ns
cdc4a;16;0;0;0;8;2;3601.000000;0.000000;0.000000;3691.000000;3691.000000;99.945843;1680.000000;1680.000000;93.333333;        27s 693ms 692μs 662ns;        14s  45ms 774μs 863ns
cdc51;26;0;0;0;16;2;4742.000000;0.000000;0.000000;3691.000000;3691.000000;99.783725;1680.000000;1680.000000;65.116279;        40s 224ms 471μs 605ns;        25s  30ms  15μs 785ns
cdc55;12;0;0;0;8;2;4468.000000;0.000000;0.000000;3690.000000;3690.000000;99.864682;1670.000000;1670.000000;68.163265;        20s 949ms 484μs 882ns;        16s 987ms 587μs 870ns
d183f;45;0;0;0;26;2;5598.000000;0.000000;0.000000;3691.000000;3691.000000;99.622132;1680.000000;1680.000000;54.901961;     1m 13s 627ms 719μs 441ns;        47s 381ms 217μs 652ns
d1840;21;0;0;0;10;2;6135.000000;0.000000;0.000000;3691.000000;3691.000000;99.568384;1800.000000;1800.000000;50.000000;        31s  30ms 982μs 145ns;        14s 580ms 400μs 992ns
d1847;36;0;0;0;19;2;6200.000000;0.000000;0.000000;3691.000000;3691.000000;99.353970;1680.000000;1680.000000;60.869565;        52s 241ms 738μs 685ns;        26s 334ms 758μs 473ns
d184b;19;0;0;0;12;2;5416.000000;0.000000;0.000000;3691.000000;3691.000000;99.487871;1740.000000;1740.000000;56.862745;        25s 391ms 778μs 679ns;        14s 762ms 496μs  51ns
d184f;11;0;0;0;7;2;5474.000000;3447.000000;62.970406;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;58.333333;        23s 110ms  51μs  41ns;        11s 143ms 611μs 416ns
d4005;45;0;0;0;23;2;5234.000000;0.000000;0.000000;3691.000000;3691.000000;99.756757;1680.000000;1680.000000;63.636364;     1m 10s 419ms  56μs 506ns;        37s 447ms 148μs 823ns
d4006;58;0;0;0;30;2;4540.000000;0.000000;0.000000;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;68.292683;     1m 20s  68ms 141μs 413ns;        46s 146ms 431μs 857ns
d400a;13;0;0;0;8;2;4956.000000;3594.000000;72.518160;3691.000000;3691.000000;99.810708;1740.000000;1740.000000;63.043478;        23s 574ms 198μs 779ns;        12s 636ms 409μs 901ns
d400e;44;0;0;0;25;2;3740.000000;3077.000000;82.272727;3691.000000;3691.000000;99.837706;1680.000000;1680.000000;90.322581;     1m  6s 931ms 185μs 384ns;        36s 936ms 846μs 387ns
d4011;23;0;0;0;14;2;3870.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1680.000000;1680.000000;90.322581;        40s  42ms 663μs 463ns;        23s 200ms 449μs 854ns
d7cc8;21;0;0;0;12;2;6364.000000;0.000000;0.000000;3691.000000;3691.000000;99.568384;1680.000000;1680.000000;49.411765;        34s 649ms 369μs 380ns;        23s 883ms 315μs 288ns
d7cc9;16;0;0;0;13;2;6272.000000;0.000000;0.000000;3691.000000;3691.000000;99.595251;1680.000000;1680.000000;53.846154;        28s 494ms 494μs 101ns;        21s 636ms 935μs 928ns
d7cd3;9;0;0;0;6;2;4900.000000;0.000000;0.000000;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;65.116279;        14s 523ms 922μs 550ns;        10s 834ms 272μs 668ns
d7cda;7;0;0;0;6;2;4984.000000;3453.000000;69.281701;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;62.222222;        15s  16ms 100μs  69ns;         7s 962ms  91μs  29ns
d7ce7;48;0;0;0;26;2;4375.000000;0.000000;0.000000;3691.000000;3691.000000;99.702863;1680.000000;1680.000000;77.777778;     1m 18s 782ms   5μs 552ns;        41s 534ms 546μs 548ns
dafe0;39;0;0;0;21;2;4746.000000;0.000000;0.000000;3691.000000;3691.000000;99.783725;1680.000000;1680.000000;68.292683;        58s  26ms 765μs 167ns;        34s 489ms 625μs 101ns
dafe1;27;0;0;0;17;2;3818.000000;0.000000;0.000000;3691.000000;3691.000000;99.891746;1680.000000;1680.000000;84.848485;        48s 363ms 977μs 257ns;        29s 142ms 214μs 211ns
dafe8;41;0;0;0;22;2;4076.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1680.000000;1680.000000;90.322581;     1m     510ms 100μs  66ns;        33s  94ms 321μs 904ns
dafef;30;0;0;0;20;2;3822.000000;3147.000000;82.339089;3691.000000;3691.000000;99.945843;1680.000000;1680.000000;87.500000;        48s 301ms 821μs 333ns;        32s  18ms 661μs 830ns
daff6;4;0;0;0;3;2;4028.000000;3452.000000;85.700099;3691.000000;3691.000000;99.918787;1680.000000;1680.000000;82.352941;         7s 719ms 699μs 144ns;         3s 347ms 336μs  66ns
dec25;27;0;0;0;16;2;4516.000000;0.000000;0.000000;3691.000000;3691.000000;99.702863;1680.000000;1680.000000;73.684211;        48s 614ms 516μs 910ns;        30s 214ms 855μs  72ns
dec26;29;0;0;0;16;2;5446.000000;0.000000;0.000000;3691.000000;3691.000000;99.675938;1680.000000;1680.000000;62.222222;        49s 853ms 359μs 927ns;        27s 698ms 520μs 186ns
dec2a;13;0;0;0;10;2;5188.000000;0.000000;0.000000;3691.000000;3691.000000;99.649028;1680.000000;1680.000000;63.636364;        26s 717ms 697μs 524ns;        18s 995ms 450μs 261ns
dec31;52;0;0;0;28;2;4442.000000;0.000000;0.000000;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;75.675676;     1m 14s 261ms 752μs 863ns;        43s 226ms 852μs 427ns
dec38;32;0;0;0;19;2;5316.000000;0.000000;0.000000;3691.000000;3691.000000;99.622132;1680.000000;1680.000000;57.142857;        51s 755ms 879μs 476ns;        31s 343ms 403μs 762ns
e1fd0;39;0;0;0;21;2;4108.000000;0.000000;0.000000;3691.000000;3691.000000;99.756757;1680.000000;1680.000000;77.777778;     1m  6s 710ms 580μs 653ns;        38s 721ms 392μs 204ns
e1fd1;39;0;0;0;21;2;3969.000000;0.000000;0.000000;3691.000000;3691.000000;99.729803;1680.000000;1680.000000;84.848485;     1m  6s 187ms 591μs 649ns;        34s  17ms 105μs 892ns
e1fd5;34;0;0;0;20;2;3964.000000;0.000000;0.000000;3691.000000;3691.000000;99.810708;1680.000000;1680.000000;82.352941;        54s 982ms 488μs 342ns;        30s 607ms 488μs 937ns
e1fdf;38;0;0;0;19;2;3530.000000;3071.000000;86.997167;3691.000000;3691.000000;99.891746;1680.000000;1680.000000;96.551724;        57s 984ms 502μs 410ns;        34s 452ms 228μs 689ns
e1fe3;48;0;0;0;26;2;3806.000000;0.000000;0.000000;3691.000000;3691.000000;99.864719;1680.000000;1680.000000;90.322581;     1m 20s 390ms 371μs 693ns;        43s 350ms 621μs 712ns
2e1a1;10822;49;0;0;295;181;0.000000;0.000000;-nan;2626.000000;2626.000000;99.620637;40.000000;40.000000;100.000000;    14m 14s 928ms  21μs 554ns;     1m 25s 345ms 538μs 342ns
2e1a2;1;0;0;0;1;2;1833.000000;1833.000000;100.000000;2665.000000;2665.000000;100.000000;80.000000;80.000000;100.000000;         1s 971ms 315μs 137ns;                          0ns
2e1a6;840;2;0;0;122;67;1639.000000;0.000000;0.000000;2633.000000;2633.000000;99.022189;40.000000;40.000000;100.000000;     4m 33s 423ms 326μs 998ns;     1m  5s  98ms 646μs  99ns
2e1aa;787;10;0;0;104;21;1629.000000;0.000000;0.000000;2656.000000;2656.000000;99.924755;40.000000;40.000000;100.000000;     4m  3s 206ms 440μs 198ns;        56s 533ms  54μs 886ns
2e1b1;1648;95;0;0;182;50;1637.000000;1367.000000;83.506414;2655.000000;2655.000000;99.812030;40.000000;40.000000;100.000000;     6m 13s 601ms 806μs 218ns;     1m 25s 577ms 694μs 914ns
