ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
0;64;0;0;0;                          0ns;-nan;                          0ns;                          0ns;0.000000;0.000000
1;66;5000;23009;5;    16m 13s 605ms 433μs 313ns;1727.173690;         1s 301ms 769μs 639ns;     8m 42s 823ms 128μs 375ns;0.000000;0.000000
2;148a7;5000;12655;5;    15m 33s 922ms 645μs 524ns;1135.369775;         1s 949ms 731μs 589ns;     6m 25s 946ms 662μs 172ns;1030.000000;240.000000
3;21792;5000;31023;5;    40m 22s 792ms 619μs 429ns;892.394715;         2s 535ms 160μs 787ns;    28m  7s 838ms 432μs 617ns;1081.000000;240.000000
4;3bdbd;5000;28618;5;    57m 34s 786ms 941μs 164ns;583.983787;         3s 495ms 623μs 309ns;    28m  4s 386ms 769μs 626ns;2059.000000;240.000000
28;bdae6;5000;422;5;    12m 29s 819ms 221μs 953ns;434.339119;         4s 978ms 158μs 382ns;     1m 46s 546ms 490μs 572ns;3920.000000;1590.000000
27;baf69;3277;432;5;     9m 15s 699ms 972μs 977ns;400.972973;         4s 957ms 857μs  70ns;     1m 51s 250ms 256μs 964ns;3915.000000;1590.000000
26;b6fca;5000;427;5;    11m 33s 676ms 113μs 203ns;469.870130;         4s 943ms 407μs 385ns;     1m 47s 664ms 718μs 243ns;3915.000000;1590.000000
25;b4432;3252;466;5;    11m 13s 130ms 281μs 472ns;331.471025;         5s 391ms 508μs 469ns;     2m 10s 394ms 113μs 594ns;3915.000000;1590.000000
24;b04a2;5000;422;5;    14m  5s 895ms 737μs 213ns;384.994083;         5s 394ms 764μs 964ns;     2m 17s 183ms 967μs 394ns;3915.000000;1590.000000
23;ad997;3234;437;5;     9m 48s 819ms 497μs 435ns;374.591837;         5s 420ms 295μs 813ns;     2m     744ms 774μs 725ns;3915.000000;1590.000000
22;a99da;5000;437;5;    13m 22s 653ms  41μs 406ns;406.758105;         5s 199ms 279μs 999ns;     2m  6s 807ms 342μs 144ns;3915.000000;1590.000000
21;a6e72;3258;444;5;     9m 53s 645ms 653μs 437ns;374.569983;         5s 418ms 129μs 436ns;     2m  8s  14ms 342μs 667ns;3915.000000;1590.000000
20;a2e67;5000;463;5;    13m 20s 133ms  86μs  13ns;409.725000;         5s 177ms 700μs 149ns;     2m  3s 953ms 289μs 171ns;3915.000000;1590.000000
19;a02b7;3265;461;5;     9m 55s 281ms 198μs 286ns;375.731092;         5s 344ms 409μs 729ns;     2m  3s 562ms 224μs 619ns;3915.000000;1590.000000
18;9c1fe;5000;521;5;    13m 59s 256ms 249μs 261ns;394.827175;         5s 369ms  29μs 898ns;     2m 21s 548ms 705μs 330ns;3915.000000;1590.000000
17;9973e;3250;396;5;     9m 49s 613ms 277μs 495ns;371.409168;         5s 305ms   6μs 988ns;     2m     840ms 236μs 198ns;3915.000000;1590.000000
16;95787;5000;435;5;    14m  9s 498ms 965μs 451ns;384.098940;         5s 438ms 671μs 238ns;     2m  2s 669ms 896μs 872ns;3915.000000;1590.000000
15;92bc5;3278;454;5;     9m 59s 423ms 112μs 341ns;373.823038;         5s 419ms 805μs 600ns;     2m 12s 543ms 811μs 980ns;3915.000000;1590.000000
14;8eb90;5000;477;5;    14m 16s 486ms 721μs 577ns;383.901869;         5s 394ms 469μs 902ns;     2m 28s 250ms 644μs 859ns;3919.000000;1590.000000
13;8cb3e;2304;452;5;     7m 36s 989ms 203μs 614ns;362.631579;         5s 379ms 765μs 755ns;     2m  9s  55ms 942μs 757ns;3915.000000;1590.000000
12;88b27;5000;467;5;    13m 48s 675ms 135μs  80ns;396.159420;         5s 391ms 273μs 349ns;     2m 15s 648ms 702μs 627ns;3920.000000;1590.000000
11;85f2f;3260;490;5;    10m 28s 198ms 512μs 834ns;358.280255;         5s 400ms  23μs 318ns;     2m 29s 818ms  20μs 573ns;3915.000000;1590.000000
10;81f87;5000;430;5;    14m 10s 376ms 776μs 359ns;383.294118;         5s 472ms 911μs  43ns;     2m  7s  65ms 360μs 692ns;3915.000000;1590.000000
9;7f3f5;3281;435;5;     9m 51s 822ms 110μs 880ns;377.258883;         5s 378ms 343μs 259ns;     2m 10s  84ms 454μs 246ns;3915.000000;1590.000000
